   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_339.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0305732, 678, 0, 0, 26.0768, 678, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0226917, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0148102, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00692873, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00095276, 0, 1.40303e-23, 0, 1.41421, -1.40303e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.16958e-26, 0, 0, 3.31962e-29, 0, 4.61877e-28, 0, 1.39581e-23, 0, 0, 0
0.00883425, 0, 3.81483e-23, 0, 1.41421, -3.81483e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9494e-25, 0, 0, 9.14949e-29, 0, 1.28487e-27, 0, 3.79519e-23, 0, 0, 0
0.0167157, 0, 1.01055e-22, 0, 1.41421, -1.01055e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.16398e-25, 0, 0, 2.45676e-28, 0, 3.47691e-27, 0, 1.00535e-22, 0, 0, 0
0.0245972, 0, 2.61441e-22, 0, 1.41421, -2.61441e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33597e-24, 0, 0, 6.44246e-28, 0, 9.17718e-27, 0, 2.60095e-22, 0, 0, 0
0.0324787, 0, 6.61863e-22, 0, 1.41421, -6.61863e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38215e-24, 0, 0, 1.65323e-27, 0, 2.36792e-26, 0, 6.58456e-22, 0, 0, 0
0.0403602, 0, 1.64228e-21, 0, 1.41421, -1.64228e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.39209e-24, 0, 0, 4.15839e-27, 0, 5.98352e-26, 0, 1.63382e-21, 0, 0, 0
0.0482417, 0, 3.99942e-21, 0, 1.41421, -3.99942e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04372e-23, 0, 0, 1.02666e-26, 0, 1.48298e-25, 0, 3.97882e-21, 0, 0, 0
0.0561232, 0, 9.57025e-21, 0, 1.41421, -9.57025e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89043e-23, 0, 0, 2.49085e-26, 0, 3.60961e-25, 0, 9.52096e-21, 0, 0, 0
0.0640047, 0, 2.25244e-20, 0, 1.41421, -2.25244e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.151e-22, 0, 0, 5.94467e-26, 0, 8.63778e-25, 0, 2.24083e-20, 0, 0, 0
0.0718862, 0, 5.21869e-20, 0, 1.41421, -5.21869e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66676e-22, 0, 0, 1.39686e-25, 0, 2.03412e-24, 0, 5.19181e-20, 0, 0, 0
0.0797677, 0, 1.19117e-19, 0, 1.41421, -1.19117e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.0869e-22, 0, 0, 3.23405e-25, 0, 4.71781e-24, 0, 1.18503e-19, 0, 0, 0
0.0876492, 0, 2.68025e-19, 0, 1.41421, -2.68025e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36961e-21, 0, 0, 7.38261e-25, 0, 1.07848e-23, 0, 2.66644e-19, 0, 0, 0
0.0955307, 0, 5.94865e-19, 0, 1.41421, -5.94865e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03977e-21, 0, 0, 1.66263e-24, 0, 2.43147e-23, 0, 5.91799e-19, 0, 0, 0
0.103412, 0, 1.30295e-18, 0, 1.41421, -1.30295e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.65808e-21, 0, 0, 3.69606e-24, 0, 5.40956e-23, 0, 1.29623e-18, 0, 0, 0
0.111294, 0, 2.81774e-18, 0, 1.41421, -2.81774e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43987e-20, 0, 0, 8.11411e-24, 0, 1.18827e-22, 0, 2.80322e-18, 0, 0, 0
0.119175, 0, 6.01894e-18, 0, 1.41421, -6.01894e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07568e-20, 0, 0, 1.7599e-23, 0, 2.57828e-22, 0, 5.98791e-18, 0, 0, 0
0.127057, 0, 1.27041e-17, 0, 1.41421, -1.27041e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.49178e-20, 0, 0, 3.77267e-23, 0, 5.52825e-22, 0, 1.26386e-17, 0, 0, 0
0.134938, 0, 2.65041e-17, 0, 1.41421, -2.65041e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35436e-19, 0, 0, 7.99593e-23, 0, 1.1718e-21, 0, 2.63675e-17, 0, 0, 0
0.14282, 0, 5.4672e-17, 0, 1.41421, -5.4672e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79373e-19, 0, 0, 1.67606e-22, 0, 2.45628e-21, 0, 5.439e-17, 0, 0, 0
0.150701, 0, 1.11535e-16, 0, 1.41421, -1.11535e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.69945e-19, 0, 0, 3.47561e-22, 0, 5.0933e-21, 0, 1.1096e-16, 0, 0, 0
0.158583, 0, 2.25095e-16, 0, 1.41421, -2.25095e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15023e-18, 0, 0, 7.13194e-22, 0, 1.04507e-20, 0, 2.23934e-16, 0, 0, 0
0.166464, 0, 4.49493e-16, 0, 1.41421, -4.49493e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2969e-18, 0, 0, 1.44852e-21, 0, 2.12242e-20, 0, 4.47173e-16, 0, 0, 0
0.174346, 0, 8.88325e-16, 0, 1.41421, -8.88325e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53931e-18, 0, 0, 2.91257e-21, 0, 4.26747e-20, 0, 8.8374e-16, 0, 0, 0
0.182227, 0, 1.73778e-15, 0, 1.41421, -1.73778e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.87996e-18, 0, 0, 5.79893e-21, 0, 8.49689e-20, 0, 1.72881e-15, 0, 0, 0
