   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_344.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.031312, 688, 0, 0, 26.2679, 688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0234299, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0155479, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00766591, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000216107, 0, 6.52581e-25, 0, 1.41421, -6.52581e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03933e-27, 0, 0, 0, 0, 6.48542e-25, 0, 0, 0
0.00809812, 0, 2.01702e-24, 0, 1.41421, -2.01702e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24849e-26, 0, 0, 0, 0, 2.00454e-24, 0, 0, 0
0.0159801, 0, 5.98864e-24, 0, 1.41421, -5.98864e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70683e-26, 0, 0, 0, 0, 5.95157e-24, 0, 0, 0
0.0238621, 0, 1.71789e-23, 0, 1.41421, -1.71789e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06333e-25, 0, 0, 0, 0, 1.70725e-23, 0, 0, 0
0.0317442, 0, 4.78128e-23, 0, 1.41421, -4.78128e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9595e-25, 0, 0, 0, 0, 4.75169e-23, 0, 0, 0
0.0396262, 0, 1.29532e-22, 0, 1.41421, -1.29532e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.01774e-25, 0, 0, 0, 0, 1.2873e-22, 0, 0, 0
0.0475082, 0, 3.42448e-22, 0, 1.41421, -3.42448e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11968e-24, 0, 0, 0, 0, 3.40329e-22, 0, 0, 0
0.0553902, 0, 8.85292e-22, 0, 1.41421, -8.85292e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.47975e-24, 0, 0, 0, 0, 8.79812e-22, 0, 0, 0
0.0632722, 0, 2.24172e-21, 0, 1.41421, -2.24172e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38757e-23, 0, 0, 0, 0, 2.22784e-21, 0, 0, 0
