   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_346.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0364328, 692, 0, 0, 26.3439, 692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0285448, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0206567, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0127687, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00488066, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00300737, 0, 2.70596e-22, 0, 1.41421, -2.70596e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24272e-24, 0, 0, 4.3521e-28, 0, 0, 2.69353e-22, 0, 0, 0
0.0108954, 0, 6.77857e-22, 0, 1.41421, -6.77857e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11307e-24, 0, 0, 1.10208e-27, 0, 0, 6.74743e-22, 0, 0, 0
0.0187834, 0, 1.66406e-21, 0, 1.41421, -1.66406e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64223e-24, 0, 0, 2.73502e-27, 0, 0, 1.65642e-21, 0, 0, 0
0.0266715, 0, 4.00927e-21, 0, 1.41421, -4.00927e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84126e-23, 0, 0, 6.66211e-27, 0, 0, 3.99085e-21, 0, 0, 0
0.0345595, 0, 9.49208e-21, 0, 1.41421, -9.49208e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35925e-23, 0, 0, 1.59481e-26, 0, 0, 9.44847e-21, 0, 0, 0
0.0424475, 0, 2.2106e-20, 0, 1.41421, -2.2106e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01522e-22, 0, 0, 3.75592e-26, 0, 0, 2.20044e-20, 0, 0, 0
0.0503356, 0, 5.06871e-20, 0, 1.41421, -5.06871e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32781e-22, 0, 0, 8.71015e-26, 0, 0, 5.04542e-20, 0, 0, 0
0.0582236, 0, 1.14514e-19, 0, 1.41421, -1.14514e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.25905e-22, 0, 0, 1.99056e-25, 0, 0, 1.13988e-19, 0, 0, 0
0.0661116, 0, 2.55081e-19, 0, 1.41421, -2.55081e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17146e-21, 0, 0, 4.48601e-25, 0, 0, 2.5391e-19, 0, 0, 0
0.0739997, 0, 5.60555e-19, 0, 1.41421, -5.60555e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57435e-21, 0, 0, 9.97568e-25, 0, 0, 5.57979e-19, 0, 0, 0
0.0818877, 0, 1.21591e-18, 0, 1.41421, -1.21591e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58409e-21, 0, 0, 2.19005e-24, 0, 0, 1.21033e-18, 0, 0, 0
0.0897757, 0, 2.60454e-18, 0, 1.41421, -2.60454e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19614e-20, 0, 0, 4.74897e-24, 0, 0, 2.59257e-18, 0, 0, 0
0.0976638, 0, 5.51171e-18, 0, 1.41421, -5.51171e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53126e-20, 0, 0, 1.01758e-23, 0, 0, 5.48639e-18, 0, 0, 0
0.105552, 0, 1.15274e-17, 0, 1.41421, -1.15274e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29398e-20, 0, 0, 2.15543e-23, 0, 0, 1.14745e-17, 0, 0, 0
0.11344, 0, 2.38352e-17, 0, 1.41421, -2.38352e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09463e-19, 0, 0, 4.51489e-23, 0, 0, 2.37257e-17, 0, 0, 0
0.121328, 0, 4.87394e-17, 0, 1.41421, -4.87394e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23836e-19, 0, 0, 9.35519e-23, 0, 0, 4.85154e-17, 0, 0, 0
0.129216, 0, 9.85918e-17, 0, 1.41421, -9.85918e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52784e-19, 0, 0, 1.91815e-22, 0, 0, 9.81388e-17, 0, 0, 0
0.137104, 0, 1.9734e-16, 0, 1.41421, -1.9734e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.06286e-19, 0, 0, 3.89274e-22, 0, 0, 1.96433e-16, 0, 0, 0
0.144992, 0, 3.90938e-16, 0, 1.41421, -3.90938e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79538e-18, 0, 0, 7.82143e-22, 0, 0, 3.89141e-16, 0, 0, 0
0.15288, 0, 7.66677e-16, 0, 1.41421, -7.66677e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52097e-18, 0, 0, 1.55624e-21, 0, 0, 7.63155e-16, 0, 0, 0
0.160768, 0, 1.48874e-15, 0, 1.41421, -1.48874e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.83704e-18, 0, 0, 3.06703e-21, 0, 0, 1.4819e-15, 0, 0, 0
0.168656, 0, 2.8629e-15, 0, 1.41421, -2.8629e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31479e-17, 0, 0, 5.98828e-21, 0, 0, 2.84975e-15, 0, 0, 0
0.176544, 0, 5.45317e-15, 0, 1.41421, -5.45317e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50437e-17, 0, 0, 1.15853e-20, 0, 0, 5.42812e-15, 0, 0, 0
