   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_347.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0305365, 694, 0, 0, 26.3818, 694, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0226554, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0147743, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00689317, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000987947, 0, 3.29185e-24, 0, 1.41421, -3.29185e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69457e-26, 0, 0, 1.28391e-29, 0, 4.58345e-29, 0, 3.27485e-24, 0, 0, 0
0.00886906, 0, 9.55774e-24, 0, 1.41421, -9.55774e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92012e-26, 0, 0, 3.77971e-29, 0, 1.38029e-28, 0, 9.50837e-24, 0, 0, 0
0.0167502, 0, 2.68565e-23, 0, 1.41421, -2.68565e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38251e-25, 0, 0, 1.07705e-28, 0, 4.0052e-28, 0, 2.67178e-23, 0, 0, 0
0.0246313, 0, 7.33082e-23, 0, 1.41421, -7.33082e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77374e-25, 0, 0, 2.98166e-28, 0, 1.12524e-27, 0, 7.29294e-23, 0, 0, 0
0.0325124, 0, 1.94957e-22, 0, 1.41421, -1.94957e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00359e-24, 0, 0, 8.04263e-28, 0, 3.07209e-27, 0, 1.93949e-22, 0, 0, 0
0.0403935, 0, 5.06315e-22, 0, 1.41421, -5.06315e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60639e-24, 0, 0, 2.11869e-27, 0, 8.17405e-27, 0, 5.03699e-22, 0, 0, 0
0.0482746, 0, 1.28657e-21, 0, 1.41421, -1.28657e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62297e-24, 0, 0, 5.46135e-27, 0, 2.12452e-26, 0, 1.27992e-21, 0, 0, 0
0.0561557, 0, 3.20379e-21, 0, 1.41421, -3.20379e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64924e-23, 0, 0, 1.37972e-26, 0, 5.40414e-26, 0, 3.18723e-21, 0, 0, 0
0.0640368, 0, 7.82881e-21, 0, 1.41421, -7.82881e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03009e-23, 0, 0, 3.42081e-26, 0, 1.34751e-25, 0, 7.78834e-21, 0, 0, 0
0.071918, 0, 1.98833e-20, 0, 1.41421, -1.98833e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02354e-22, 0, 0, 8.8835e-26, 0, 3.5204e-25, 0, 1.97805e-20, 0, 0, 0
0.0797991, 0, 4.66693e-20, 0, 1.41421, -4.66693e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40243e-22, 0, 0, 2.11611e-25, 0, 8.41506e-25, 0, 4.6428e-20, 0, 0, 0
