   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_39.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0335065, 78, 0, 0, 8.94427, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0255996, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0176926, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00978572, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00187879, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00602813, 0, 3.61747e-21, 0, 1.41421, -3.61747e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.68554e-27, 0, 1.13576e-25, 0, 3.61735e-21, 0, 0, 0
0.0139351, 0, 8.45886e-21, 0, 1.41421, -8.45886e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11397e-26, 0, 2.70974e-25, 0, 8.45858e-21, 0, 0, 0
0.021842, 0, 1.9462e-20, 0, 1.41421, -1.9462e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60563e-26, 0, 6.35603e-25, 0, 1.94613e-20, 0, 0, 0
0.0297489, 0, 4.40972e-20, 0, 1.41421, -4.40972e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.00177e-26, 0, 1.46728e-24, 0, 4.40956e-20, 0, 0, 0
0.0376558, 0, 9.84735e-20, 0, 1.41421, -9.84735e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36244e-25, 0, 3.33657e-24, 0, 9.84701e-20, 0, 0, 0
0.0455627, 0, 2.16871e-19, 0, 1.41421, -2.16871e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05022e-25, 0, 7.4797e-24, 0, 2.16863e-19, 0, 0, 0
0.0534697, 0, 4.71316e-19, 0, 1.41421, -4.71316e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.73878e-25, 0, 1.6541e-23, 0, 4.71299e-19, 0, 0, 0
0.0613766, 0, 1.01129e-18, 0, 1.41421, -1.01129e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46996e-24, 0, 3.61076e-23, 0, 1.01125e-18, 0, 0, 0
0.0692835, 0, 2.14337e-18, 0, 1.41421, -2.14337e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16748e-24, 0, 7.78445e-23, 0, 2.14329e-18, 0, 0, 0
0.0771904, 0, 4.48905e-18, 0, 1.41421, -4.48905e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.74524e-24, 0, 1.6583e-22, 0, 4.48888e-18, 0, 0, 0
0.0850974, 0, 9.29423e-18, 0, 1.41421, -9.29423e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42013e-23, 0, 3.49217e-22, 0, 9.29386e-18, 0, 0, 0
0.0930043, 0, 1.90292e-17, 0, 1.41421, -1.90292e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95709e-23, 0, 7.27281e-22, 0, 1.90285e-17, 0, 0, 0
0.100911, 0, 3.85403e-17, 0, 1.41421, -3.85403e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.09188e-23, 0, 1.49846e-21, 0, 3.85388e-17, 0, 0, 0
0.108818, 0, 7.72359e-17, 0, 1.41421, -7.72359e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.242e-22, 0, 3.05542e-21, 0, 7.72327e-17, 0, 0, 0
0.116725, 0, 1.53196e-16, 0, 1.41421, -1.53196e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50667e-22, 0, 6.16764e-21, 0, 1.53189e-16, 0, 0, 0
0.124632, 0, 3.00818e-16, 0, 1.41421, -3.00818e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00947e-22, 0, 1.23287e-20, 0, 3.00805e-16, 0, 0, 0
0.132539, 0, 5.84906e-16, 0, 1.41421, -5.84906e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.91539e-22, 0, 2.4411e-20, 0, 5.8488e-16, 0, 0, 0
0.140446, 0, 1.12637e-15, 0, 1.41421, -1.12637e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94422e-21, 0, 4.78883e-20, 0, 1.12632e-15, 0, 0, 0
0.148353, 0, 2.14867e-15, 0, 1.41421, -2.14867e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77736e-21, 0, 9.31013e-20, 0, 2.14857e-15, 0, 0, 0
0.15626, 0, 4.06096e-15, 0, 1.41421, -4.06096e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.27308e-21, 0, 1.79415e-19, 0, 4.06077e-15, 0, 0, 0
0.164167, 0, 7.60543e-15, 0, 1.41421, -7.60543e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38807e-20, 0, 3.42789e-19, 0, 7.60507e-15, 0, 0, 0
0.172074, 0, 1.41162e-14, 0, 1.41421, -1.41162e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62624e-20, 0, 6.49448e-19, 0, 1.41155e-14, 0, 0, 0
0.17998, 0, 2.59698e-14, 0, 1.41421, -2.59698e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92665e-20, 0, 1.22036e-18, 0, 2.59686e-14, 0, 0, 0
0.187887, 0, 4.73617e-14, 0, 1.41421, -4.73617e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.16474e-20, 0, 2.27473e-18, 0, 4.73594e-14, 0, 0, 0
0.195794, 0, 8.56331e-14, 0, 1.41421, -8.56331e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69089e-19, 0, 4.20671e-18, 0, 8.56287e-14, 0, 0, 0
0.203701, 0, 1.53517e-13, 0, 1.41421, -1.53517e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09449e-19, 0, 7.7195e-18, 0, 1.53509e-13, 0, 0, 0
0.211608, 0, 2.72902e-13, 0, 1.41421, -2.72902e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.61817e-19, 0, 1.40582e-17, 0, 2.72888e-13, 0, 0, 0
0.219515, 0, 4.81098e-13, 0, 1.41421, -4.81098e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01202e-18, 0, 2.54112e-17, 0, 4.81071e-13, 0, 0, 0
0.227422, 0, 8.41139e-13, 0, 1.41421, -8.41139e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80896e-18, 0, 4.55964e-17, 0, 8.41092e-13, 0, 0, 0
0.235329, 0, 1.45862e-12, 0, 1.41421, -1.45862e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.209e-18, 0, 8.12277e-17, 0, 1.45854e-12, 0, 0, 0
0.243236, 0, 2.5089e-12, 0, 1.41421, -2.5089e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6503e-18, 0, 1.43693e-16, 0, 2.50875e-12, 0, 0, 0
0.251143, 0, 4.28073e-12, 0, 1.41421, -4.28073e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87653e-18, 0, 2.52445e-16, 0, 4.28047e-12, 0, 0, 0
0.25905, 0, 7.24557e-12, 0, 1.41421, -7.24557e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71411e-17, 0, 4.40518e-16, 0, 7.24511e-12, 0, 0, 0
0.266957, 0, 1.21666e-11, 0, 1.41421, -1.21666e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95429e-17, 0, 7.63641e-16, 0, 1.21658e-11, 0, 0, 0
0.274864, 0, 2.02687e-11, 0, 1.41421, -2.02687e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05755e-17, 0, 1.31528e-15, 0, 2.02674e-11, 0, 0, 0
0.28277, 0, 3.3502e-11, 0, 1.41421, -3.3502e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60214e-17, 0, 2.25126e-15, 0, 3.34996e-11, 0, 0, 0
0.290677, 0, 5.49438e-11, 0, 1.41421, -5.49438e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45399e-16, 0, 3.83003e-15, 0, 5.49398e-11, 0, 0, 0
0.298584, 0, 8.94438e-11, 0, 1.41421, -8.94438e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44751e-16, 0, 6.49013e-15, 0, 8.94371e-11, 0, 0, 0
0.306491, 0, 1.44424e-10, 9.24857e-44, 1.41421, -1.44424e-10, 9.24857e-44, 0, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 4.08923e-16, 9.24857e-44, 1.09154e-14, 9.24857e-44, 1.44412e-10, 9.24857e-44, 9.24857e-44, 9.24857e-44
