   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_40.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.0346068, 80, 0, 0, 9.05539, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0267001, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0187933, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0108866, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00297982, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00492693, 0, 2.8488e-21, 0, 1.41421, -2.8488e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8488e-21, 0, 0
0.0128337, 0, 6.60596e-21, 0, 1.41421, -6.60596e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.60596e-21, 0, 0
0.0207404, 0, 1.50736e-20, 0, 1.41421, -1.50736e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50736e-20, 0, 0
0.0286472, 0, 3.38763e-20, 0, 1.41421, -3.38763e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38763e-20, 0, 0
0.0365539, 0, 7.50435e-20, 0, 1.41421, -7.50435e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.50435e-20, 0, 0
0.0444607, 0, 1.63971e-19, 0, 1.41421, -1.63971e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63971e-19, 0, 0
0.0523674, 0, 3.53606e-19, 0, 1.41421, -3.53606e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53606e-19, 0, 0
0.0602742, 0, 7.53024e-19, 0, 1.41421, -7.53024e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53024e-19, 0, 0
0.0681809, 0, 1.58432e-18, 0, 1.41421, -1.58432e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58432e-18, 0, 0
0.0760877, 0, 3.29463e-18, 0, 1.41421, -3.29463e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29463e-18, 0, 0
0.0839945, 0, 6.77434e-18, 0, 1.41421, -6.77434e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.77434e-18, 0, 0
0.0919012, 0, 1.37776e-17, 0, 1.41421, -1.37776e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37776e-17, 0, 0
0.099808, 0, 2.77245e-17, 0, 1.41421, -2.77245e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77245e-17, 0, 0
0.107715, 0, 5.52146e-17, 0, 1.41421, -5.52146e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.52146e-17, 0, 0
0.115621, 0, 1.08857e-16, 0, 1.41421, -1.08857e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08857e-16, 0, 0
0.123528, 0, 2.12504e-16, 0, 1.41421, -2.12504e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12504e-16, 0, 0
0.131435, 0, 4.10844e-16, 0, 1.41421, -4.10844e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10844e-16, 0, 0
