   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_44.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0337544, 88, 0, 0, 9.48683, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.02585, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0179456, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0100411, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00213672, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00576771, 0, 1.53956e-22, 0, 1.41421, -1.53956e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03689e-25, 0, 0, 2.13979e-28, 0, 0, 1.53652e-22, 0, 0, 0
0.0136721, 0, 3.97009e-22, 0, 1.41421, -3.97009e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.83129e-25, 0, 0, 5.59809e-28, 0, 0, 3.96225e-22, 0, 0, 0
0.0215766, 0, 1.00185e-21, 0, 1.41421, -1.00185e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97623e-24, 0, 0, 1.43332e-27, 0, 0, 9.99875e-22, 0, 0, 0
0.029481, 0, 2.47799e-21, 0, 1.41421, -2.47799e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88801e-24, 0, 0, 3.5973e-27, 0, 0, 2.47309e-21, 0, 0, 0
0.0373854, 0, 6.01537e-21, 0, 1.41421, -6.01537e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18658e-23, 0, 0, 8.8618e-27, 0, 0, 6.00349e-21, 0, 0, 0
0.0452898, 0, 1.43479e-20, 0, 1.41421, -1.43479e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83024e-23, 0, 0, 2.14526e-26, 0, 0, 1.43196e-20, 0, 0, 0
0.0531943, 0, 3.36594e-20, 0, 1.41421, -3.36594e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.63956e-23, 0, 0, 5.10838e-26, 0, 0, 3.3593e-20, 0, 0, 0
0.0610987, 0, 7.77291e-20, 0, 1.41421, -7.77291e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53326e-22, 0, 0, 1.19758e-25, 0, 0, 7.75756e-20, 0, 0, 0
0.0690031, 0, 1.76826e-19, 0, 1.41421, -1.76826e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48802e-22, 0, 0, 2.76613e-25, 0, 0, 1.76477e-19, 0, 0, 0
0.0769076, 0, 3.96529e-19, 0, 1.41421, -3.96529e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.82183e-22, 0, 0, 6.29909e-25, 0, 0, 3.95746e-19, 0, 0, 0
0.084812, 0, 8.77239e-19, 0, 1.41421, -8.77239e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73042e-21, 0, 0, 1.41569e-24, 0, 0, 8.75507e-19, 0, 0, 0
0.0927164, 0, 1.9151e-18, 0, 1.41421, -1.9151e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77768e-21, 0, 0, 3.14022e-24, 0, 0, 1.91132e-18, 0, 0, 0
