   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0330976, 8, 0, 0, 3.16228, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0251714, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0172453, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0093191, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00139293, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00653323, 0, 2.57011e-20, 0, 1.41421, -2.57011e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00664e-22, 0, 0, 5.55386e-25, 0, 0, 2.55998e-20, 0, 0, 0
0.0144594, 0, 5.75966e-20, 0, 1.41421, -5.75966e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2559e-22, 0, 0, 1.25918e-24, 0, 0, 5.73698e-20, 0, 0, 0
0.0223856, 0, 1.27318e-19, 0, 1.41421, -1.27318e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9867e-22, 0, 0, 2.81655e-24, 0, 0, 1.26816e-19, 0, 0, 0
0.0303117, 0, 2.7777e-19, 0, 1.41421, -2.7777e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08795e-21, 0, 0, 6.21937e-24, 0, 0, 2.76675e-19, 0, 0, 0
0.0382379, 0, 5.98424e-19, 0, 1.41421, -5.98424e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34386e-21, 0, 0, 1.35645e-23, 0, 0, 5.96066e-19, 0, 0, 0
0.0461641, 0, 1.27368e-18, 0, 1.41421, -1.27368e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98867e-21, 0, 0, 2.9234e-23, 0, 0, 1.26867e-18, 0, 0, 0
0.0540902, 0, 2.67933e-18, 0, 1.41421, -2.67933e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04942e-20, 0, 0, 6.22859e-23, 0, 0, 2.66877e-18, 0, 0, 0
0.0620164, 0, 5.57267e-18, 0, 1.41421, -5.57267e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18266e-20, 0, 0, 1.31241e-22, 0, 0, 5.55071e-18, 0, 0, 0
0.0699426, 0, 1.14635e-17, 0, 1.41421, -1.14635e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48993e-20, 0, 0, 2.73576e-22, 0, 0, 1.14183e-17, 0, 0, 0
0.0778687, 0, 2.33303e-17, 0, 1.41421, -2.33303e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.13783e-20, 0, 0, 5.64352e-22, 0, 0, 2.32384e-17, 0, 0, 0
0.0857949, 0, 4.69886e-17, 0, 1.41421, -4.69886e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84041e-19, 0, 0, 1.15242e-21, 0, 0, 4.68034e-17, 0, 0, 0
0.0937211, 0, 9.36788e-17, 0, 1.41421, -9.36788e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66913e-19, 0, 0, 2.33006e-21, 0, 0, 9.33095e-17, 0, 0, 0
0.101647, 0, 1.84912e-16, 0, 1.41421, -1.84912e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24249e-19, 0, 0, 4.66583e-21, 0, 0, 1.84183e-16, 0, 0, 0
0.109573, 0, 3.61457e-16, 0, 1.41421, -3.61457e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41572e-18, 0, 0, 9.25526e-21, 0, 0, 3.60032e-16, 0, 0, 0
0.1175, 0, 6.99833e-16, 0, 1.41421, -6.99833e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74104e-18, 0, 0, 1.819e-20, 0, 0, 6.97074e-16, 0, 0, 0
0.125426, 0, 1.34233e-15, 0, 1.41421, -1.34233e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.2575e-18, 0, 0, 3.54277e-20, 0, 0, 1.33703e-15, 0, 0, 0
0.133352, 0, 2.55102e-15, 0, 1.41421, -2.55102e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.99161e-18, 0, 0, 6.83901e-20, 0, 0, 2.54096e-15, 0, 0, 0
0.141278, 0, 4.80428e-15, 0, 1.41421, -4.80428e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88169e-17, 0, 0, 1.30874e-19, 0, 0, 4.78533e-15, 0, 0, 0
0.149204, 0, 8.96725e-15, 0, 1.41421, -8.96725e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5122e-17, 0, 0, 2.48305e-19, 0, 0, 8.93188e-15, 0, 0, 0
0.15713, 0, 1.65906e-14, 0, 1.41421, -1.65906e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.49803e-17, 0, 0, 4.67146e-19, 0, 0, 1.65251e-14, 0, 0, 0
