   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_63.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0331912, 126, 0, 0, 11.3137, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0252937, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0173963, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00949889, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00160147, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00629595, 0, 3.02018e-24, 0, 1.41421, -3.02018e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03354e-28, 0, 0, 3.02008e-24, 0, 0, 0
0.0141934, 0, 8.5013e-24, 0, 1.41421, -8.5013e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94843e-28, 0, 0, 8.501e-24, 0, 0, 0
0.0220908, 0, 2.32402e-23, 0, 1.41421, -2.32402e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.17032e-28, 0, 0, 2.32393e-23, 0, 0, 0
0.0299882, 0, 6.18834e-23, 0, 1.41421, -6.18834e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20562e-27, 0, 0, 6.18812e-23, 0, 0, 0
0.0378856, 0, 1.60883e-22, 0, 1.41421, -1.60883e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.81402e-27, 0, 0, 1.60877e-22, 0, 0, 0
0.0457831, 0, 4.10178e-22, 0, 1.41421, -4.10178e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50486e-26, 0, 0, 4.10163e-22, 0, 0, 0
0.0536805, 0, 1.02401e-21, 0, 1.41421, -1.02401e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81363e-26, 0, 0, 1.02397e-21, 0, 0, 0
0.0615779, 0, 2.50699e-21, 0, 1.41421, -2.50699e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.4773e-26, 0, 0, 2.50689e-21, 0, 0, 0
0.0694753, 0, 6.36821e-21, 0, 1.41421, -6.36821e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46237e-25, 0, 0, 6.36797e-21, 0, 0, 0
0.0773727, 0, 1.49535e-20, 0, 1.41421, -1.49535e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.86672e-25, 0, 0, 1.49529e-20, 0, 0, 0
0.0852702, 0, 3.4571e-20, 0, 1.41421, -3.4571e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37634e-24, 0, 0, 3.45696e-20, 0, 0, 0
0.0931676, 0, 7.87444e-20, 0, 1.41421, -7.87444e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18159e-24, 0, 0, 7.87412e-20, 0, 0, 0
0.101065, 0, 1.76819e-19, 0, 1.41421, -1.76819e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.25138e-24, 0, 0, 1.76812e-19, 0, 0, 0
0.108962, 0, 3.91621e-19, 0, 1.41421, -3.91621e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63038e-23, 0, 0, 3.91605e-19, 0, 0, 0
0.11686, 0, 8.55925e-19, 0, 1.41421, -8.55925e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61795e-23, 0, 0, 8.55889e-19, 0, 0, 0
0.124757, 0, 1.84682e-18, 0, 1.41421, -1.84682e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.92745e-23, 0, 0, 1.84674e-18, 0, 0, 0
0.132655, 0, 3.93551e-18, 0, 1.41421, -3.93551e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71585e-22, 0, 0, 3.93534e-18, 0, 0, 0
0.140552, 0, 8.28545e-18, 0, 1.41421, -8.28545e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66997e-22, 0, 0, 8.28508e-18, 0, 0, 0
0.14845, 0, 1.72389e-17, 0, 1.41421, -1.72389e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.75938e-22, 0, 0, 1.72381e-17, 0, 0, 0
0.156347, 0, 3.54574e-17, 0, 1.41421, -3.54574e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62223e-21, 0, 0, 3.54558e-17, 0, 0, 0
0.164244, 0, 7.21156e-17, 0, 1.41421, -7.21156e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35461e-21, 0, 0, 7.21122e-17, 0, 0, 0
0.172142, 0, 1.45072e-16, 0, 1.41421, -1.45072e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.86332e-21, 0, 0, 1.45065e-16, 0, 0, 0
0.180039, 0, 2.88712e-16, 0, 1.41421, -2.88712e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38962e-20, 0, 0, 2.88698e-16, 0, 0, 0
0.187937, 0, 5.68549e-16, 0, 1.41421, -5.68549e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78499e-20, 0, 0, 5.68521e-16, 0, 0, 0
0.195834, 0, 1.10809e-15, 0, 1.41421, -1.10809e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.52597e-20, 0, 0, 1.10803e-15, 0, 0, 0
0.203731, 0, 2.13776e-15, 0, 1.41421, -2.13776e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08576e-19, 0, 0, 2.13765e-15, 0, 0, 0
0.211629, 0, 4.08311e-15, 0, 1.41421, -4.08311e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1129e-19, 0, 0, 4.0829e-15, 0, 0, 0
0.219526, 0, 7.7221e-15, 0, 1.41421, -7.7221e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07297e-19, 0, 0, 7.72169e-15, 0, 0, 0
0.227424, 0, 1.44626e-14, 0, 1.41421, -1.44626e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.77892e-19, 0, 0, 1.44619e-14, 0, 0, 0
0.235321, 0, 2.68276e-14, 0, 1.41421, -2.68276e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47221e-18, 0, 0, 2.68261e-14, 0, 0, 0
0.243219, 0, 4.9293e-14, 0, 1.41421, -4.9293e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76141e-18, 0, 0, 4.92902e-14, 0, 0, 0
0.251116, 0, 8.97224e-14, 0, 1.41421, -8.97224e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13416e-18, 0, 0, 8.97173e-14, 0, 0, 0
0.259013, 0, 1.61797e-13, 0, 1.41421, -1.61797e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.46355e-18, 0, 0, 1.61787e-13, 0, 0, 0
