   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_73.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.03262, 146, 0, 0, 12.1655, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0247246, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0168292, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00893388, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00103851, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00685686, 0, 1.45449e-22, 0, 1.41421, -1.45449e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.36201e-26, 0, 0, 5.38988e-28, 0, 0, 1.45364e-22, 0, 0
0.0147522, 0, 3.61267e-22, 0, 1.41421, -3.61267e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07697e-25, 0, 0, 1.35824e-27, 0, 0, 3.61058e-22, 0, 0
0.0226476, 0, 8.79516e-22, 0, 1.41421, -8.79516e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05645e-25, 0, 0, 3.35464e-27, 0, 0, 8.79007e-22, 0, 0
0.030543, 0, 2.10174e-21, 0, 1.41421, -2.10174e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20832e-24, 0, 0, 8.1327e-27, 0, 0, 2.10052e-21, 0, 0
0.0384383, 0, 4.93585e-21, 0, 1.41421, -4.93585e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83768e-24, 0, 0, 1.93771e-26, 0, 0, 4.93299e-21, 0, 0
0.0463337, 0, 1.14036e-20, 0, 1.41421, -1.14036e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.55606e-24, 0, 0, 4.54226e-26, 0, 0, 1.1397e-20, 0, 0
0.0542291, 0, 2.59424e-20, 0, 1.41421, -2.59424e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49146e-23, 0, 0, 1.04855e-25, 0, 0, 2.59274e-20, 0, 0
0.0621245, 0, 5.81576e-20, 0, 1.41421, -5.81576e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34355e-23, 0, 0, 2.38554e-25, 0, 0, 5.81239e-20, 0, 0
0.0700198, 0, 1.28567e-19, 0, 1.41421, -1.28567e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.39147e-23, 0, 0, 5.35274e-25, 0, 0, 1.28493e-19, 0, 0
0.0779152, 0, 2.8044e-19, 0, 1.41421, -2.8044e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61229e-22, 0, 0, 1.18529e-24, 0, 0, 2.80278e-19, 0, 0
0.0858106, 0, 6.03912e-19, 0, 1.41421, -6.03912e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47197e-22, 0, 0, 2.59162e-24, 0, 0, 6.03563e-19, 0, 0
0.0937059, 0, 1.2845e-18, 0, 1.41421, -1.2845e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.38473e-22, 0, 0, 5.59797e-24, 0, 0, 1.28375e-18, 0, 0
0.101601, 0, 2.69965e-18, 0, 1.41421, -2.69965e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55206e-21, 0, 0, 1.19507e-23, 0, 0, 2.69808e-18, 0, 0
0.109497, 0, 5.6086e-18, 0, 1.41421, -5.6086e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22445e-21, 0, 0, 2.52248e-23, 0, 0, 5.60535e-18, 0, 0
0.117392, 0, 1.15219e-17, 0, 1.41421, -1.15219e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62408e-21, 0, 0, 5.26607e-23, 0, 0, 1.15152e-17, 0, 0
0.125287, 0, 2.34125e-17, 0, 1.41421, -2.34125e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34601e-20, 0, 0, 1.08769e-22, 0, 0, 2.33989e-17, 0, 0
0.133183, 0, 4.707e-17, 0, 1.41421, -4.707e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70611e-20, 0, 0, 2.22337e-22, 0, 0, 4.70427e-17, 0, 0
0.141078, 0, 9.36523e-17, 0, 1.41421, -9.36523e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38418e-20, 0, 0, 4.49897e-22, 0, 0, 9.3598e-17, 0, 0
