   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_74.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.0344221, 148, 0, 0, 12.2474, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0265241, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0186261, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0107281, 4, 0, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00283005, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00506797, 0, 3.75341e-23, 0, 1.41421, -3.75341e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67324e-26, 0, 0, 0, 0, 3.74974e-23, 0, 0
0.012966, 0, 9.81908e-23, 0, 1.41421, -9.81908e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.60936e-26, 0, 0, 0, 0, 9.80947e-23, 0, 0
0.020864, 4, 2.5134e-22, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45972e-25, 0, 0, 0, 0, 2.51094e-22, 0, 0
0.028762, 2, 6.30506e-22, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1704e-25, 0, 0, 0, 0, 6.29889e-22, 0, 0
0.03666, 2, 1.55215e-21, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.519e-24, 0, 0, 0, 0, 1.55063e-21, 0, 0
0.0445581, 0, 3.75395e-21, 0, 1.41421, -3.75395e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67377e-24, 0, 0, 0, 0, 3.75028e-21, 0, 0
0.0524561, 2, 8.92855e-21, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.73785e-24, 0, 0, 0, 0, 8.91981e-21, 0, 0
0.0603541, 0, 2.09018e-20, 0, 1.41421, -2.09018e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04554e-23, 0, 0, 0, 0, 2.08813e-20, 0, 0
0.0682521, 0, 4.81968e-20, 0, 1.41421, -4.81968e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71674e-23, 0, 0, 0, 0, 4.81497e-20, 0, 0
0.0761502, 4, 1.09539e-19, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.072e-22, 0, 0, 0, 0, 1.09432e-19, 0, 0
0.0840482, 0, 2.45525e-19, 0, 1.41421, -2.45525e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40281e-22, 0, 0, 0, 0, 2.45285e-19, 0, 0
0.0919462, 4, 5.4302e-19, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31422e-22, 0, 0, 0, 0, 5.42488e-19, 0, 0
0.0998442, 0, 1.18558e-18, 0, 1.41421, -1.18558e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16026e-21, 0, 0, 0, 0, 1.18442e-18, 0, 0
0.107742, 0, 2.55638e-18, 0, 1.41421, -2.55638e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50178e-21, 0, 0, 0, 0, 2.55387e-18, 0, 0
0.11564, 0, 5.44574e-18, 0, 1.41421, -5.44574e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.32943e-21, 0, 0, 0, 0, 5.44041e-18, 0, 0
0.123538, 0, 1.1465e-17, 0, 1.41421, -1.1465e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12201e-20, 0, 0, 0, 0, 1.14537e-17, 0, 0
0.131436, 0, 2.3862e-17, 0, 1.41421, -2.3862e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33523e-20, 0, 0, 0, 0, 2.38386e-17, 0, 0
0.139334, 0, 4.91107e-17, 0, 1.41421, -4.91107e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80618e-20, 0, 0, 0, 0, 4.90626e-17, 0, 0
0.147232, 0, 9.99751e-17, 0, 1.41421, -9.99751e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.78398e-20, 0, 0, 0, 0, 9.98772e-17, 0, 0
0.15513, 0, 2.01351e-16, 0, 1.41421, -2.01351e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9705e-19, 0, 0, 0, 0, 2.01154e-16, 0, 0
0.163028, 0, 4.01283e-16, 0, 1.41421, -4.01283e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92712e-19, 0, 0, 0, 0, 4.0089e-16, 0, 0
0.170926, 0, 7.91531e-16, 0, 1.41421, -7.91531e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74624e-19, 0, 0, 0, 0, 7.90756e-16, 0, 0
0.178824, 0, 1.54555e-15, 0, 1.41421, -1.54555e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51253e-18, 0, 0, 0, 0, 1.54403e-15, 0, 0
0.186722, 0, 2.98787e-15, 0, 1.41421, -2.98787e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92404e-18, 0, 0, 0, 0, 2.98494e-15, 0, 0
0.19462, 0, 5.71968e-15, 0, 1.41421, -5.71968e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.59749e-18, 0, 0, 0, 0, 5.71408e-15, 0, 0
0.202518, 0, 1.0894e-14, 0, 1.41421, -1.0894e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06612e-17, 0, 0, 0, 0, 1.08833e-14, 0, 0
0.210417, 0, 2.04439e-14, 0, 1.41421, -2.04439e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0007e-17, 0, 0, 0, 0, 2.04239e-14, 0, 0
0.218315, 0, 3.80073e-14, 0, 1.41421, -3.80073e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71951e-17, 0, 0, 0, 0, 3.79701e-14, 0, 0
0.226213, 0, 7.00067e-14, 0, 1.41421, -7.00067e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.85106e-17, 0, 0, 0, 0, 6.99382e-14, 0, 0
0.234111, 0, 1.27768e-13, 0, 1.41421, -1.27768e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25038e-16, 0, 0, 0, 0, 1.27643e-13, 0, 0
0.242009, 0, 2.31073e-13, 0, 1.41421, -2.31073e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26135e-16, 0, 0, 0, 0, 2.30847e-13, 0, 0
0.249907, 0, 4.14151e-13, 0, 1.41421, -4.14151e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05303e-16, 0, 0, 0, 0, 4.13746e-13, 0, 0
0.257805, 0, 7.35666e-13, 0, 1.41421, -7.35666e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19955e-16, 0, 0, 0, 0, 7.34946e-13, 0, 0
0.265703, 0, 1.29522e-12, 0, 1.41421, -1.29522e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26758e-15, 0, 0, 0, 0, 1.29395e-12, 0, 0
0.273601, 0, 2.26037e-12, 0, 1.41421, -2.26037e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21217e-15, 0, 0, 0, 0, 2.25815e-12, 0, 0
0.281499, 0, 3.9103e-12, 0, 1.41421, -3.9103e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82704e-15, 0, 0, 0, 0, 3.90647e-12, 0, 0
0.289397, 0, 6.70601e-12, 0, 1.41421, -6.70601e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.56353e-15, 0, 0, 0, 0, 6.69945e-12, 0, 0
