   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_88.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.032684, 176, 0, 0, 13.3417, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0247905, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.016897, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00900348, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00110996, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00678356, 0, 1.10765e-23, 0, 1.41421, -1.10765e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.80514e-26, 0, 7.88524e-29, 2.29045e-28, 0, 1.10081e-23, 0, 0, 0
0.0146771, 0, 3.10281e-23, 0, 1.41421, -3.10281e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90629e-25, 0, 2.23913e-28, 6.63436e-28, 0, 3.08366e-23, 0, 0, 0
0.0225706, 0, 8.44234e-23, 0, 1.41421, -8.44234e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18676e-25, 0, 6.17696e-28, 1.86021e-27, 0, 8.39022e-23, 0, 0, 0
0.0304641, 0, 2.24821e-22, 0, 1.41421, -2.24821e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38124e-24, 0, 1.67083e-27, 5.10275e-27, 0, 2.23433e-22, 0, 0, 0
0.0383576, 0, 5.8384e-22, 0, 1.41421, -5.8384e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58696e-24, 0, 4.4059e-27, 1.36117e-26, 0, 5.80235e-22, 0, 0, 0
0.0462512, 0, 1.60556e-21, 0, 1.41421, -1.60556e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.86414e-24, 0, 1.24131e-26, 3.88702e-26, 0, 1.59564e-21, 0, 0, 0
0.0541447, 0, 3.95328e-21, 0, 1.41421, -3.95328e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42879e-23, 0, 3.1007e-26, 9.7796e-26, 0, 3.92886e-21, 0, 0, 0
0.0620382, 0, 9.55799e-21, 0, 1.41421, -9.55799e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87217e-23, 0, 7.60533e-26, 2.41348e-25, 0, 9.49895e-21, 0, 0, 0
0.0699317, 0, 2.27146e-20, 0, 1.41421, -2.27146e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39552e-22, 0, 1.83366e-25, 5.84954e-25, 0, 2.25743e-20, 0, 0, 0
0.0778253, 0, 5.31087e-20, 0, 1.41421, -5.31087e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26285e-22, 0, 4.34979e-25, 1.39386e-24, 0, 5.27806e-20, 0, 0, 0
0.0857188, 0, 1.2226e-19, 0, 1.41421, -1.2226e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.51133e-22, 0, 1.01604e-24, 3.26836e-24, 0, 1.21505e-19, 0, 0, 0
0.0936123, 0, 2.77308e-19, 0, 1.41421, -2.77308e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7037e-21, 0, 2.33863e-24, 7.54755e-24, 0, 2.75595e-19, 0, 0, 0
0.101506, 0, 6.20098e-19, 0, 1.41421, -6.20098e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8097e-21, 0, 5.30744e-24, 1.71773e-23, 0, 6.16265e-19, 0, 0, 0
0.109399, 0, 1.36777e-18, 0, 1.41421, -1.36777e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.40318e-21, 0, 1.18831e-23, 3.85522e-23, 0, 1.35932e-18, 0, 0, 0
0.117293, 0, 2.97736e-18, 0, 1.41421, -2.97736e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8292e-20, 0, 2.62613e-23, 8.53762e-23, 0, 2.95896e-18, 0, 0, 0
0.125186, 0, 6.39892e-18, 0, 1.41421, -6.39892e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9313e-20, 0, 5.73117e-23, 1.86656e-22, 0, 6.35936e-18, 0, 0, 0
0.13308, 0, 1.35835e-17, 0, 1.41421, -1.35835e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.3453e-20, 0, 1.23565e-22, 4.03058e-22, 0, 1.34995e-17, 0, 0, 0
0.140973, 0, 2.84907e-17, 0, 1.41421, -2.84907e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75038e-19, 0, 2.6329e-22, 8.59997e-22, 0, 2.83145e-17, 0, 0, 0
0.148867, 0, 5.90639e-17, 0, 1.41421, -5.90639e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6287e-19, 0, 5.54643e-22, 1.81385e-21, 0, 5.86987e-17, 0, 0, 0
0.15676, 0, 1.2106e-16, 0, 1.41421, -1.2106e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.43756e-19, 0, 1.15551e-21, 3.783e-21, 0, 1.20312e-16, 0, 0, 0
0.164654, 0, 2.45392e-16, 0, 1.41421, -2.45392e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50761e-18, 0, 2.38144e-21, 7.80452e-21, 0, 2.43874e-16, 0, 0, 0
0.172548, 0, 4.92044e-16, 0, 1.41421, -4.92044e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02295e-18, 0, 4.85653e-21, 1.59317e-20, 0, 4.89e-16, 0, 0, 0
0.180441, 0, 9.76182e-16, 0, 1.41421, -9.76182e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99733e-18, 0, 9.80253e-21, 3.21885e-20, 0, 9.70143e-16, 0, 0, 0
0.188335, 0, 1.9166e-15, 0, 1.41421, -1.9166e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17749e-17, 0, 1.95873e-20, 6.43841e-20, 0, 1.90474e-15, 0, 0, 0
0.196228, 0, 3.72466e-15, 0, 1.41421, -3.72466e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28829e-17, 0, 3.87543e-20, 1.27526e-19, 0, 3.70161e-15, 0, 0, 0
0.204122, 0, 7.1659e-15, 0, 1.41421, -7.1659e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40244e-17, 0, 7.59378e-20, 2.50182e-19, 0, 7.12155e-15, 0, 0, 0
0.212015, 0, 1.36505e-14, 0, 1.41421, -1.36505e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.38629e-17, 0, 1.47387e-19, 4.8623e-19, 0, 1.3566e-14, 0, 0, 0
