   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_92.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0333796, 184, 0, 0, 13.6382, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0254849, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0175903, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00969567, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00180102, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00609362, 0, 8.91267e-23, 0, 1.41421, -8.91267e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09251e-25, 0, 0, 3.30128e-28, 7.20446e-27, 0, 8.88099e-23, 0, 0, 0
0.0139883, 0, 2.3048e-22, 0, 1.41421, -2.3048e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.99713e-25, 0, 0, 8.64805e-28, 1.91126e-26, 0, 2.2966e-22, 0, 0, 0
0.0218829, 0, 5.83357e-22, 0, 1.41421, -5.83357e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02412e-24, 0, 0, 2.21758e-27, 4.95415e-26, 0, 5.81282e-22, 0, 0, 0
0.0297775, 0, 1.44743e-21, 0, 1.41421, -1.44743e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02225e-24, 0, 0, 5.57512e-27, 1.25712e-25, 0, 1.44228e-21, 0, 0, 0
0.0376722, 0, 3.52532e-21, 0, 1.41421, -3.52532e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2232e-23, 0, 0, 1.37601e-26, 3.12776e-25, 0, 3.51276e-21, 0, 0, 0
0.0455668, 0, 8.43784e-21, 0, 1.41421, -8.43784e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92772e-23, 0, 0, 3.33795e-26, 7.64057e-25, 0, 8.40777e-21, 0, 0, 0
0.0534615, 0, 1.98663e-20, 0, 1.41421, -1.98663e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.89311e-23, 0, 0, 7.96628e-26, 1.83463e-24, 0, 1.97955e-20, 0, 0, 0
0.0613561, 0, 4.60496e-20, 0, 1.41421, -4.60496e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5978e-22, 0, 0, 1.87207e-25, 4.33436e-24, 0, 4.58853e-20, 0, 0, 0
0.0692507, 0, 1.05166e-19, 0, 1.41421, -1.05166e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64899e-22, 0, 0, 4.33513e-25, 1.0084e-23, 0, 1.04791e-19, 0, 0, 0
0.0771454, 0, 2.36785e-19, 0, 1.41421, -2.36785e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.21579e-22, 0, 0, 9.89888e-25, 2.31203e-23, 0, 2.35939e-19, 0, 0, 0
0.08504, 0, 5.25908e-19, 0, 1.41421, -5.25908e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82475e-21, 0, 0, 2.23012e-24, 5.22757e-23, 0, 5.24029e-19, 0, 0, 0
0.0929347, 0, 1.15283e-18, 0, 1.41421, -1.15283e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99997e-21, 0, 0, 4.9597e-24, 1.16629e-22, 0, 1.1487e-18, 0, 0, 0
0.100829, 0, 2.49527e-18, 0, 1.41421, -2.49527e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.65787e-21, 0, 0, 1.08936e-23, 2.56892e-22, 0, 2.48635e-18, 0, 0, 0
0.108724, 0, 5.33517e-18, 0, 1.41421, -5.33517e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85115e-20, 0, 0, 2.36407e-23, 5.58897e-22, 0, 5.31608e-18, 0, 0, 0
0.116619, 0, 1.12724e-17, 0, 1.41421, -1.12724e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91117e-20, 0, 0, 5.07092e-23, 1.20154e-21, 0, 1.1232e-17, 0, 0, 0
0.124513, 0, 2.35431e-17, 0, 1.41421, -2.35431e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.16873e-20, 0, 0, 1.07547e-22, 2.55353e-21, 0, 2.34588e-17, 0, 0, 0
0.132408, 0, 4.86211e-17, 0, 1.41421, -4.86211e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.687e-19, 0, 0, 2.25598e-22, 5.36653e-21, 0, 4.84469e-17, 0, 0, 0
0.140303, 0, 9.93154e-17, 0, 1.41421, -9.93154e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44592e-19, 0, 0, 4.68187e-22, 1.11568e-20, 0, 9.89592e-17, 0, 0, 0
0.148197, 0, 2.03197e-16, 0, 1.41421, -2.03197e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.05026e-19, 0, 0, 9.76982e-22, 2.33278e-20, 0, 2.02468e-16, 0, 0, 0
0.156092, 0, 4.05739e-16, 0, 1.41421, -4.05739e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40777e-18, 0, 0, 1.98276e-21, 4.742e-20, 0, 4.04282e-16, 0, 0, 0
0.163986, 0, 8.0199e-16, 0, 1.41421, -8.0199e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78262e-18, 0, 0, 3.98458e-21, 9.54498e-20, 0, 7.99108e-16, 0, 0, 0
0.171881, 0, 1.5695e-15, 0, 1.41421, -1.5695e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44559e-18, 0, 0, 7.93064e-21, 1.90288e-19, 0, 1.56386e-15, 0, 0, 0
0.179776, 0, 3.04152e-15, 0, 1.41421, -3.04152e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05529e-17, 0, 0, 1.56358e-20, 3.75801e-19, 0, 3.03057e-15, 0, 0, 0
0.18767, 0, 5.83742e-15, 0, 1.41421, -5.83742e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02535e-17, 0, 0, 3.05413e-20, 7.35362e-19, 0, 5.8164e-15, 0, 0, 0
0.195565, 0, 1.10971e-14, 0, 1.41421, -1.10971e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85025e-17, 0, 0, 5.91121e-20, 1.426e-18, 0, 1.10571e-14, 0, 0, 0
0.20346, 0, 2.08985e-14, 0, 1.41421, -2.08985e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.25088e-17, 0, 0, 1.13383e-19, 2.74088e-18, 0, 2.08231e-14, 0, 0, 0
0.211354, 0, 3.89924e-14, 0, 1.41421, -3.89924e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35286e-16, 0, 0, 2.15561e-19, 5.22255e-18, 0, 3.88517e-14, 0, 0, 0
0.219249, 0, 7.20864e-14, 0, 1.41421, -7.20864e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50106e-16, 0, 0, 4.06261e-19, 9.86654e-18, 0, 7.1826e-14, 0, 0, 0
0.227144, 0, 1.32061e-13, 0, 1.41421, -1.32061e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5819e-16, 0, 0, 7.59113e-19, 1.84843e-17, 0, 1.31584e-13, 0, 0, 0
0.235038, 0, 2.39766e-13, 0, 1.41421, -2.39766e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.3187e-16, 0, 0, 1.40648e-18, 3.43447e-17, 0, 2.38898e-13, 0, 0, 0
0.242933, 0, 4.3144e-13, 0, 1.41421, -4.3144e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49688e-15, 0, 0, 2.5843e-18, 6.32987e-17, 0, 4.29877e-13, 0, 0, 0
0.250827, 0, 7.69505e-13, 0, 1.41421, -7.69505e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66981e-15, 0, 0, 4.70976e-18, 1.15737e-16, 0, 7.66715e-13, 0, 0, 0
0.258722, 0, 1.36047e-12, 0, 1.41421, -1.36047e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.72021e-15, 0, 0, 8.51464e-18, 2.09974e-16, 0, 1.35553e-12, 0, 0, 0
0.266617, 0, 2.38442e-12, 0, 1.41421, -2.38442e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.27292e-15, 0, 0, 1.52726e-17, 3.78038e-16, 0, 2.37575e-12, 0, 0, 0
0.274511, 0, 4.14304e-12, 0, 1.41421, -4.14304e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43749e-14, 0, 0, 2.71846e-17, 6.75535e-16, 0, 4.12796e-12, 0, 0, 0
0.282406, 0, 7.13712e-12, 0, 1.41421, -7.13712e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4764e-14, 0, 0, 4.80263e-17, 1.19832e-15, 0, 7.11111e-12, 0, 0, 0
0.290301, 0, 1.21904e-11, 0, 1.41421, -1.21904e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22996e-14, 0, 0, 8.42321e-17, 2.11049e-15, 0, 1.21459e-11, 0, 0, 0
0.298195, 0, 2.06457e-11, 0, 1.41421, -2.06457e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.16431e-14, 0, 0, 1.46702e-16, 3.69118e-15, 0, 2.05702e-11, 0, 0, 0
0.30609, 0, 3.46716e-11, 0, 1.41421, -3.46716e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20325e-13, 0, 0, 2.5379e-16, 6.4122e-15, 0, 3.45446e-11, 0, 0, 0
0.313985, 0, 5.774e-11, 0, 1.41421, -5.774e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00406e-13, 0, 0, 4.36246e-16, 1.10665e-14, 0, 5.75281e-11, 0, 0, 0
0.321879, 0, 9.53575e-11, 7.56701e-44, 1.41421, -9.53575e-11, 0, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 3.31023e-13, 7.56701e-44, 7.56701e-44, 7.45352e-16, 1.89796e-14, 7.56701e-44, 9.50068e-11, 7.56701e-44, 7.56701e-44, 7.56701e-44
0.329774, 0, 1.56182e-10, 1.35506e-42, 1.41421, -1.56182e-10, 0, 1.35506e-42, 1.35506e-42, 1.35506e-42, 1.35506e-42, 1.35506e-42, 1.35506e-42, 1.35506e-42, 1.35506e-42, 1.35506e-42, 1.35506e-42, 1.35506e-42, 5.42281e-13, 1.35506e-42, 1.35506e-42, 1.26631e-15, 3.23566e-14, 1.35506e-42, 1.55606e-10, 1.35506e-42, 1.35506e-42, 1.35506e-42
0.337669, 0, 2.53701e-10, 2.03819e-41, 1.41421, -2.53701e-10, 0, 2.03819e-41, 2.03819e-41, 2.03819e-41, 2.03819e-41, 2.03819e-41, 2.03819e-41, 2.03819e-41, 2.03819e-41, 2.03819e-41, 2.03819e-41, 2.03819e-41, 8.81112e-13, 2.03819e-41, 2.03819e-41, 2.14021e-15, 5.48498e-14, 2.03819e-41, 2.52763e-10, 2.03819e-41, 2.03819e-41, 2.03819e-41
0.345563, 0, 4.08742e-10, 2.70308e-40, 1.41421, -4.08742e-10, 0, 2.70308e-40, 2.70308e-40, 2.70308e-40, 2.70308e-40, 2.70308e-40, 2.70308e-40, 2.70308e-40, 2.70308e-40, 2.70308e-40, 2.70308e-40, 2.70308e-40, 1.42006e-12, 2.70308e-40, 2.70308e-40, 3.60015e-15, 9.24859e-14, 2.70308e-40, 4.07226e-10, 2.70308e-40, 2.70308e-40, 2.70308e-40
0.353458, 0, 6.53178e-10, 3.207e-39, 1.41421, -6.53178e-10, 0, 3.207e-39, 3.207e-39, 3.207e-39, 3.207e-39, 3.207e-39, 3.207e-39, 3.207e-39, 3.207e-39, 3.207e-39, 3.207e-39, 3.207e-39, 2.27026e-12, 3.207e-39, 3.207e-39, 6.03055e-15, 1.5518e-13, 3.207e-39, 6.50747e-10, 3.207e-39, 3.207e-39, 3.207e-39
0.361352, 0, 1.03535e-09, 3.42941e-38, 1.41421, -1.03535e-09, 0, 3.42941e-38, 3.42941e-38, 3.42941e-38, 3.42941e-38, 3.42941e-38, 3.42941e-38, 3.42941e-38, 3.42941e-38, 3.42941e-38, 3.42941e-38, 3.42941e-38, 3.60052e-12, 3.42941e-38, 3.42941e-38, 1.00646e-14, 2.592e-13, 3.42941e-38, 1.03148e-09, 3.42941e-38, 3.42941e-38, 3.42941e-38
0.369247, 0, 1.62794e-09, 3.32331e-37, 1.41421, -1.62794e-09, 0, 3.32331e-37, 3.32331e-37, 3.32331e-37, 3.32331e-37, 3.32331e-37, 3.32331e-37, 3.32331e-37, 3.32331e-37, 3.32331e-37, 3.32331e-37, 3.32331e-37, 5.6651e-12, 3.32331e-37, 3.32331e-37, 1.67449e-14, 4.31193e-13, 3.32331e-37, 1.62182e-09, 3.32331e-37, 3.32331e-37, 3.32331e-37
0.377142, 0, 2.53923e-09, 2.9348e-36, 1.41421, -2.53923e-09, 0, 2.9348e-36, 2.9348e-36, 2.9348e-36, 2.9348e-36, 2.9348e-36, 2.9348e-36, 2.9348e-36, 2.9348e-36, 2.9348e-36, 2.9348e-36, 2.9348e-36, 8.84369e-12, 2.9348e-36, 2.9348e-36, 2.77879e-14, 7.14742e-13, 2.9348e-36, 2.52965e-09, 2.9348e-36, 2.9348e-36, 2.9348e-36
0.385036, 0, 3.92919e-09, 2.37368e-35, 1.41421, -3.92919e-09, 0, 2.37368e-35, 2.37368e-35, 2.37368e-35, 2.37368e-35, 2.37368e-35, 2.37368e-35, 2.37368e-35, 2.37368e-35, 2.37368e-35, 2.37368e-35, 2.37368e-35, 1.36986e-11, 2.37368e-35, 2.37368e-35, 4.60195e-14, 1.18108e-12, 2.37368e-35, 3.91427e-09, 2.37368e-35, 2.37368e-35, 2.37368e-35
0.392931, 0, 6.032e-09, 1.76685e-34, 1.41421, -6.032e-09, 0, 1.76685e-34, 1.76685e-34, 1.76685e-34, 1.76685e-34, 1.76685e-34, 1.76685e-34, 1.76685e-34, 1.76685e-34, 1.76685e-34, 1.76685e-34, 1.76685e-34, 2.1056e-11, 1.76685e-34, 1.76685e-34, 7.6094e-14, 1.94657e-12, 1.76685e-34, 6.00892e-09, 1.76685e-34, 1.76685e-34, 1.76685e-34
