   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_122.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0285913, 183.48, 0, 0, 13.6191, 183.48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0207196, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0128479, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00497615, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00289555, 0, 4.71178e-22, 0, 1.41421, -4.71178e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5857e-24, 0, 0, 4.01939e-27, 0, 8.50317e-26, 0, 4.66503e-22, 0, 0, 0
0.0107673, 0, 1.15857e-21, 0, 1.41421, -1.15857e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12757e-23, 0, 0, 1.0043e-26, 0, 2.13319e-25, 0, 1.14707e-21, 0, 0, 0
0.018639, 0, 2.79715e-21, 0, 1.41421, -2.79715e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72229e-23, 0, 0, 2.46388e-26, 0, 5.24923e-25, 0, 2.76938e-21, 0, 0, 0
0.0265107, 0, 6.63825e-21, 0, 1.41421, -6.63825e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.46056e-23, 0, 0, 5.94192e-26, 0, 1.26868e-24, 0, 6.57232e-21, 0, 0, 0
0.0343824, 0, 1.55009e-20, 0, 1.41421, -1.55009e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50859e-22, 0, 0, 1.40998e-25, 0, 3.01501e-24, 0, 1.53469e-20, 0, 0, 0
0.0422541, 0, 3.56445e-20, 0, 1.41421, -3.56445e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46901e-22, 0, 0, 3.29498e-25, 0, 7.0522e-24, 0, 3.52903e-20, 0, 0, 0
0.0501258, 0, 8.07756e-20, 0, 1.41421, -8.07756e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.86125e-22, 0, 0, 7.58877e-25, 0, 1.6249e-23, 0, 7.99725e-20, 0, 0, 0
