   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0277537, 187.992, 0, 0, 13.7837, 187.992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.019883, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0120122, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00414143, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00372934, 0, 4.72544e-22, 0, 1.41421, -4.72544e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.60354e-24, 0, 0, 7.11541e-27, 0, 8.18337e-28, 0, 4.67933e-22, 0, 0, 0
0.0116001, 0, 1.16851e-21, 0, 1.41421, -1.16851e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13837e-23, 0, 0, 1.77581e-26, 0, 2.07959e-27, 0, 1.15711e-21, 0, 0, 0
0.0194709, 0, 2.83313e-21, 0, 1.41421, -2.83313e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76004e-23, 0, 0, 4.3462e-26, 0, 5.17336e-27, 0, 2.80548e-21, 0, 0, 0
0.0273416, 0, 6.74448e-21, 0, 1.41421, -6.74448e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.57049e-23, 0, 0, 1.04461e-25, 0, 1.262e-26, 0, 6.67866e-21, 0, 0, 0
0.0352124, 0, 1.57832e-20, 0, 1.41421, -1.57832e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53761e-22, 0, 0, 2.46862e-25, 0, 3.0231e-26, 0, 1.56292e-20, 0, 0, 0
0.0430832, 0, 3.63454e-20, 0, 1.41421, -3.63454e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54078e-22, 0, 0, 5.74188e-25, 0, 7.11999e-26, 0, 3.59907e-20, 0, 0, 0
