   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_128.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0338911, 192.503, 0, 0, 13.9465, 192.503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0260132, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0181353, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0102574, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00237947, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00549845, 0, 2.35603e-26, 0, 1.41421, -2.35603e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69802e-29, 0, 0, 1.73203e-31, 0, 0, 2.35331e-26, 0, 0, 0
0.0133764, 0, 9.80853e-26, 0, 1.41421, -9.80853e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12323e-28, 0, 0, 7.22532e-31, 0, 0, 9.79722e-26, 0, 0, 0
0.0212543, 0, 3.71688e-25, 0, 1.41421, -3.71688e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25641e-28, 0, 0, 2.74936e-30, 0, 0, 3.71259e-25, 0, 0, 0
0.0291322, 0, 1.31244e-24, 0, 1.41421, -1.31244e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50295e-27, 0, 0, 9.76399e-30, 0, 0, 1.31092e-24, 0, 0, 0
0.0370101, 0, 4.38145e-24, 0, 1.41421, -4.38145e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.01745e-27, 0, 0, 3.28296e-29, 0, 0, 4.3764e-24, 0, 0, 0
