   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_186.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0266056, 279.732, 0, 0, 16.7849, 279.732, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0187381, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0108705, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00300302, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00486451, 0, 2.18922e-22, 0, 1.41421, -2.18922e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40085e-24, 0, 0, 1.18128e-27, 0, 2.2622e-27, 0, 2.17518e-22, 0, 0, 0
0.012732, 0, 5.57406e-22, 0, 1.41421, -5.57406e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56675e-24, 0, 0, 3.03757e-27, 0, 5.93642e-27, 0, 5.5383e-22, 0, 0, 0
0.0205996, 0, 1.38919e-21, 0, 1.41421, -1.38919e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88919e-24, 0, 0, 7.64738e-27, 0, 1.52156e-26, 0, 1.38028e-21, 0, 0, 0
0.0284671, 0, 3.40119e-21, 0, 1.41421, -3.40119e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17636e-23, 0, 0, 1.89331e-26, 0, 3.82942e-26, 0, 3.37937e-21, 0, 0, 0
0.0363346, 0, 8.72209e-21, 0, 1.41421, -8.72209e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58112e-23, 0, 0, 4.94222e-26, 0, 1.0207e-25, 0, 8.66613e-21, 0, 0, 0
0.0442021, 0, 2.0436e-20, 0, 1.41421, -2.0436e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30767e-22, 0, 0, 1.17082e-25, 0, 2.44738e-25, 0, 2.03049e-20, 0, 0, 0
0.0520697, 0, 4.71336e-20, 0, 1.41421, -4.71336e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.016e-22, 0, 0, 2.73081e-25, 0, 5.77102e-25, 0, 4.68311e-20, 0, 0, 0
0.0599372, 0, 1.07092e-19, 0, 1.41421, -1.07092e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.85264e-22, 0, 0, 6.27571e-25, 0, 1.33955e-24, 0, 1.06405e-19, 0, 0, 0
0.0678047, 0, 2.39867e-19, 0, 1.41421, -2.39867e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53487e-21, 0, 0, 1.422e-24, 0, 3.06313e-24, 0, 2.38328e-19, 0, 0, 0
0.0756722, 0, 5.29935e-19, 0, 1.41421, -5.29935e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39096e-21, 0, 0, 3.1788e-24, 0, 6.90532e-24, 0, 5.26534e-19, 0, 0, 0
0.0835398, 0, 1.15543e-18, 0, 1.41421, -1.15543e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.39337e-21, 0, 0, 7.01427e-24, 0, 1.53562e-23, 0, 1.14801e-18, 0, 0, 0
0.0914073, 0, 2.48731e-18, 0, 1.41421, -2.48731e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59159e-20, 0, 0, 1.5285e-23, 0, 3.37057e-23, 0, 2.47135e-18, 0, 0, 0
0.0992748, 0, 5.28892e-18, 0, 1.41421, -5.28892e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38428e-20, 0, 0, 3.29075e-23, 0, 7.30572e-23, 0, 5.25497e-18, 0, 0, 0
0.107142, 0, 1.11126e-17, 0, 1.41421, -1.11126e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.11078e-20, 0, 0, 7.00234e-23, 0, 1.56444e-22, 0, 1.10413e-17, 0, 0, 0
0.11501, 0, 2.30795e-17, 0, 1.41421, -2.30795e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47682e-19, 0, 0, 1.4732e-22, 0, 3.31108e-22, 0, 2.29314e-17, 0, 0, 0
0.122877, 0, 4.73949e-17, 0, 1.41421, -4.73949e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03271e-19, 0, 0, 3.06545e-22, 0, 6.92881e-22, 0, 4.70906e-17, 0, 0, 0
0.130745, 0, 9.62624e-17, 0, 1.41421, -9.62624e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15964e-19, 0, 0, 6.31059e-22, 0, 1.43411e-21, 0, 9.56443e-17, 0, 0, 0
0.138612, 0, 1.93426e-16, 0, 1.41421, -1.93426e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23769e-18, 0, 0, 1.28561e-21, 0, 2.93681e-21, 0, 1.92184e-16, 0, 0, 0
0.14648, 0, 3.84599e-16, 0, 1.41421, -3.84599e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46097e-18, 0, 0, 2.59254e-21, 0, 5.95215e-21, 0, 3.8213e-16, 0, 0, 0
0.154348, 0, 7.56897e-16, 0, 1.41421, -7.56897e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84323e-18, 0, 0, 5.1763e-21, 0, 1.19426e-20, 0, 7.52037e-16, 0, 0, 0
0.162215, 0, 1.47464e-15, 0, 1.41421, -1.47464e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.43592e-18, 0, 0, 1.0235e-20, 0, 2.3728e-20, 0, 1.46517e-15, 0, 0, 0
0.170083, 0, 2.84472e-15, 0, 1.41421, -2.84472e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82028e-17, 0, 0, 2.00457e-20, 0, 4.66951e-20, 0, 2.82645e-15, 0, 0, 0
0.17795, 0, 5.43466e-15, 0, 1.41421, -5.43466e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47752e-17, 0, 0, 3.88957e-20, 0, 9.1039e-20, 0, 5.39975e-15, 0, 0, 0
0.185818, 0, 1.02838e-14, 0, 1.41421, -1.02838e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58034e-17, 0, 0, 7.47829e-20, 0, 1.75883e-19, 0, 1.02177e-14, 0, 0, 0
0.193685, 0, 1.92771e-14, 0, 1.41421, -1.92771e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23349e-16, 0, 0, 1.42493e-19, 0, 3.36779e-19, 0, 1.91533e-14, 0, 0, 0
0.201553, 0, 3.58013e-14, 0, 1.41421, -3.58013e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29084e-16, 0, 0, 2.6912e-19, 0, 6.39261e-19, 0, 3.55713e-14, 0, 0, 0
0.20942, 0, 6.58837e-14, 0, 1.41421, -6.58837e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21574e-16, 0, 0, 5.03878e-19, 0, 1.2031e-18, 0, 6.54605e-14, 0, 0, 0
0.217288, 0, 1.2015e-13, 0, 1.41421, -1.2015e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.68813e-16, 0, 0, 9.354e-19, 0, 2.24535e-18, 0, 1.19378e-13, 0, 0, 0
0.225155, 0, 2.17163e-13, 0, 1.41421, -2.17163e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38957e-15, 0, 0, 1.72195e-18, 0, 4.15627e-18, 0, 2.15767e-13, 0, 0, 0
0.233023, 0, 3.89044e-13, 0, 1.41421, -3.89044e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48941e-15, 0, 0, 3.14382e-18, 0, 7.63175e-18, 0, 3.86544e-13, 0, 0, 0
0.24089, 0, 6.90879e-13, 0, 1.41421, -6.90879e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42082e-15, 0, 0, 5.69328e-18, 0, 1.3903e-17, 0, 6.86438e-13, 0, 0, 0
0.248758, 0, 1.21627e-12, 0, 1.41421, -1.21627e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.78278e-15, 0, 0, 1.02282e-17, 0, 2.51318e-17, 0, 1.20845e-12, 0, 0, 0
0.256625, 0, 2.1228e-12, 0, 1.41421, -2.1228e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35839e-14, 0, 0, 1.82321e-17, 0, 4.50846e-17, 0, 2.10916e-12, 0, 0, 0
0.264493, 0, 3.67347e-12, 0, 1.41421, -3.67347e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35072e-14, 0, 0, 3.22507e-17, 0, 8.02828e-17, 0, 3.64985e-12, 0, 0, 0
0.27236, 0, 6.30309e-12, 0, 1.41421, -6.30309e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03361e-14, 0, 0, 5.66223e-17, 0, 1.41924e-16, 0, 6.26255e-12, 0, 0, 0
0.280228, 0, 1.07242e-11, 0, 1.41421, -1.07242e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.86323e-14, 0, 0, 9.86881e-17, 0, 2.49114e-16, 0, 1.06553e-11, 0, 0, 0
