   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_195.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0265188, 293.267, 0, 0, 17.1833, 293.267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0186521, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0107854, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00291868, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00494804, 0, 8.75023e-23, 0, 1.41421, -8.75023e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.74584e-25, 0, 0, 1.88949e-27, 0, 4.58327e-27, 0, 8.69212e-23, 0, 0, 0
0.0128147, 0, 2.2595e-22, 0, 1.41421, -2.2595e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4837e-24, 0, 0, 4.92447e-27, 0, 1.21965e-26, 0, 2.24449e-22, 0, 0, 0
0.0206815, 0, 5.71011e-22, 0, 1.41421, -5.71011e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74953e-24, 0, 0, 1.25636e-26, 0, 3.16952e-26, 0, 5.67217e-22, 0, 0, 0
0.0285482, 0, 1.4145e-21, 0, 1.41421, -1.4145e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.28829e-24, 0, 0, 3.14266e-26, 0, 8.05942e-26, 0, 1.4051e-21, 0, 0, 0
0.0364149, 0, 3.43927e-21, 0, 1.41421, -3.43927e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25838e-23, 0, 0, 7.71759e-26, 0, 2.00854e-25, 0, 3.41641e-21, 0, 0, 0
0.0442816, 0, 8.21727e-21, 0, 1.41421, -8.21727e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39582e-23, 0, 0, 1.86279e-25, 0, 4.91289e-25, 0, 8.16263e-21, 0, 0, 0
0.0521483, 0, 1.93112e-20, 0, 1.41421, -1.93112e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26806e-22, 0, 0, 4.42355e-25, 0, 1.18081e-24, 0, 1.91828e-20, 0, 0, 0
0.060015, 0, 4.4677e-20, 0, 1.41421, -4.4677e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93368e-22, 0, 0, 1.03436e-24, 0, 2.79162e-24, 0, 4.43798e-20, 0, 0, 0
0.0678817, 0, 1.01829e-19, 0, 1.41421, -1.01829e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.68654e-22, 0, 0, 2.38337e-24, 0, 6.49752e-24, 0, 1.01152e-19, 0, 0, 0
0.0757485, 0, 2.28801e-19, 0, 1.41421, -2.28801e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5024e-21, 0, 0, 5.41523e-24, 0, 1.49e-23, 0, 2.27278e-19, 0, 0, 0
0.0836152, 0, 5.07102e-19, 0, 1.41421, -5.07102e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32983e-21, 0, 0, 1.21396e-23, 0, 3.36882e-23, 0, 5.03726e-19, 0, 0, 0
0.0914819, 0, 1.10919e-18, 0, 1.41421, -1.10919e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.28336e-21, 0, 0, 2.68644e-23, 0, 7.51419e-23, 0, 1.1018e-18, 0, 0, 0
0.0993486, 0, 2.39546e-18, 0, 1.41421, -2.39546e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57295e-20, 0, 0, 5.87142e-23, 0, 1.65438e-22, 0, 2.37951e-18, 0, 0, 0
0.107215, 0, 5.11005e-18, 0, 1.41421, -5.11005e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35544e-20, 0, 0, 1.26789e-22, 0, 3.59711e-22, 0, 5.07601e-18, 0, 0, 0
0.115082, 0, 1.07715e-17, 0, 1.41421, -1.07715e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.07292e-20, 0, 0, 2.7062e-22, 0, 7.72728e-22, 0, 1.06997e-17, 0, 0, 0
0.122949, 0, 2.24438e-17, 0, 1.41421, -2.24438e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47374e-19, 0, 0, 5.71171e-22, 0, 1.6409e-21, 0, 2.22942e-17, 0, 0, 0
0.130815, 0, 4.69702e-17, 0, 1.41421, -4.69702e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08421e-19, 0, 0, 1.21539e-21, 0, 3.51608e-21, 0, 4.6657e-17, 0, 0, 0
0.138682, 0, 9.55333e-17, 0, 1.41421, -9.55333e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.27301e-19, 0, 0, 2.50511e-21, 0, 7.28651e-21, 0, 9.48962e-17, 0, 0, 0
0.146549, 0, 1.9226e-16, 0, 1.41421, -1.9226e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26243e-18, 0, 0, 5.11077e-21, 0, 1.49432e-20, 0, 1.90977e-16, 0, 0, 0
0.154416, 0, 3.82925e-16, 0, 1.41421, -3.82925e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51439e-18, 0, 0, 1.03226e-20, 0, 3.03349e-20, 0, 3.80369e-16, 0, 0, 0
0.162282, 0, 7.54941e-16, 0, 1.41421, -7.54941e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95715e-18, 0, 0, 2.06455e-20, 0, 6.0971e-20, 0, 7.49902e-16, 0, 0, 0
0.170149, 0, 1.47355e-15, 0, 1.41421, -1.47355e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.67568e-18, 0, 0, 4.08957e-20, 0, 1.21362e-19, 0, 1.46371e-15, 0, 0, 0
0.178016, 0, 2.84797e-15, 0, 1.41421, -2.84797e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87005e-17, 0, 0, 8.02454e-20, 0, 2.39286e-19, 0, 2.82895e-15, 0, 0, 0
0.185882, 0, 5.45119e-15, 0, 1.41421, -5.45119e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57937e-17, 0, 0, 1.55999e-19, 0, 4.6742e-19, 0, 5.41478e-15, 0, 0, 0
0.193749, 0, 1.03345e-14, 0, 1.41421, -1.03345e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.78587e-17, 0, 0, 3.00501e-19, 0, 9.0477e-19, 0, 1.02655e-14, 0, 0, 0
0.201616, 0, 1.94084e-14, 0, 1.41421, -1.94084e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27439e-16, 0, 0, 5.73664e-19, 0, 1.73574e-18, 0, 1.92786e-14, 0, 0, 0
0.209483, 0, 3.61105e-14, 0, 1.41421, -3.61105e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37107e-16, 0, 0, 1.08548e-18, 0, 3.30084e-18, 0, 3.5869e-14, 0, 0, 0
0.217349, 0, 6.65691e-14, 0, 1.41421, -6.65691e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37102e-16, 0, 0, 2.03609e-18, 0, 6.22337e-18, 0, 6.61237e-14, 0, 0, 0
0.225216, 0, 1.21604e-13, 0, 1.41421, -1.21604e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.98467e-16, 0, 0, 3.78654e-18, 0, 1.16347e-17, 0, 1.2079e-13, 0, 0, 0
0.233083, 0, 2.20139e-13, 0, 1.41421, -2.20139e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44546e-15, 0, 0, 6.98258e-18, 0, 2.15716e-17, 0, 2.18665e-13, 0, 0, 0
0.240949, 0, 3.94964e-13, 0, 1.41421, -3.94964e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5934e-15, 0, 0, 1.27695e-17, 0, 3.96706e-17, 0, 3.92318e-13, 0, 0, 0
0.248816, 0, 7.02368e-13, 0, 1.41421, -7.02368e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6119e-15, 0, 0, 2.31624e-17, 0, 7.23732e-17, 0, 6.97661e-13, 0, 0, 0
0.256683, 0, 1.23808e-12, 0, 1.41421, -1.23808e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.1296e-15, 0, 0, 4.16777e-17, 0, 1.31e-16, 0, 1.22978e-12, 0, 0, 0
0.26455, 0, 2.16342e-12, 0, 1.41421, -2.16342e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42059e-14, 0, 0, 7.44065e-17, 0, 2.35311e-16, 0, 2.14891e-12, 0, 0, 0
0.272416, 0, 3.74773e-12, 0, 1.41421, -3.74773e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46098e-14, 0, 0, 1.3182e-16, 0, 4.1951e-16, 0, 3.72257e-12, 0, 0, 0
