   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_215.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0327296, 323.346, 0, 0, 18.0373, 323.346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0248562, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0169828, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00910939, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00123598, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00663743, 0, 3.60664e-24, 0, 1.41421, -3.60664e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.60865e-27, 0, 0, 2.7592e-29, 0, 0, 3.59701e-24, 0, 0, 0
0.0145108, 0, 1.09696e-23, 0, 1.41421, -1.09696e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92247e-26, 0, 0, 8.47065e-29, 0, 0, 1.09403e-23, 0, 0, 0
0.0223842, 0, 3.21049e-23, 0, 1.41421, -3.21049e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.55323e-26, 0, 0, 2.50244e-28, 0, 0, 3.20191e-23, 0, 0, 0
0.0302577, 0, 9.08994e-23, 0, 1.41421, -9.08994e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4217e-25, 0, 0, 7.1525e-28, 0, 0, 9.06565e-23, 0, 0, 0
0.0381311, 0, 2.49958e-22, 0, 1.41421, -2.49958e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.65925e-25, 0, 0, 1.98573e-27, 0, 0, 2.4929e-22, 0, 0, 0
0.0460045, 0, 6.69573e-22, 0, 1.41421, -6.69573e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78384e-24, 0, 0, 5.37126e-27, 0, 0, 6.67784e-22, 0, 0, 0
0.0538779, 0, 1.75141e-21, 0, 1.41421, -1.75141e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66601e-24, 0, 0, 1.41895e-26, 0, 0, 1.74672e-21, 0, 0, 0
0.0617513, 0, 4.48205e-21, 0, 1.41421, -4.48205e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19409e-23, 0, 0, 3.66814e-26, 0, 0, 4.47007e-21, 0, 0, 0
0.0696247, 0, 1.12398e-20, 0, 1.41421, -1.12398e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99444e-23, 0, 0, 9.2942e-26, 0, 0, 1.12097e-20, 0, 0, 0
0.0774981, 0, 2.76576e-20, 0, 1.41421, -2.76576e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.3684e-23, 0, 0, 2.3113e-25, 0, 0, 2.75837e-20, 0, 0, 0
0.0853715, 0, 6.68561e-20, 0, 1.41421, -6.68561e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78115e-22, 0, 0, 5.64776e-25, 0, 0, 6.66774e-20, 0, 0, 0
0.0932449, 0, 1.58915e-19, 0, 1.41421, -1.58915e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.23373e-22, 0, 0, 1.35739e-24, 0, 0, 1.5849e-19, 0, 0, 0
0.101118, 0, 3.71751e-19, 0, 1.41421, -3.71751e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.90402e-22, 0, 0, 3.21156e-24, 0, 0, 3.70758e-19, 0, 0, 0
0.108992, 0, 8.56495e-19, 0, 1.41421, -8.56495e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28183e-21, 0, 0, 7.48568e-24, 0, 0, 8.54206e-19, 0, 0, 0
0.116865, 0, 1.94474e-18, 0, 1.41421, -1.94474e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18108e-21, 0, 0, 1.72003e-23, 0, 0, 1.93954e-18, 0, 0, 0
0.124739, 0, 4.35421e-18, 0, 1.41421, -4.35421e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16003e-20, 0, 0, 3.89836e-23, 0, 0, 4.34257e-18, 0, 0, 0
0.132612, 0, 9.61805e-18, 0, 1.41421, -9.61805e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56239e-20, 0, 0, 8.71947e-23, 0, 0, 9.59233e-18, 0, 0, 0
0.140485, 0, 2.09693e-17, 0, 1.41421, -2.09693e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58654e-20, 0, 0, 1.92556e-22, 0, 0, 2.09133e-17, 0, 0, 0
0.148359, 0, 4.51414e-17, 0, 1.41421, -4.51414e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20263e-19, 0, 0, 4.20013e-22, 0, 0, 4.50207e-17, 0, 0, 0
0.156232, 0, 9.59871e-17, 0, 1.41421, -9.59871e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55724e-19, 0, 0, 9.05241e-22, 0, 0, 9.57305e-17, 0, 0, 0
0.164106, 0, 2.01667e-16, 0, 1.41421, -2.01667e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.37271e-19, 0, 0, 1.92843e-21, 0, 0, 2.01128e-16, 0, 0, 0
0.171979, 0, 4.1876e-16, 0, 1.41421, -4.1876e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11564e-18, 0, 0, 4.06175e-21, 0, 0, 4.17641e-16, 0, 0, 0
0.179852, 0, 8.5964e-16, 0, 1.41421, -8.5964e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2902e-18, 0, 0, 8.46074e-21, 0, 0, 8.57342e-16, 0, 0, 0
0.187726, 0, 1.74498e-15, 0, 1.41421, -1.74498e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.64887e-18, 0, 0, 1.74341e-20, 0, 0, 1.74031e-15, 0, 0, 0
0.195599, 0, 3.50331e-15, 0, 1.41421, -3.50331e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.3333e-18, 0, 0, 3.55453e-20, 0, 0, 3.49394e-15, 0, 0, 0
0.203473, 0, 6.95772e-15, 0, 1.41421, -6.95772e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85363e-17, 0, 0, 7.17217e-20, 0, 0, 6.93911e-15, 0, 0, 0
0.211346, 0, 1.3672e-14, 0, 1.41421, -1.3672e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64239e-17, 0, 0, 1.43247e-19, 0, 0, 1.36354e-14, 0, 0, 0
0.219219, 0, 2.65854e-14, 0, 1.41421, -2.65854e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08265e-17, 0, 0, 2.83248e-19, 0, 0, 2.65143e-14, 0, 0, 0
0.227093, 0, 5.11643e-14, 0, 1.41421, -5.11643e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36307e-16, 0, 0, 5.5458e-19, 0, 0, 5.10274e-14, 0, 0, 0
0.234966, 0, 9.74679e-14, 0, 1.41421, -9.74679e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59663e-16, 0, 0, 1.07534e-18, 0, 0, 9.72071e-14, 0, 0, 0
0.24284, 0, 1.83815e-13, 0, 1.41421, -1.83815e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89699e-16, 0, 0, 2.06542e-18, 0, 0, 1.83323e-13, 0, 0, 0
0.250713, 0, 3.43224e-13, 0, 1.41421, -3.43224e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.14375e-16, 0, 0, 3.93016e-18, 0, 0, 3.42306e-13, 0, 0, 0
0.258586, 0, 6.35953e-13, 0, 1.41421, -6.35953e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69423e-15, 0, 0, 7.43673e-18, 0, 0, 6.34251e-13, 0, 0, 0
0.26646, 0, 1.16405e-12, 0, 1.41421, -1.16405e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10113e-15, 0, 0, 1.38903e-17, 0, 0, 1.16094e-12, 0, 0, 0
0.274333, 0, 2.11031e-12, 0, 1.41421, -2.11031e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.62205e-15, 0, 0, 2.5717e-17, 0, 0, 2.10466e-12, 0, 0, 0
0.282207, 0, 3.78945e-12, 0, 1.41421, -3.78945e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00955e-14, 0, 0, 4.72051e-17, 0, 0, 3.77931e-12, 0, 0, 0
0.29008, 0, 6.7406e-12, 0, 1.41421, -6.7406e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7958e-14, 0, 0, 8.59214e-17, 0, 0, 6.72256e-12, 0, 0, 0
0.297954, 0, 1.1878e-11, 0, 1.41421, -1.1878e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16457e-14, 0, 0, 1.55115e-16, 0, 0, 1.18462e-11, 0, 0, 0
