   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_236.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0279613, 354.928, 0, 0, 18.8925, 354.928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0200946, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0122278, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00436109, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00350565, 0, 3.43839e-23, 0, 1.41421, -3.43839e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82701e-25, 0, 0, 4.98171e-28, 0, 5.21077e-27, 0, 3.40955e-23, 0, 0, 0
0.0113724, 0, 9.166e-23, 0, 1.41421, -9.166e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53615e-25, 0, 0, 1.34858e-27, 0, 1.42414e-26, 0, 9.08908e-23, 0, 0, 0
0.0192391, 0, 2.38659e-22, 0, 1.41421, -2.38659e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96221e-24, 0, 0, 3.56569e-27, 0, 3.79418e-26, 0, 2.36655e-22, 0, 0, 0
0.0271059, 0, 6.08108e-22, 0, 1.41421, -6.08108e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.99973e-24, 0, 0, 9.22601e-27, 0, 9.87645e-26, 0, 6.03e-22, 0, 0, 0
0.0349726, 0, 1.5187e-21, 0, 1.41421, -1.5187e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24864e-23, 0, 0, 2.33981e-26, 0, 2.5166e-25, 0, 1.50594e-21, 0, 0, 0
0.0428393, 0, 3.72249e-21, 0, 1.41421, -3.72249e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06053e-23, 0, 0, 5.82414e-26, 0, 6.2871e-25, 0, 3.69119e-21, 0, 0, 0
0.0507061, 0, 8.96515e-21, 0, 1.41421, -8.96515e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.37088e-23, 0, 0, 1.42452e-25, 0, 1.54201e-24, 0, 8.88976e-21, 0, 0, 0
0.0585728, 0, 2.12359e-20, 0, 1.41421, -2.12359e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74594e-22, 0, 0, 3.42709e-25, 0, 3.71721e-24, 0, 2.10572e-20, 0, 0, 0
0.0664395, 0, 4.95152e-20, 0, 1.41421, -4.95152e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07096e-22, 0, 0, 8.11662e-25, 0, 8.81578e-24, 0, 4.90984e-20, 0, 0, 0
0.0743063, 0, 1.13734e-19, 0, 1.41421, -1.13734e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.35075e-22, 0, 0, 1.89387e-24, 0, 2.0587e-23, 0, 1.12776e-19, 0, 0, 0
0.082173, 0, 2.57516e-19, 0, 1.41421, -2.57516e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11719e-21, 0, 0, 4.3565e-24, 0, 4.73736e-23, 0, 2.55347e-19, 0, 0, 0
0.0900397, 0, 5.75091e-19, 0, 1.41421, -5.75091e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.72815e-21, 0, 0, 9.88551e-24, 0, 1.07493e-22, 0, 5.70246e-19, 0, 0, 0
0.0979065, 0, 1.26739e-18, 0, 1.41421, -1.26739e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04199e-20, 0, 0, 2.21392e-23, 0, 2.40648e-22, 0, 1.2567e-18, 0, 0, 0
0.105773, 0, 2.75755e-18, 0, 1.41421, -2.75755e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26712e-20, 0, 0, 4.89589e-23, 0, 5.31828e-22, 0, 2.73429e-18, 0, 0, 0
0.11364, 0, 5.92592e-18, 0, 1.41421, -5.92592e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87199e-20, 0, 0, 1.06954e-22, 0, 1.16079e-21, 0, 5.87593e-18, 0, 0, 0
0.121507, 0, 1.25826e-17, 0, 1.41421, -1.25826e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03447e-19, 0, 0, 2.30898e-22, 0, 2.50331e-21, 0, 1.24764e-17, 0, 0, 0
0.129373, 0, 2.64064e-17, 0, 1.41421, -2.64064e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17099e-19, 0, 0, 4.92782e-22, 0, 5.33612e-21, 0, 2.61835e-17, 0, 0, 0
0.13724, 0, 5.47909e-17, 0, 1.41421, -5.47909e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.50458e-19, 0, 0, 1.04002e-21, 0, 1.12471e-20, 0, 5.43281e-17, 0, 0, 0
0.145107, 0, 1.1243e-16, 0, 1.41421, -1.1243e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.24329e-19, 0, 0, 2.1712e-21, 0, 2.34478e-20, 0, 1.1148e-16, 0, 0, 0
0.152974, 0, 2.28214e-16, 0, 1.41421, -2.28214e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87622e-18, 0, 0, 4.48487e-21, 0, 4.83656e-20, 0, 2.26285e-16, 0, 0, 0
0.16084, 0, 4.58338e-16, 0, 1.41421, -4.58338e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76814e-18, 0, 0, 9.16844e-21, 0, 9.87343e-20, 0, 4.54462e-16, 0, 0, 0
0.168707, 0, 9.10973e-16, 0, 1.41421, -9.10973e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.48935e-18, 0, 0, 1.85537e-20, 0, 1.99529e-19, 0, 9.03265e-16, 0, 0, 0
0.176574, 0, 1.79218e-15, 0, 1.41421, -1.79218e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47339e-17, 0, 0, 3.71746e-20, 0, 3.99259e-19, 0, 1.77701e-15, 0, 0, 0
0.184441, 0, 3.49053e-15, 0, 1.41421, -3.49053e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86963e-17, 0, 0, 7.37611e-20, 0, 7.91261e-19, 0, 3.46097e-15, 0, 0, 0
0.192307, 0, 6.77362e-15, 0, 1.41421, -6.77362e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.56868e-17, 0, 0, 1.46252e-19, 0, 1.56739e-18, 0, 6.71622e-15, 0, 0, 0
0.200174, 0, 1.29256e-14, 0, 1.41421, -1.29256e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06262e-16, 0, 0, 2.84443e-19, 0, 3.04594e-18, 0, 1.2816e-14, 0, 0, 0
0.208041, 0, 2.44313e-14, 0, 1.41421, -2.44313e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00849e-16, 0, 0, 5.48155e-19, 0, 5.86642e-18, 0, 2.4224e-14, 0, 0, 0
0.215907, 0, 4.57461e-14, 0, 1.41421, -4.57461e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76076e-16, 0, 0, 1.0469e-18, 0, 1.11997e-17, 0, 4.53578e-14, 0, 0, 0
0.223774, 0, 8.48642e-14, 0, 1.41421, -8.48642e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97659e-16, 0, 0, 1.98179e-18, 0, 2.1198e-17, 0, 8.41434e-14, 0, 0, 0
0.231641, 0, 1.55991e-13, 0, 1.41421, -1.55991e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28237e-15, 0, 0, 3.71892e-18, 0, 3.97834e-17, 0, 1.54665e-13, 0, 0, 0
