   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_237.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0271595, 356.432, 0, 0, 18.9323, 356.432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0192944, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0114294, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00356436, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00430068, 0, 3.55454e-22, 0, 1.41421, -3.55454e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2674e-24, 0, 0, 3.31982e-27, 0, 1.30618e-26, 0, 3.5417e-22, 0, 0, 0
0.0121657, 0, 8.89742e-22, 0, 1.41421, -8.89742e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17243e-24, 0, 0, 8.39065e-27, 0, 3.36928e-26, 0, 8.86527e-22, 0, 0, 0
0.0200308, 0, 2.18216e-21, 0, 1.41421, -2.18216e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.78063e-24, 0, 0, 2.07805e-26, 0, 8.49704e-26, 0, 2.17427e-21, 0, 0, 0
0.0278958, 0, 5.25159e-21, 0, 1.41421, -5.25159e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87249e-23, 0, 0, 5.05066e-26, 0, 2.09906e-25, 0, 5.2326e-21, 0, 0, 0
0.0357608, 0, 1.24169e-20, 0, 1.41421, -1.24169e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42731e-23, 0, 0, 1.20619e-25, 0, 5.0873e-25, 0, 1.2372e-20, 0, 0, 0
0.0436259, 0, 2.88741e-20, 0, 1.41421, -2.88741e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02952e-22, 0, 0, 2.83353e-25, 0, 1.21122e-24, 0, 2.87697e-20, 0, 0, 0
0.0514909, 0, 6.60955e-20, 0, 1.41421, -6.60955e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35667e-22, 0, 0, 6.55364e-25, 0, 2.83606e-24, 0, 6.58563e-20, 0, 0, 0
0.059356, 0, 1.49053e-19, 0, 1.41421, -1.49053e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31454e-22, 0, 0, 1.49357e-24, 0, 6.53701e-24, 0, 1.48513e-19, 0, 0, 0
0.067221, 0, 3.31374e-19, 0, 1.41421, -3.31374e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18153e-21, 0, 0, 3.35637e-24, 0, 1.48451e-23, 0, 3.30174e-19, 0, 0, 0
0.075086, 0, 7.26727e-19, 0, 1.41421, -7.26727e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59117e-21, 0, 0, 7.44193e-24, 0, 3.32389e-23, 0, 7.24095e-19, 0, 0, 0
0.0829511, 0, 1.57303e-18, 0, 1.41421, -1.57303e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.60868e-21, 0, 0, 1.62898e-23, 0, 7.34269e-23, 0, 1.56733e-18, 0, 0, 0
0.0908161, 0, 3.36223e-18, 0, 1.41421, -3.36223e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19881e-20, 0, 0, 3.52196e-23, 0, 1.60127e-22, 0, 3.35005e-18, 0, 0, 0
