   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_248.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0279618, 372.976, 0, 0, 19.3643, 372.976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0200954, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0122289, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00436249, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00350393, 0, 1.03541e-23, 0, 1.41421, -1.03541e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17731e-25, 0, 0, 3.04515e-28, 0, 6.19946e-27, 0, 1.02298e-23, 0, 0, 0
0.0113704, 0, 2.82401e-23, 0, 1.41421, -2.82401e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21103e-25, 0, 0, 8.42633e-28, 0, 1.71515e-26, 0, 2.7901e-23, 0, 0, 0
0.0192368, 0, 7.50174e-23, 0, 1.41421, -7.50174e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.52974e-25, 0, 0, 2.27086e-27, 0, 4.61993e-26, 0, 7.41159e-23, 0, 0, 0
0.0271032, 0, 1.94576e-22, 0, 1.41421, -1.94576e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21238e-24, 0, 0, 5.97551e-27, 0, 1.21473e-25, 0, 1.92236e-22, 0, 0, 0
0.0349697, 0, 4.93775e-22, 0, 1.41421, -4.93775e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.61429e-24, 0, 0, 1.53845e-26, 0, 3.12426e-25, 0, 4.87833e-22, 0, 0, 0
0.0428361, 0, 1.22801e-21, 0, 1.41421, -1.22801e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39625e-23, 0, 0, 3.882e-26, 0, 7.87395e-25, 0, 1.21322e-21, 0, 0, 0
0.0507025, 0, 2.99717e-21, 0, 1.41421, -2.99717e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40776e-23, 0, 0, 9.61388e-26, 0, 1.94733e-24, 0, 2.96105e-21, 0, 0, 0
0.0585689, 0, 7.18735e-21, 0, 1.41421, -7.18735e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.1719e-23, 0, 0, 2.33957e-25, 0, 4.73169e-24, 0, 7.10067e-21, 0, 0, 0
