   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_251.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0281284, 377.487, 0, 0, 19.4804, 377.487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0202609, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0123933, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00452583, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00334168, 0, 2.67186e-23, 0, 1.41421, -2.67186e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.68675e-25, 0, 4.57199e-28, 0, 3.6072e-27, 0, 2.60459e-23, 0, 0, 0
0.0112092, 0, 7.03558e-23, 0, 1.41421, -7.03558e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76076e-24, 0, 1.22331e-27, 0, 9.73967e-27, 0, 6.85841e-23, 0, 0, 0
0.0190767, 0, 1.80974e-22, 0, 1.41421, -1.80974e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52912e-24, 0, 3.19733e-27, 0, 2.56386e-26, 0, 1.76416e-22, 0, 0, 0
0.0269442, 0, 4.55609e-22, 0, 1.41421, -4.55609e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14022e-23, 0, 8.17886e-27, 0, 6.59507e-26, 0, 4.44133e-22, 0, 0, 0
0.0348117, 0, 1.12438e-21, 0, 1.41421, -1.12438e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8139e-23, 0, 2.05091e-26, 0, 1.66087e-25, 0, 1.09606e-21, 0, 0, 0
0.0426792, 0, 2.7237e-21, 0, 1.41421, -2.7237e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.81638e-23, 0, 5.0482e-26, 0, 4.10145e-25, 0, 2.65508e-21, 0, 0, 0
0.0505467, 0, 6.48369e-21, 0, 1.41421, -6.48369e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62261e-22, 0, 1.22113e-25, 0, 9.94491e-25, 0, 6.32032e-21, 0, 0, 0
0.0584143, 0, 1.51819e-20, 0, 1.41421, -1.51819e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79941e-22, 0, 2.90572e-25, 0, 2.37037e-24, 0, 1.47993e-20, 0, 0, 0
0.0662818, 0, 3.49977e-20, 0, 1.41421, -3.49977e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.75849e-22, 0, 6.80753e-25, 0, 5.55915e-24, 0, 3.41156e-20, 0, 0, 0
0.0741493, 0, 7.94847e-20, 0, 1.41421, -7.94847e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98917e-21, 0, 1.57143e-24, 0, 1.28394e-23, 0, 7.74811e-20, 0, 0, 0
0.0820168, 0, 1.77969e-19, 0, 1.41421, -1.77969e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.45382e-21, 0, 3.57655e-24, 0, 2.92252e-23, 0, 1.73483e-19, 0, 0, 0
0.0898843, 0, 3.93075e-19, 0, 1.41421, -3.93075e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.83696e-21, 0, 8.03069e-24, 0, 6.5604e-23, 0, 3.83164e-19, 0, 0, 0
0.0977518, 0, 8.56831e-19, 0, 1.41421, -8.56831e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14427e-20, 0, 1.77988e-23, 0, 1.45318e-22, 0, 8.35225e-19, 0, 0, 0
0.105619, 0, 1.892e-18, 0, 1.41421, -1.892e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73483e-20, 0, 4.02044e-23, 0, 3.2781e-22, 0, 1.84429e-18, 0, 0, 0
0.113487, 0, 4.01154e-18, 0, 1.41421, -4.01154e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0039e-19, 0, 8.66804e-23, 0, 7.06067e-22, 0, 3.91036e-18, 0, 0, 0
0.121354, 0, 8.40732e-18, 0, 1.41421, -8.40732e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10396e-19, 0, 1.84759e-22, 0, 1.50332e-21, 0, 8.19523e-18, 0, 0, 0
0.129222, 0, 1.74218e-17, 0, 1.41421, -1.74218e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35984e-19, 0, 3.89464e-22, 0, 3.16512e-21, 0, 1.69822e-17, 0, 0, 0
0.137089, 0, 3.57055e-17, 0, 1.41421, -3.57055e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.93536e-19, 0, 8.12134e-22, 0, 6.59184e-21, 0, 3.48046e-17, 0, 0, 0
0.144957, 0, 7.23932e-17, 0, 1.41421, -7.23932e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81164e-18, 0, 1.67574e-21, 0, 1.35841e-20, 0, 7.05663e-17, 0, 0, 0
0.152824, 0, 1.45236e-16, 0, 1.41421, -1.45236e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.63454e-18, 0, 3.42221e-21, 0, 2.77066e-20, 0, 1.41571e-16, 0, 0, 0
0.160692, 0, 2.88378e-16, 0, 1.41421, -2.88378e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21662e-18, 0, 6.91867e-21, 0, 5.59465e-20, 0, 2.81098e-16, 0, 0, 0
0.168559, 0, 5.6681e-16, 0, 1.41421, -5.6681e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41843e-17, 0, 1.38497e-20, 0, 1.11867e-19, 0, 5.525e-16, 0, 0, 0
0.176427, 0, 1.10301e-15, 0, 1.41421, -1.10301e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76024e-17, 0, 2.74566e-20, 0, 2.21547e-19, 0, 1.07516e-15, 0, 0, 0
0.184294, 0, 2.12547e-15, 0, 1.41421, -2.12547e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31889e-17, 0, 5.39152e-20, 0, 4.34664e-19, 0, 2.0718e-15, 0, 0, 0
0.192162, 0, 4.0563e-15, 0, 1.41421, -4.0563e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01506e-16, 0, 1.04883e-19, 0, 8.44987e-19, 0, 3.95384e-15, 0, 0, 0
