   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_259.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0275676, 389.519, 0, 0, 19.7868, 389.519, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0197032, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0118388, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00397438, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00389004, 0, 9.72859e-24, 0, 1.41421, -9.72859e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.53472e-26, 0, 0, 1.75769e-28, 0, 1.31926e-27, 0, 9.67175e-24, 0, 0, 0
0.0117545, 0, 2.7438e-23, 0, 1.41421, -2.7438e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56097e-25, 0, 0, 5.04423e-28, 0, 3.83883e-27, 0, 2.72775e-23, 0, 0, 0
0.0196189, 0, 7.50169e-23, 0, 1.41421, -7.50169e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26777e-25, 0, 0, 1.40228e-27, 0, 1.07865e-26, 0, 7.45779e-23, 0, 0, 0
0.0274833, 0, 1.99541e-22, 0, 1.41421, -1.99541e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1352e-24, 0, 0, 3.79068e-27, 0, 2.94029e-26, 0, 1.98373e-22, 0, 0, 0
0.0353477, 0, 5.17808e-22, 0, 1.41421, -5.17808e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94582e-24, 0, 0, 9.99339e-27, 0, 7.8024e-26, 0, 5.14774e-22, 0, 0, 0
0.0432121, 0, 1.31376e-21, 0, 1.41421, -1.31376e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.47401e-24, 0, 0, 2.57525e-26, 0, 2.021e-25, 0, 1.30606e-21, 0, 0, 0
