   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_260.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0269923, 391.023, 0, 0, 19.8248, 391.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0191286, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0112649, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00340122, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00446248, 0, 3.87957e-24, 0, 1.41421, -3.87957e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62678e-26, 0, 0, 4.25317e-29, 0, 3.44877e-28, 0, 3.84292e-24, 0, 0, 0
0.0123262, 0, 1.10984e-23, 0, 1.41421, -1.10984e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03752e-25, 0, 0, 1.22531e-28, 0, 1.03012e-27, 0, 1.09935e-23, 0, 0, 0
0.0201899, 0, 3.08295e-23, 0, 1.41421, -3.08295e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88204e-25, 0, 0, 3.4289e-28, 0, 2.97405e-27, 0, 3.0538e-23, 0, 0, 0
0.0280536, 0, 8.34033e-23, 0, 1.41421, -8.34033e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.79679e-25, 0, 0, 9.34762e-28, 0, 8.33228e-27, 0, 8.26143e-23, 0, 0, 0
0.0359173, 0, 2.20259e-22, 0, 1.41421, -2.20259e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05904e-24, 0, 0, 2.48827e-27, 0, 2.27236e-26, 0, 2.18175e-22, 0, 0, 0
0.043781, 0, 5.68919e-22, 0, 1.41421, -5.68919e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31839e-24, 0, 0, 6.47996e-27, 0, 6.04728e-26, 0, 5.63534e-22, 0, 0, 0
0.0516447, 0, 1.43955e-21, 0, 1.41421, -1.43955e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34572e-23, 0, 0, 1.65355e-26, 0, 1.57356e-25, 0, 1.42592e-21, 0, 0, 0
0.0595084, 0, 3.57315e-21, 0, 1.41421, -3.57315e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34025e-23, 0, 0, 4.14019e-26, 0, 4.01026e-25, 0, 3.53931e-21, 0, 0, 0
0.0673721, 0, 8.71007e-21, 0, 1.41421, -8.71007e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.1423e-23, 0, 0, 1.01831e-25, 0, 1.00242e-24, 0, 8.62754e-21, 0, 0, 0
0.0752358, 0, 2.08721e-20, 0, 1.41421, -2.08721e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95115e-22, 0, 0, 2.46278e-25, 0, 2.46058e-24, 0, 2.06743e-20, 0, 0, 0
0.0830995, 0, 4.9211e-20, 0, 1.41421, -4.9211e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.60029e-22, 0, 0, 5.86186e-25, 0, 5.93723e-24, 0, 4.87444e-20, 0, 0, 0
0.0909633, 0, 1.14244e-19, 0, 1.41421, -1.14244e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06796e-21, 0, 0, 1.37416e-24, 0, 1.40955e-23, 0, 1.13161e-19, 0, 0, 0
0.098827, 0, 2.61319e-19, 0, 1.41421, -2.61319e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44282e-21, 0, 0, 3.17486e-24, 0, 3.29512e-23, 0, 2.5884e-19, 0, 0, 0
0.106691, 0, 5.89289e-19, 0, 1.41421, -5.89289e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50868e-21, 0, 0, 7.23361e-24, 0, 7.59036e-23, 0, 5.83697e-19, 0, 0, 0
0.114554, 0, 1.31079e-18, 0, 1.41421, -1.31079e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22532e-20, 0, 0, 1.62614e-23, 0, 1.72393e-22, 0, 1.29835e-18, 0, 0, 0
0.122418, 0, 2.87729e-18, 0, 1.41421, -2.87729e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68968e-20, 0, 0, 3.60858e-23, 0, 3.86265e-22, 0, 2.84997e-18, 0, 0, 0
