   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_285.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0281532, 428.621, 0, 0, 20.7514, 428.621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0202894, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0124256, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00456183, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00330198, 0, 5.1767e-22, 0, 1.41421, -5.1767e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94894e-24, 0, 0, 4.01144e-27, 0, 0, 5.15717e-22, 0, 0, 0
0.0111658, 0, 1.2673e-21, 0, 1.41421, -1.2673e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77115e-24, 0, 0, 9.97486e-27, 0, 0, 1.26252e-21, 0, 0, 0
0.0190296, 0, 3.04655e-21, 0, 1.41421, -3.04655e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14697e-23, 0, 0, 2.4357e-26, 0, 0, 3.03505e-21, 0, 0, 0
0.0268934, 0, 7.19992e-21, 0, 1.41421, -7.19992e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71064e-23, 0, 0, 5.84713e-26, 0, 0, 7.17276e-21, 0, 0, 0
0.0347572, 0, 1.6744e-20, 0, 1.41421, -1.6744e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.30383e-23, 0, 0, 1.38132e-25, 0, 0, 1.66809e-20, 0, 0, 0
0.042621, 0, 3.83502e-20, 0, 1.41421, -3.83502e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44382e-22, 0, 0, 3.21402e-25, 0, 0, 3.82055e-20, 0, 0, 0
0.0504848, 0, 8.6571e-20, 0, 1.41421, -8.6571e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25924e-22, 0, 0, 7.37111e-25, 0, 0, 8.62443e-20, 0, 0, 0
