   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_289.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0276947, 434.637, 0, 0, 20.8959, 434.637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0198314, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0119682, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00410489, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00375839, 0, 7.61968e-23, 0, 1.41421, -7.61968e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74574e-25, 0, 0, 1.38988e-27, 1.09486e-26, 0, 7.58099e-23, 0, 0, 0
0.0116217, 0, 1.9803e-22, 0, 1.41421, -1.9803e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.73488e-25, 0, 0, 3.67265e-27, 2.91788e-26, 0, 1.97024e-22, 0, 0, 0
0.0194849, 0, 5.02852e-22, 0, 1.41421, -5.02852e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47194e-24, 0, 0, 9.48157e-27, 7.58312e-26, 0, 5.00295e-22, 0, 0, 0
0.0273482, 0, 1.36277e-21, 0, 1.41421, -1.36277e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.69911e-24, 0, 0, 2.64542e-26, 2.1295e-25, 0, 1.35583e-21, 0, 0, 0
0.0352115, 0, 3.29624e-21, 0, 1.41421, -3.29624e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62036e-23, 0, 0, 6.50707e-26, 5.25482e-25, 0, 3.27944e-21, 0, 0, 0
0.0430748, 0, 7.83336e-21, 0, 1.41421, -7.83336e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8507e-23, 0, 0, 1.57237e-25, 1.27276e-24, 0, 7.79342e-21, 0, 0, 0
