   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_317.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0275801, 476.747, 0, 0, 21.8803, 476.747, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0197154, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0118507, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00398592, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00387881, 0, 2.36142e-22, 0, 1.41421, -2.36142e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.53041e-25, 0, 0, 1.14428e-27, 2.12e-28, 0, 2.35187e-22, 0, 0, 0
0.0117435, 0, 5.92127e-22, 0, 1.41421, -5.92127e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38976e-24, 0, 0, 2.89639e-27, 5.48844e-28, 0, 5.89733e-22, 0, 0, 0
0.0196083, 0, 1.45486e-21, 0, 1.41421, -1.45486e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87166e-24, 0, 0, 7.18433e-27, 1.38901e-27, 0, 1.44898e-21, 0, 0, 0
0.027473, 0, 3.50782e-21, 0, 1.41421, -3.50782e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41572e-23, 0, 0, 1.74893e-26, 3.4431e-27, 0, 3.49364e-21, 0, 0, 0
0.0353377, 0, 8.30988e-21, 0, 1.41421, -8.30988e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35377e-23, 0, 0, 4.1837e-26, 8.37275e-27, 0, 8.27629e-21, 0, 0, 0
0.0432025, 0, 1.93619e-20, 0, 1.41421, -1.93619e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.81423e-23, 0, 0, 9.84486e-26, 2.00001e-26, 0, 1.92836e-20, 0, 0, 0
0.0510672, 0, 4.44101e-20, 0, 1.41421, -4.44101e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79234e-22, 0, 0, 2.28093e-25, 4.69813e-26, 0, 4.42306e-20, 0, 0, 0
0.0589319, 0, 1.00354e-19, 0, 1.41421, -1.00354e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05018e-22, 0, 0, 5.20731e-25, 1.08633e-25, 0, 9.99484e-20, 0, 0, 0
