   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_329.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0287739, 494.794, 0, 0, 22.2889, 494.794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0209104, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0130469, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00518336, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00268016, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0105437, 0, 2.47163e-28, 0, 1.41421, -2.47163e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51841e-30, 0, 0, 1.51055e-33, 0, 1.07546e-32, 0, 2.45632e-28, 0, 0, 0
0.0184072, 0, 2.19439e-27, 0, 1.41421, -2.19439e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34808e-29, 0, 0, 1.34111e-32, 0, 1.0276e-31, 0, 2.18079e-27, 0, 0, 0
0.0262707, 0, 1.26277e-26, 0, 1.41421, -1.26277e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.75761e-29, 0, 0, 7.73886e-32, 0, 6.2231e-31, 0, 1.25494e-26, 0, 0, 0
0.0341343, 0, 5.91356e-26, 0, 1.41421, -5.91356e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.63288e-28, 0, 0, 3.64784e-31, 0, 3.02884e-30, 0, 5.87689e-26, 0, 0, 0
0.0419978, 0, 2.44016e-25, 0, 1.41421, -2.44016e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49906e-27, 0, 0, 1.51877e-30, 0, 1.28915e-29, 0, 2.42502e-25, 0, 0, 0
0.0498613, 0, 9.2158e-25, 0, 1.41421, -9.2158e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66153e-27, 0, 0, 5.79506e-30, 0, 4.9976e-29, 0, 9.15862e-25, 0, 0, 0
0.0577248, 0, 3.34017e-24, 0, 1.41421, -3.34017e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05196e-26, 0, 0, 2.13239e-29, 0, 1.86595e-28, 0, 3.31945e-24, 0, 0, 0
0.0655883, 0, 1.13325e-23, 0, 1.41421, -1.13325e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.96185e-26, 0, 0, 7.33309e-29, 0, 6.48676e-28, 0, 1.12621e-23, 0, 0, 0
0.0734519, 0, 3.65161e-23, 0, 1.41421, -3.65161e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24328e-25, 0, 0, 2.3929e-28, 0, 2.13502e-27, 0, 3.62894e-23, 0, 0, 0
0.0813154, 0, 1.12765e-22, 0, 1.41421, -1.12765e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.92742e-25, 0, 0, 7.47956e-28, 0, 6.7211e-27, 0, 1.12065e-22, 0, 0, 0
0.0891789, 0, 3.35778e-22, 0, 1.41421, -3.35778e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06276e-24, 0, 0, 2.25372e-27, 0, 2.03744e-26, 0, 3.33692e-22, 0, 0, 0
0.0970424, 0, 9.68367e-22, 0, 1.41421, -9.68367e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94891e-24, 0, 0, 6.57636e-27, 0, 5.97624e-26, 0, 9.62352e-22, 0, 0, 0
0.104906, 0, 2.96001e-21, 0, 1.41421, -2.96001e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8184e-23, 0, 0, 2.04847e-26, 0, 1.87383e-25, 0, 2.94162e-21, 0, 0, 0
0.112769, 0, 7.99512e-21, 0, 1.41421, -7.99512e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91158e-23, 0, 0, 5.59677e-26, 0, 5.13794e-25, 0, 7.94544e-21, 0, 0, 0
0.120633, 0, 2.11174e-20, 0, 1.41421, -2.11174e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29729e-22, 0, 0, 1.49554e-25, 0, 1.37728e-24, 0, 2.09862e-20, 0, 0, 0
0.128497, 0, 5.46223e-20, 0, 1.41421, -5.46223e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35556e-22, 0, 0, 3.91432e-25, 0, 3.61487e-24, 0, 5.42828e-20, 0, 0, 0
0.13636, 0, 1.38532e-19, 0, 1.41421, -1.38532e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.51031e-22, 0, 0, 1.00476e-24, 0, 9.30183e-24, 0, 1.37671e-19, 0, 0, 0
0.144224, 0, 3.44864e-19, 0, 1.41421, -3.44864e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11857e-21, 0, 0, 2.53219e-24, 0, 2.3493e-23, 0, 3.4272e-19, 0, 0, 0
0.152087, 0, 8.43459e-19, 0, 1.41421, -8.43459e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18153e-21, 0, 0, 6.27142e-24, 0, 5.82941e-23, 0, 8.38213e-19, 0, 0, 0
0.159951, 0, 2.0284e-18, 0, 1.41421, -2.0284e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24608e-20, 0, 0, 1.5277e-23, 0, 1.42233e-22, 0, 2.01578e-18, 0, 0, 0
0.167814, 0, 4.79981e-18, 0, 1.41421, -4.79981e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9486e-20, 0, 0, 3.6629e-23, 0, 3.41497e-22, 0, 4.76994e-18, 0, 0, 0
0.175678, 0, 1.11828e-17, 0, 1.41421, -1.11828e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.86976e-20, 0, 0, 8.64991e-23, 0, 8.07377e-22, 0, 1.11132e-17, 0, 0, 0
0.183541, 0, 2.56667e-17, 0, 1.41421, -2.56667e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57675e-19, 0, 0, 2.01299e-22, 0, 1.8807e-21, 0, 2.5507e-17, 0, 0, 0
0.191405, 0, 5.80628e-17, 0, 1.41421, -5.80628e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56688e-19, 0, 0, 4.61888e-22, 0, 4.31862e-21, 0, 5.77013e-17, 0, 0, 0
0.199268, 0, 1.29515e-16, 0, 1.41421, -1.29515e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.95631e-19, 0, 0, 1.04542e-21, 0, 9.78029e-21, 0, 1.28709e-16, 0, 0, 0
0.207132, 0, 2.84976e-16, 0, 1.41421, -2.84976e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75065e-18, 0, 0, 2.33494e-21, 0, 2.18536e-20, 0, 2.83201e-16, 0, 0, 0
0.214995, 0, 6.18739e-16, 0, 1.41421, -6.18739e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80099e-18, 0, 0, 5.14814e-21, 0, 4.81971e-20, 0, 6.14885e-16, 0, 0, 0
0.222859, 0, 1.32603e-15, 0, 1.41421, -1.32603e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.14591e-18, 0, 0, 1.12086e-20, 0, 1.04953e-19, 0, 1.31776e-15, 0, 0, 0
0.230722, 0, 2.80582e-15, 0, 1.41421, -2.80582e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72364e-17, 0, 0, 2.41049e-20, 0, 2.25722e-19, 0, 2.78834e-15, 0, 0, 0
0.238586, 0, 5.86328e-15, 0, 1.41421, -5.86328e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60184e-17, 0, 0, 5.12186e-20, 0, 4.79609e-19, 0, 5.82673e-15, 0, 0, 0
0.246449, 0, 1.21029e-14, 0, 1.41421, -1.21029e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.43484e-17, 0, 0, 1.07553e-19, 0, 1.00705e-18, 0, 1.20274e-14, 0, 0, 0
0.254313, 0, 2.46828e-14, 0, 1.41421, -2.46828e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51626e-16, 0, 0, 2.23245e-19, 0, 2.09009e-18, 0, 2.45289e-14, 0, 0, 0
0.262176, 0, 4.97433e-14, 0, 1.41421, -4.97433e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0557e-16, 0, 0, 4.58136e-19, 0, 4.28879e-18, 0, 4.9433e-14, 0, 0, 0
0.27004, 0, 9.90797e-14, 0, 1.41421, -9.90797e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.08636e-16, 0, 0, 9.29758e-19, 0, 8.70276e-18, 0, 9.84614e-14, 0, 0, 0
0.277903, 0, 1.95079e-13, 0, 1.41421, -1.95079e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19834e-15, 0, 0, 1.86632e-18, 0, 1.74671e-17, 0, 1.93861e-13, 0, 0, 0
0.285767, 0, 3.79727e-13, 0, 1.41421, -3.79727e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33258e-15, 0, 0, 3.70619e-18, 0, 3.46825e-17, 0, 3.77356e-13, 0, 0, 0
0.293631, 0, 7.30845e-13, 0, 1.41421, -7.30845e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48939e-15, 0, 0, 7.28249e-18, 0, 6.81414e-17, 0, 7.2628e-13, 0, 0, 0
0.301494, 0, 1.39099e-12, 0, 1.41421, -1.39099e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54445e-15, 0, 0, 1.41623e-17, 0, 1.32497e-16, 0, 1.3823e-12, 0, 0, 0
0.309358, 0, 2.61828e-12, 0, 1.41421, -2.61828e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60833e-14, 0, 0, 2.72637e-17, 0, 2.55024e-16, 0, 2.60192e-12, 0, 0, 0
0.317221, 0, 4.88047e-12, 0, 1.41421, -4.88047e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99794e-14, 0, 0, 5.21011e-17, 0, 4.87177e-16, 0, 4.84995e-12, 0, 0, 0
0.325085, 0, 8.98645e-12, 0, 1.41421, -8.98645e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.52019e-14, 0, 0, 9.83436e-17, 0, 9.19211e-16, 0, 8.93024e-12, 0, 0, 0
0.332948, 0, 1.637e-11, 0, 1.41421, -1.637e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0056e-13, 0, 0, 1.83915e-16, 0, 1.71802e-15, 0, 1.62675e-11, 0, 0, 0
0.340812, 0, 2.95038e-11, 0, 1.41421, -2.95038e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81246e-13, 0, 0, 3.40881e-16, 0, 3.1815e-15, 0, 2.9319e-11, 0, 0, 0
0.348675, 0, 5.2615e-11, 2.11596e-43, 1.41421, -5.2615e-11, 0, 2.11596e-43, 2.11596e-43, 2.11596e-43, 2.11596e-43, 2.11596e-43, 2.11596e-43, 2.11596e-43, 2.11596e-43, 2.11596e-43, 2.11596e-43, 3.23241e-13, 2.11596e-43, 2.11596e-43, 6.26431e-16, 2.11596e-43, 5.83904e-15, 2.11596e-43, 5.22853e-11, 2.11596e-43, 2.11596e-43, 2.11596e-43
0.356539, 0, 9.28493e-11, 3.80032e-42, 1.41421, -9.28493e-11, 0, 3.80032e-42, 3.80032e-42, 3.80032e-42, 3.80032e-42, 3.80032e-42, 3.80032e-42, 3.80032e-42, 3.80032e-42, 3.80032e-42, 3.80032e-42, 5.70469e-13, 3.80032e-42, 3.80032e-42, 1.14187e-15, 3.80032e-42, 1.06241e-14, 3.80032e-42, 9.2267e-11, 3.80032e-42, 3.80032e-42, 3.80032e-42
0.364402, 0, 1.62149e-10, 5.56568e-41, 1.41421, -1.62149e-10, 0, 5.56568e-41, 5.56568e-41, 5.56568e-41, 5.56568e-41, 5.56568e-41, 5.56568e-41, 5.56568e-41, 5.56568e-41, 5.56568e-41, 5.56568e-41, 9.96373e-13, 5.56568e-41, 5.56568e-41, 2.06559e-15, 5.56568e-41, 1.91705e-14, 5.56568e-41, 1.61131e-10, 5.56568e-41, 5.56568e-41, 5.56568e-41
0.372266, 0, 2.80253e-10, 7.21879e-40, 1.41421, -2.80253e-10, 0, 7.21879e-40, 7.21879e-40, 7.21879e-40, 7.21879e-40, 7.21879e-40, 7.21879e-40, 7.21879e-40, 7.21879e-40, 7.21879e-40, 7.21879e-40, 1.72239e-12, 7.21879e-40, 7.21879e-40, 3.71023e-15, 7.21879e-40, 3.43194e-14, 7.21879e-40, 2.78493e-10, 7.21879e-40, 7.21879e-40, 7.21879e-40
0.380129, 0, 4.79422e-10, 8.36034e-39, 1.41421, -4.79422e-10, 0, 8.36034e-39, 8.36034e-39, 8.36034e-39, 8.36034e-39, 8.36034e-39, 8.36034e-39, 8.36034e-39, 8.36034e-39, 8.36034e-39, 8.36034e-39, 2.94714e-12, 8.36034e-39, 8.36034e-39, 6.62146e-15, 8.36034e-39, 6.09829e-14, 8.36034e-39, 4.76407e-10, 8.36034e-39, 8.36034e-39, 8.36034e-39
