   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_342.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.02671, 514.345, 0, 0, 22.7232, 514.345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.018849, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.010988, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00312697, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00473404, 0, 2.08583e-22, 0, 1.41421, -2.08583e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.24881e-25, 0, 0, 1.38247e-27, 0, 7.80889e-28, 0, 2.07756e-22, 0, 0, 0
0.0125951, 0, 5.29887e-22, 0, 1.41421, -5.29887e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09553e-24, 0, 0, 3.54412e-27, 0, 2.04815e-27, 0, 5.27785e-22, 0, 0, 0
0.0204561, 0, 1.43354e-21, 0, 1.41421, -1.43354e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66918e-24, 0, 0, 9.74394e-27, 0, 5.80812e-27, 0, 1.42785e-21, 0, 0, 0
0.0283171, 0, 3.46892e-21, 0, 1.41421, -3.46892e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37185e-23, 0, 0, 2.38151e-26, 0, 1.44406e-26, 0, 3.45516e-21, 0, 0, 0
0.0361781, 0, 8.24774e-21, 0, 1.41421, -8.24774e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26172e-23, 0, 0, 5.71993e-26, 0, 3.52247e-26, 0, 8.21503e-21, 0, 0, 0
0.0440391, 0, 1.9288e-20, 0, 1.41421, -1.9288e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.62778e-23, 0, 0, 1.35148e-25, 0, 8.44093e-26, 0, 1.92115e-20, 0, 0, 0
0.0519001, 0, 4.44056e-20, 0, 1.41421, -4.44056e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7561e-22, 0, 0, 3.14415e-25, 0, 1.98928e-25, 0, 4.42295e-20, 0, 0, 0
0.0597611, 0, 1.00722e-19, 0, 1.41421, -1.00722e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.98322e-22, 0, 0, 7.20796e-25, 0, 4.61497e-25, 0, 1.00322e-19, 0, 0, 0
0.0676221, 0, 2.25232e-19, 0, 1.41421, -2.25232e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.90719e-22, 0, 0, 1.6294e-24, 0, 1.05478e-24, 0, 2.24338e-19, 0, 0, 0
0.0754832, 0, 4.9684e-19, 0, 1.41421, -4.9684e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96484e-21, 0, 0, 3.63422e-24, 0, 2.37678e-24, 0, 4.94869e-19, 0, 0, 0
0.0833442, 0, 1.0817e-18, 0, 1.41421, -1.0817e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27778e-21, 0, 0, 8.00186e-24, 0, 5.28346e-24, 0, 1.07741e-18, 0, 0, 0
0.0912052, 0, 2.32543e-18, 0, 1.41421, -2.32543e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.19631e-21, 0, 0, 1.74009e-23, 0, 1.15929e-23, 0, 2.3162e-18, 0, 0, 0
0.0990662, 0, 4.93838e-18, 0, 1.41421, -4.93838e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95297e-20, 0, 0, 3.73889e-23, 0, 2.51205e-23, 0, 4.91878e-18, 0, 0, 0
