   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_51.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0304989, 76.7006, 0, 0, 8.87134, 76.7006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0226137, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0147285, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00684335, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00104185, 0, 4.19624e-22, 0, 1.41421, -4.19624e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43489e-23, 0, 0, 1.92003e-26, 0, 0, 4.05256e-22, 0, 0, 0
0.00892705, 0, 9.7286e-22, 0, 1.41421, -9.7286e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32666e-23, 0, 0, 4.52139e-26, 0, 0, 9.39549e-22, 0, 0, 0
0.0168122, 0, 2.22038e-21, 0, 1.41421, -2.22038e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5925e-23, 0, 0, 1.0482e-25, 0, 0, 2.14435e-21, 0, 0, 0
0.0246974, 0, 4.99301e-21, 0, 1.41421, -4.99301e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70734e-22, 0, 0, 2.39448e-25, 0, 0, 4.82204e-21, 0, 0, 0
0.0325826, 0, 1.10707e-20, 0, 1.41421, -1.10707e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78558e-22, 0, 0, 5.39375e-25, 0, 0, 1.06916e-20, 0, 0, 0
0.0404678, 0, 2.42184e-20, 0, 1.41421, -2.42184e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.28138e-22, 0, 0, 1.19887e-24, 0, 0, 2.33891e-20, 0, 0, 0
0.048353, 0, 5.23028e-20, 0, 1.41421, -5.23028e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78847e-21, 0, 0, 2.63096e-24, 0, 0, 5.05117e-20, 0, 0, 0
0.0562382, 0, 1.11565e-19, 0, 1.41421, -1.11565e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81491e-21, 0, 0, 5.70343e-24, 0, 0, 1.07745e-19, 0, 0, 0
0.0641234, 0, 2.35155e-19, 0, 1.41421, -2.35155e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.04099e-21, 0, 0, 1.22191e-23, 0, 0, 2.27102e-19, 0, 0, 0
0.0720086, 0, 4.89975e-19, 0, 1.41421, -4.89975e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67544e-20, 0, 0, 2.58824e-23, 0, 0, 4.73195e-19, 0, 0, 0
0.0798938, 0, 1.00959e-18, 0, 1.41421, -1.00959e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45225e-20, 0, 0, 5.42243e-23, 0, 0, 9.75017e-19, 0, 0, 0
0.087779, 0, 2.05784e-18, 0, 1.41421, -2.05784e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.03665e-20, 0, 0, 1.12396e-22, 0, 0, 1.98736e-18, 0, 0, 0
0.0956642, 0, 4.15047e-18, 0, 1.41421, -4.15047e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41922e-19, 0, 0, 2.30575e-22, 0, 0, 4.00832e-18, 0, 0, 0
0.103549, 0, 8.28548e-18, 0, 1.41421, -8.28548e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83316e-19, 0, 0, 4.68269e-22, 0, 0, 8.0017e-18, 0, 0, 0
0.111435, 0, 1.63749e-17, 0, 1.41421, -1.63749e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.59926e-19, 0, 0, 9.41695e-22, 0, 0, 1.5814e-17, 0, 0, 0
0.11932, 0, 3.20459e-17, 0, 1.41421, -3.20459e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09578e-18, 0, 0, 1.87567e-21, 0, 0, 3.09482e-17, 0, 0, 0
0.127205, 0, 6.21139e-17, 0, 1.41421, -6.21139e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12393e-18, 0, 0, 3.70109e-21, 0, 0, 5.99863e-17, 0, 0, 0
0.13509, 0, 1.19264e-16, 0, 1.41421, -1.19264e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07811e-18, 0, 0, 7.23623e-21, 0, 0, 1.15178e-16, 0, 0, 0
0.142975, 0, 2.26883e-16, 0, 1.41421, -2.26883e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.75804e-18, 0, 0, 1.40211e-20, 0, 0, 2.19111e-16, 0, 0, 0
0.150861, 0, 4.27698e-16, 0, 1.41421, -4.27698e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46247e-17, 0, 0, 2.69285e-20, 0, 0, 4.13046e-16, 0, 0, 0
0.158746, 0, 7.99053e-16, 0, 1.41421, -7.99053e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73228e-17, 0, 0, 5.12706e-20, 0, 0, 7.71679e-16, 0, 0, 0
0.166631, 0, 1.4797e-15, 0, 1.41421, -1.4797e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05968e-17, 0, 0, 9.67861e-20, 0, 0, 1.42901e-15, 0, 0, 0
0.174516, 0, 2.71635e-15, 0, 1.41421, -2.71635e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.28823e-17, 0, 0, 1.81177e-19, 0, 0, 2.62329e-15, 0, 0, 0
0.182401, 0, 4.94378e-15, 0, 1.41421, -4.94378e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69046e-16, 0, 0, 3.36349e-19, 0, 0, 4.7744e-15, 0, 0, 0
0.190287, 0, 8.92148e-15, 0, 1.41421, -8.92148e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05057e-16, 0, 0, 6.19367e-19, 0, 0, 8.6158e-15, 0, 0, 0
0.198172, 0, 1.60122e-14, 0, 1.41421, -1.60122e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.47513e-16, 0, 0, 1.13688e-18, 0, 0, 1.54636e-14, 0, 0, 0
0.206057, 0, 2.84047e-14, 0, 1.41421, -2.84047e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.71256e-16, 0, 0, 2.05942e-18, 0, 0, 2.74314e-14, 0, 0, 0
0.213942, 0, 4.99769e-14, 0, 1.41421, -4.99769e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70889e-15, 0, 0, 3.70186e-18, 0, 0, 4.82643e-14, 0, 0, 0
0.221827, 0, 8.72208e-14, 0, 1.41421, -8.72208e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98239e-15, 0, 0, 6.60381e-18, 0, 0, 8.42318e-14, 0, 0, 0
0.229713, 0, 1.50998e-13, 0, 1.41421, -1.50998e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.16319e-15, 0, 0, 1.16929e-17, 0, 0, 1.45823e-13, 0, 0, 0
0.237598, 0, 2.59327e-13, 0, 1.41421, -2.59327e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.86746e-15, 0, 0, 2.05522e-17, 0, 0, 2.50439e-13, 0, 0, 0
0.245483, 0, 4.4185e-13, 0, 1.41421, -4.4185e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51089e-14, 0, 0, 3.58647e-17, 0, 0, 4.26705e-13, 0, 0, 0
0.253368, 0, 7.46926e-13, 0, 1.41421, -7.46926e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55415e-14, 0, 0, 6.21456e-17, 0, 0, 7.21322e-13, 0, 0, 0
0.261253, 0, 1.25278e-12, 0, 1.41421, -1.25278e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28411e-14, 0, 0, 1.06947e-16, 0, 0, 1.20983e-12, 0, 0, 0
0.269139, 0, 2.08494e-12, 0, 1.41421, -2.08494e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.13015e-14, 0, 0, 1.8282e-16, 0, 0, 2.01345e-12, 0, 0, 0
0.277024, 0, 3.44308e-12, 0, 1.41421, -3.44308e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17755e-13, 0, 0, 3.10503e-16, 0, 0, 3.32501e-12, 0, 0, 0
0.284909, 0, 5.64233e-12, 0, 1.41421, -5.64233e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92988e-13, 0, 0, 5.24082e-16, 0, 0, 5.44882e-12, 0, 0, 0
0.292794, 0, 9.17582e-12, 0, 1.41421, -9.17582e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13881e-13, 0, 0, 8.79305e-16, 0, 0, 8.86106e-12, 0, 0, 0
0.300679, 0, 1.4809e-11, 0, 1.41421, -1.4809e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0665e-13, 0, 0, 1.46695e-15, 0, 0, 1.43008e-11, 0, 0, 0
0.308565, 0, 2.372e-11, 1.7236e-43, 1.41421, -2.372e-11, 0, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 8.11672e-13, 1.7236e-43, 1.7236e-43, 2.4343e-15, 1.7236e-43, 1.7236e-43, 2.29059e-11, 1.7236e-43, 1.7236e-43, 1.7236e-43
0.31645, 0, 3.77081e-11, 3.00018e-42, 1.41421, -3.77081e-11, 0, 3.00018e-42, 3.00018e-42, 3.00018e-42, 3.00018e-42, 3.00018e-42, 3.00018e-42, 3.00018e-42, 3.00018e-42, 3.00018e-42, 3.00018e-42, 1.29063e-12, 3.00018e-42, 3.00018e-42, 4.01952e-15, 3.00018e-42, 3.00018e-42, 3.64134e-11, 3.00018e-42, 3.00018e-42, 3.00018e-42
0.324335, 0, 5.94975e-11, 4.33968e-41, 1.41421, -5.94975e-11, 0, 4.33968e-41, 4.33968e-41, 4.33968e-41, 4.33968e-41, 4.33968e-41, 4.33968e-41, 4.33968e-41, 4.33968e-41, 4.33968e-41, 4.33968e-41, 2.03703e-12, 4.33968e-41, 4.33968e-41, 6.60679e-15, 4.33968e-41, 4.33968e-41, 5.74538e-11, 4.33968e-41, 4.33968e-41, 4.33968e-41
