   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_5.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0291576, 7.51967, 0, 0, 3.0854, 7.51967, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.021248, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0133384, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00542886, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00248071, 0, 3.73992e-20, 0, 1.41421, -3.73992e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13155e-22, 0, 0, 5.02842e-25, 0, 0, 3.71855e-20, 0, 0, 0
0.0103903, 0, 8.25765e-20, 0, 1.41421, -8.25765e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70641e-22, 0, 0, 1.12645e-24, 0, 0, 8.21047e-20, 0, 0, 0
0.0182998, 0, 1.7986e-19, 0, 1.41421, -1.7986e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0251e-21, 0, 0, 2.48947e-24, 0, 0, 1.78832e-19, 0, 0, 0
0.0262094, 0, 3.86676e-19, 0, 1.41421, -3.86676e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20384e-21, 0, 0, 5.43093e-24, 0, 0, 3.84467e-19, 0, 0, 0
0.034119, 0, 8.20964e-19, 0, 1.41421, -8.20964e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.67904e-21, 0, 0, 1.17017e-23, 0, 0, 8.16274e-19, 0, 0, 0
0.0420285, 0, 1.72212e-18, 0, 1.41421, -1.72212e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.81514e-21, 0, 0, 2.49137e-23, 0, 0, 1.71228e-18, 0, 0, 0
0.0499381, 0, 3.57066e-18, 0, 1.41421, -3.57066e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03508e-20, 0, 0, 5.2436e-23, 0, 0, 3.55026e-18, 0, 0, 0
