   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_63.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0305134, 94.7478, 0, 0, 9.83605, 94.7478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0226309, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0147484, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00686587, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00101663, 0, 3.50244e-23, 0, 1.41421, -3.50244e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22379e-25, 0, 0, 1.27681e-27, 0, 0, 3.46007e-23, 0, 0, 0
0.00889913, 0, 8.96167e-23, 0, 1.41421, -8.96167e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08074e-24, 0, 0, 3.32099e-27, 0, 0, 8.85327e-23, 0, 0, 0
0.0167816, 0, 2.24259e-22, 0, 1.41421, -2.24259e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70446e-24, 0, 0, 8.44527e-27, 0, 0, 2.21546e-22, 0, 0, 0
0.0246641, 0, 5.49827e-22, 0, 1.41421, -5.49827e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.63067e-24, 0, 0, 2.1037e-26, 0, 0, 5.43176e-22, 0, 0, 0
0.0325466, 0, 1.3227e-21, 0, 1.41421, -1.3227e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59512e-23, 0, 0, 5.14103e-26, 0, 0, 1.3067e-21, 0, 0, 0
0.0404291, 0, 3.12604e-21, 0, 1.41421, -3.12604e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76987e-23, 0, 0, 1.23418e-25, 0, 0, 3.08822e-21, 0, 0, 0
