   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_73.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.0292897, 109.787, 0, 0, 10.5729, 109.787, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0214104, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0135311, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00565179, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00222752, 0, 1.06886e-21, 0, 1.41421, -1.06886e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.93208e-24, 0, 0, 1.9339e-26, 0, 1.59161e-25, 0, 1.06175e-21, 0, 0
0.0101068, 0, 2.46869e-21, 0, 1.41421, -2.46869e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60106e-23, 0, 0, 4.54114e-26, 0, 3.73952e-25, 0, 2.45226e-21, 0, 0
0.0179861, 0, 5.61558e-21, 0, 1.41421, -5.61558e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64196e-23, 0, 0, 1.05025e-25, 0, 8.64933e-25, 0, 5.57819e-21, 0, 0
0.0258655, 0, 1.25907e-20, 0, 1.41421, -1.25907e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.16564e-23, 0, 0, 2.39427e-25, 0, 1.97117e-24, 0, 1.25069e-20, 0, 0
0.0337448, 0, 2.78442e-20, 0, 1.41421, -2.78442e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80581e-22, 0, 0, 5.38399e-25, 0, 4.42969e-24, 0, 2.76587e-20, 0, 0
0.0416241, 0, 6.07724e-20, 0, 1.41421, -6.07724e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94133e-22, 0, 0, 1.19497e-24, 0, 9.82256e-24, 0, 6.03673e-20, 0, 0
0.0495034, 0, 1.30978e-19, 0, 1.41421, -1.30978e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.49444e-22, 0, 0, 2.61917e-24, 0, 2.1505e-23, 0, 1.30105e-19, 0, 0
