   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_79.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0294794, 118.811, 0, 0, 10.9914, 118.811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0216009, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0137223, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00584379, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00203475, 0, 3.99354e-22, 0, 1.41421, -3.99354e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58765e-24, 0, 0, 8.91324e-27, 5.61442e-26, 0, 3.96701e-22, 0, 0, 0
0.0099133, 0, 9.71203e-22, 0, 1.41421, -9.71203e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29299e-24, 0, 0, 2.20385e-26, 1.39338e-25, 0, 9.64749e-22, 0, 0, 0
0.0177918, 0, 2.31936e-21, 0, 1.41421, -2.31936e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50285e-23, 0, 0, 5.35091e-26, 3.39244e-25, 0, 2.30394e-21, 0, 0, 0
0.0256704, 0, 5.44529e-21, 0, 1.41421, -5.44529e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5283e-23, 0, 0, 1.27723e-25, 8.11337e-25, 0, 5.40907e-21, 0, 0, 0
0.0335489, 0, 1.25803e-20, 0, 1.41421, -1.25803e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.15141e-23, 0, 0, 3.00013e-25, 1.90821e-24, 0, 1.24966e-20, 0, 0, 0
0.0414275, 0, 2.86245e-20, 0, 1.41421, -2.86245e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85473e-22, 0, 0, 6.94075e-25, 4.41779e-24, 0, 2.84339e-20, 0, 0, 0
0.049306, 0, 6.41927e-20, 0, 1.41421, -6.41927e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.15935e-22, 0, 0, 1.5827e-24, 1.00764e-23, 0, 6.37651e-20, 0, 0, 0
0.0571846, 0, 1.41976e-19, 0, 1.41421, -1.41976e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.19928e-22, 0, 0, 3.5596e-24, 2.26596e-23, 0, 1.4103e-19, 0, 0, 0
0.0650631, 0, 3.09867e-19, 0, 1.41421, -3.09867e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00776e-21, 0, 0, 7.90084e-24, 5.02726e-23, 0, 3.07801e-19, 0, 0, 0
0.0729417, 0, 6.67707e-19, 0, 1.41421, -6.67707e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32636e-21, 0, 0, 1.73157e-23, 1.10102e-22, 0, 6.63254e-19, 0, 0, 0
0.0808202, 0, 1.42117e-18, 0, 1.41421, -1.42117e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.20836e-21, 0, 0, 3.74893e-23, 2.38163e-22, 0, 1.41169e-18, 0, 0, 0
0.0886988, 0, 2.98907e-18, 0, 1.41421, -2.98907e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93673e-20, 0, 0, 8.02154e-23, 5.09063e-22, 0, 2.96911e-18, 0, 0, 0
0.0965773, 0, 6.21499e-18, 0, 1.41421, -6.21499e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02691e-20, 0, 0, 1.6972e-22, 1.07586e-21, 0, 6.17347e-18, 0, 0, 0
0.104456, 0, 1.30224e-17, 0, 1.41421, -1.30224e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.43763e-20, 0, 0, 3.63767e-22, 2.30243e-21, 0, 1.29353e-17, 0, 0, 0
0.112334, 0, 2.64287e-17, 0, 1.41421, -2.64287e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71239e-19, 0, 0, 7.51239e-22, 4.74955e-21, 0, 2.62519e-17, 0, 0, 0
0.120213, 0, 5.308e-17, 0, 1.41421, -5.308e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43921e-19, 0, 0, 1.53564e-21, 9.69807e-21, 0, 5.27249e-17, 0, 0, 0
0.128091, 0, 1.05526e-16, 0, 1.41421, -1.05526e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8373e-19, 0, 0, 3.10787e-21, 1.96068e-20, 0, 1.0482e-16, 0, 0, 0
0.13597, 0, 2.07707e-16, 0, 1.41421, -2.07707e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34578e-18, 0, 0, 6.22869e-21, 3.92579e-20, 0, 2.06315e-16, 0, 0, 0
0.143849, 0, 4.04843e-16, 0, 1.41421, -4.04843e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62306e-18, 0, 0, 1.23645e-20, 7.78662e-20, 0, 4.02129e-16, 0, 0, 0
0.151727, 0, 7.81528e-16, 0, 1.41421, -7.81528e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.06365e-18, 0, 0, 2.43157e-20, 1.53027e-19, 0, 7.76287e-16, 0, 0, 0
0.159606, 0, 1.49449e-15, 0, 1.41421, -1.49449e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.683e-18, 0, 0, 4.73802e-20, 2.98037e-19, 0, 1.48446e-15, 0, 0, 0
0.167484, 0, 2.83136e-15, 0, 1.41421, -2.83136e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83447e-17, 0, 0, 9.14913e-20, 5.75361e-19, 0, 2.81235e-15, 0, 0, 0
0.175363, 0, 5.31511e-15, 0, 1.41421, -5.31511e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4437e-17, 0, 0, 1.75105e-19, 1.10118e-18, 0, 5.2794e-15, 0, 0, 0
