   PIQUANT 0.0.0-main  ps__0186_0683483744_000rbs__00700000699274310003___j07.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0183514, 14.8097, 0, 0, 4.09996, 14.8097, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0104906, 27.9627, 0, 0, 5.47382, 27.9627, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0026298, 33.7587, 0, 0, 5.97986, 33.7587, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00523101, 41.4123, 8.66663e-19, 0, 6.5888, 41.4123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.32694e-22, 0, 0, 8.21962e-24, 0, 0, 8.66122e-19, 0, 0, 0
0.0130918, 45.2573, 2.14902e-18, 0, 6.87439, 45.2573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3209e-21, 0, 0, 2.05796e-23, 0, 0, 2.14768e-18, 0, 0, 0
0.0209526, 50.8427, 5.22348e-18, 0, 7.2693, 50.8427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21061e-21, 0, 0, 5.05136e-23, 0, 0, 5.22022e-18, 0, 0, 0
0.0288135, 55.229, 1.24633e-17, 0, 7.56498, 55.229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.66055e-21, 0, 0, 1.21731e-22, 0, 0, 1.24555e-17, 0, 0, 0
0.0366743, 61.2416, 2.92268e-17, 0, 7.95246, 61.2416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79642e-20, 0, 0, 2.88371e-22, 0, 0, 2.92086e-17, 0, 0, 0
0.0445351, 57.6789, 6.74309e-17, 0, 7.72521, 57.6789, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14463e-20, 0, 0, 6.72223e-22, 0, 0, 6.73888e-17, 0, 0, 0
0.0523959, 55.1247, 1.53198e-16, 0, 7.55809, 55.1247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.41633e-20, 0, 0, 1.54342e-21, 0, 0, 1.53103e-16, 0, 0, 0
