   PIQUANT 0.0.0-main  ps__0240_0688239844_000rbs__00724400836244520068___j05.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0218103, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0139326, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00605499, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00182267, 0, 7.18626e-16, 0, 1.41421, -7.18626e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.11587e-19, 0, 2.66244e-17, 0, 6.9139e-16, 0, 0, 0
0.00970033, 0, 1.39497e-15, 0, 1.41421, -1.39497e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20731e-18, 0, 5.25222e-17, 0, 1.34124e-15, 0, 0, 0
0.017578, 0, 2.68388e-15, 0, 1.41421, -2.68388e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36228e-18, 0, 1.02711e-16, 0, 2.57881e-15, 0, 0, 0
0.0254556, 0, 5.1192e-15, 0, 1.41421, -5.1192e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58248e-18, 0, 1.99168e-16, 0, 4.91545e-15, 0, 0, 0
0.0333333, 0, 9.68219e-15, 0, 1.41421, -9.68219e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.81508e-18, 0, 3.83056e-16, 0, 9.29032e-15, 0, 0, 0
0.041211, 0, 1.81621e-14, 0, 1.41421, -1.81621e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6819e-17, 0, 7.30879e-16, 0, 1.74144e-14, 0, 0, 0
0.0490886, 0, 3.37953e-14, 0, 1.41421, -3.37953e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18351e-17, 0, 1.38377e-15, 0, 3.23797e-14, 0, 0, 0
0.0569663, 0, 6.23902e-14, 0, 1.41421, -6.23902e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.97885e-17, 0, 2.60015e-15, 0, 5.97303e-14, 0, 0, 0
0.0648439, 0, 1.14291e-13, 0, 1.41421, -1.14291e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11431e-16, 0, 4.84992e-15, 0, 1.0933e-13, 0, 0, 0
0.0727216, 0, 2.07783e-13, 0, 1.41421, -2.07783e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0613e-16, 0, 8.98142e-15, 0, 1.98596e-13, 0, 0, 0
