   PIQUANT 0.0.0-main  ps__0246_0688788792_000rbs__00724400853939240066___j05.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0198635, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0119863, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00410921, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00376794, 0, 6.51201e-20, 0, 1.41421, -6.51201e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25691e-22, 0, 0, 3.40404e-25, 0, 1.19415e-23, 0, 6.49822e-20, 0, 0, 0
0.0116451, 0, 1.62128e-19, 0, 1.41421, -1.62128e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12929e-22, 0, 0, 8.55374e-25, 0, 3.05682e-23, 0, 1.61783e-19, 0, 0, 0
0.0195222, 0, 3.959e-19, 0, 1.41421, -3.959e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64137e-22, 0, 0, 2.1086e-24, 0, 7.66106e-23, 0, 3.95057e-19, 0, 0, 0
0.0273994, 0, 9.49444e-19, 0, 1.41421, -9.49444e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83254e-21, 0, 0, 5.10598e-24, 0, 1.88289e-22, 0, 9.47418e-19, 0, 0, 0
0.0352765, 0, 2.2387e-18, 0, 1.41421, -2.2387e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32094e-21, 0, 0, 1.21591e-23, 0, 4.54442e-22, 0, 2.23392e-18, 0, 0, 0
0.0431536, 0, 5.19501e-18, 0, 1.41421, -5.19501e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00269e-20, 0, 0, 2.85021e-23, 0, 1.07835e-21, 0, 5.18387e-18, 0, 0, 0
0.0510308, 0, 1.18808e-17, 0, 1.41421, -1.18808e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2931e-20, 0, 0, 6.58813e-23, 0, 2.52087e-21, 0, 1.18553e-17, 0, 0, 0
0.0589079, 0, 2.67794e-17, 0, 1.41421, -2.67794e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.16865e-20, 0, 0, 1.50116e-22, 0, 5.80368e-21, 0, 2.67218e-17, 0, 0, 0
0.0667851, 0, 5.9532e-17, 0, 1.41421, -5.9532e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14901e-19, 0, 0, 3.37422e-22, 0, 1.31696e-20, 0, 5.94036e-17, 0, 0, 0
0.0746622, 0, 1.30602e-16, 0, 1.41421, -1.30602e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5207e-19, 0, 0, 7.48618e-22, 0, 2.94758e-20, 0, 1.3032e-16, 0, 0, 0
0.0825394, 0, 2.82891e-16, 0, 1.41421, -2.82891e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45996e-19, 0, 0, 1.64027e-21, 0, 6.51098e-20, 0, 2.82279e-16, 0, 0, 0
0.0904165, 0, 6.05288e-16, 0, 1.41421, -6.05288e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16823e-18, 0, 0, 3.55091e-21, 0, 1.42022e-19, 0, 6.03974e-16, 0, 0, 0
0.0982936, 0, 1.27983e-15, 0, 1.41421, -1.27983e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47012e-18, 0, 0, 7.59829e-21, 0, 3.06054e-19, 0, 1.27704e-15, 0, 0, 0
