   PIQUANT 0.0.0-main  ps__0445_0706466015_000rbs__02502141542067250371___j05.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0203552, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0124786, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00460196, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00327468, 0, 1.83114e-18, 0, 1.41421, -1.83114e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16695e-20, 0, 0, 2.30736e-23, 0, 5.70624e-22, 0, 1.81888e-18, 0, 0, 0
0.0111513, 0, 4.16121e-18, 0, 1.41421, -4.16121e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65182e-20, 0, 0, 5.30038e-23, 0, 1.32567e-21, 0, 4.13331e-18, 0, 0, 0
0.0190279, 0, 9.32148e-18, 0, 1.41421, -9.32148e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94028e-20, 0, 0, 1.20049e-22, 0, 3.03399e-21, 0, 9.25892e-18, 0, 0, 0
0.0269046, 0, 2.05971e-17, 0, 1.41421, -2.05971e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31258e-19, 0, 0, 2.68266e-22, 0, 6.84567e-21, 0, 2.04588e-17, 0, 0, 0
0.0347812, 0, 4.49204e-17, 0, 1.41421, -4.49204e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86259e-19, 0, 0, 5.91811e-22, 0, 1.52385e-20, 0, 4.46183e-17, 0, 0, 0
0.0426578, 0, 9.67429e-17, 0, 1.41421, -9.67429e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.16498e-19, 0, 0, 1.28955e-21, 0, 3.34854e-20, 0, 9.60916e-17, 0, 0, 0
0.0505345, 0, 2.05844e-16, 0, 1.41421, -2.05844e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31174e-18, 0, 0, 2.77678e-21, 0, 7.26767e-20, 0, 2.04456e-16, 0, 0, 0
0.0584111, 0, 4.32887e-16, 0, 1.41421, -4.32887e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75855e-18, 0, 0, 5.91109e-21, 0, 1.55872e-19, 0, 4.29967e-16, 0, 0, 0
