   PIQUANT 0.0.0-main  ps__0463_0708059673_000rbs__02606301616778290373___j04.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0198367, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0119593, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.004082, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00379534, 0, 1.81238e-18, 0, 1.41421, -1.81238e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.695e-21, 0, 0, 2.31537e-23, 0, 6.52458e-22, 0, 1.80901e-18, 0, 0, 0
0.0116727, 0, 4.11238e-18, 0, 1.41421, -4.11238e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.11503e-21, 0, 0, 5.31335e-23, 0, 1.51228e-21, 0, 4.1047e-18, 0, 0, 0
0.01955, 0, 9.19912e-18, 0, 1.41421, -9.19912e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36788e-20, 0, 0, 1.2023e-22, 0, 3.45339e-21, 0, 9.18187e-18, 0, 0, 0
0.0274273, 0, 2.02997e-17, 0, 1.41421, -2.02997e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01848e-20, 0, 0, 2.68436e-22, 0, 7.77534e-21, 0, 2.02615e-17, 0, 0, 0
0.0353047, 0, 4.42158e-17, 0, 1.41421, -4.42158e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.57465e-20, 0, 0, 5.91703e-22, 0, 1.72723e-20, 0, 4.41322e-17, 0, 0, 0
0.043182, 0, 9.51103e-17, 0, 1.41421, -9.51103e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41423e-19, 0, 0, 1.28832e-21, 0, 3.78788e-20, 0, 9.49297e-17, 0, 0, 0
0.0510594, 0.471964, 2.02134e-16, 0, 1.57225, 0.471964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00558e-19, 0, 0, 2.77208e-21, 0, 8.20524e-20, 0, 2.01749e-16, 0, 0, 0
0.0589367, 0.528036, 4.24612e-16, 0, 1.58998, 0.528036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.3136e-19, 0, 0, 5.89698e-21, 0, 1.75649e-19, 0, 4.23799e-16, 0, 0, 0
0.066814, 0, 8.81948e-16, 0, 1.41421, -8.81948e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31137e-18, 0, 0, 1.24067e-20, 0, 3.71744e-19, 0, 8.80253e-16, 0, 0, 0
0.0746914, 0, 1.81191e-15, 0, 1.41421, -1.81191e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69411e-18, 0, 0, 2.58246e-20, 0, 7.7815e-19, 0, 1.80841e-15, 0, 0, 0
0.0825687, 0, 3.68302e-15, 0, 1.41421, -3.68302e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.47618e-18, 0, 0, 5.31983e-20, 0, 1.61159e-18, 0, 3.67588e-15, 0, 0, 0
0.090446, 0, 7.40904e-15, 0, 1.41421, -7.40904e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10162e-17, 0, 0, 1.08485e-19, 0, 3.30344e-18, 0, 7.39461e-15, 0, 0, 0
0.0983234, 0, 1.47543e-14, 0, 1.41421, -1.47543e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19374e-17, 0, 0, 2.19059e-19, 0, 6.70386e-18, 0, 1.47254e-14, 0, 0, 0
0.106201, 0, 2.90919e-14, 0, 1.41421, -2.90919e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32548e-17, 0, 0, 4.38102e-19, 0, 1.34727e-17, 0, 2.90347e-14, 0, 0, 0
0.114078, 0, 5.68082e-14, 0, 1.41421, -5.68082e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.44637e-17, 0, 0, 8.67972e-19, 0, 2.68203e-17, 0, 5.66961e-14, 0, 0, 0
0.121955, 0, 1.0988e-13, 0, 1.41421, -1.0988e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6337e-16, 0, 0, 1.70388e-18, 0, 5.29003e-17, 0, 1.09662e-13, 0, 0, 0
0.129833, 0, 2.10557e-13, 0, 1.41421, -2.10557e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13055e-16, 0, 0, 3.3148e-18, 0, 1.03403e-16, 0, 2.10138e-13, 0, 0, 0
0.13771, 0, 3.99792e-13, 0, 1.41421, -3.99792e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94402e-16, 0, 0, 6.39194e-18, 0, 2.00348e-16, 0, 3.98991e-13, 0, 0, 0
0.145587, 0, 7.52271e-13, 0, 1.41421, -7.52271e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11845e-15, 0, 0, 1.2219e-17, 0, 3.84851e-16, 0, 7.50756e-13, 0, 0, 0
0.153465, 0, 1.40298e-12, 0, 1.41421, -1.40298e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08586e-15, 0, 0, 2.31594e-17, 0, 7.33059e-16, 0, 1.40013e-12, 0, 0, 0
0.161342, 0, 2.59367e-12, 0, 1.41421, -2.59367e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85607e-15, 0, 0, 4.35279e-17, 0, 1.38484e-15, 0, 2.58838e-12, 0, 0, 0
0.169219, 0, 4.75355e-12, 0, 1.41421, -4.75355e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06712e-15, 0, 0, 8.11362e-17, 0, 2.59507e-15, 0, 4.7438e-12, 0, 0, 0
0.177097, 0, 8.67193e-12, 0, 1.41421, -8.67193e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28924e-14, 0, 0, 1.50887e-16, 0, 4.85699e-15, 0, 8.65403e-12, 0, 0, 0
0.184974, 0, 1.56175e-11, 0, 1.41421, -1.56175e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3218e-14, 0, 0, 2.76572e-16, 0, 8.95395e-15, 0, 1.55851e-11, 0, 0, 0
0.192851, 0, 2.78934e-11, 0, 1.41421, -2.78934e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14676e-14, 0, 0, 5.02993e-16, 0, 1.63823e-14, 0, 2.7835e-11, 0, 0, 0
0.200729, 0, 4.94102e-11, 0, 1.41421, -4.94102e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.34547e-14, 0, 0, 9.07739e-16, 0, 2.9751e-14, 0, 4.93061e-11, 0, 0, 0
0.208606, 0, 8.68138e-11, 0, 1.41421, -8.68138e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29059e-13, 0, 0, 1.62574e-15, 0, 5.36356e-14, 0, 8.66295e-11, 0, 0, 0
0.216483, 0, 1.51303e-10, 0, 1.41421, -1.51303e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24928e-13, 0, 0, 2.88991e-15, 0, 9.60022e-14, 0, 1.5098e-10, 0, 0, 0
0.224361, 0, 2.61591e-10, 0, 1.41421, -2.61591e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88881e-13, 0, 0, 5.09928e-15, 0, 1.70623e-13, 0, 2.61027e-10, 0, 0, 0
0.232238, 0, 4.48682e-10, 0, 1.41421, -4.48682e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.6701e-13, 0, 0, 8.93264e-15, 0, 3.01165e-13, 0, 4.47705e-10, 0, 0, 0
0.240115, 0, 7.63516e-10, 0, 1.41421, -7.63516e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13505e-12, 0, 0, 1.55366e-14, 0, 5.27983e-13, 0, 7.61838e-10, 0, 0, 0
0.247993, 0, 1.28909e-09, 0, 1.41421, -1.28909e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9164e-12, 0, 0, 2.68347e-14, 0, 9.19478e-13, 0, 1.28623e-09, 0, 0, 0
0.25587, 0, 2.15953e-09, 0, 1.41421, -2.15953e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2105e-12, 0, 0, 4.60334e-14, 0, 1.59085e-12, 0, 2.15468e-09, 0, 0, 0
0.263747, 0, 3.58973e-09, 0, 1.41421, -3.58973e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.33697e-12, 0, 0, 7.84457e-14, 0, 2.73494e-12, 0, 3.58158e-09, 0, 0, 0
0.271625, 0, 5.92124e-09, 0, 1.41421, -5.92124e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.80383e-12, 0, 0, 1.32822e-13, 0, 4.67263e-12, 0, 5.90764e-09, 0, 0, 0
0.279502, 0, 9.69241e-09, 0, 1.41421, -9.69241e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44121e-11, 0, 0, 2.23498e-13, 0, 7.93497e-12, 0, 9.66984e-09, 0, 0, 0
0.287379, 0, 1.57447e-08, 0, 1.41421, -1.57447e-08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34143e-11, 0, 0, 3.73843e-13, 0, 1.3396e-11, 0, 1.57075e-08, 0, 0, 0
0.295257, 0, 2.53829e-08, 0, 1.41421, -2.53829e-08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77531e-11, 0, 0, 6.21789e-13, 0, 2.24873e-11, 0, 2.53221e-08, 0, 0, 0
0.303134, 0, 4.06133e-08, 0, 1.41421, -4.06133e-08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04178e-11, 0, 0, 1.02867e-12, 0, 3.75427e-11, 0, 4.05143e-08, 0, 0, 0
