   PIQUANT 0.0.0-main  ps__0125_0678032243_000rfs_shot_1.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00808901, 0, 3.43085e-20, 0, 1.41421, -3.43085e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88594e-22, 0, 0, 8.89629e-25, 0, 2.97093e-23, 0, 3.39893e-20, 0, 0, 0
0.0159846, 0, 7.38666e-20, 0, 1.41421, -7.38666e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.21337e-22, 0, 0, 1.94833e-24, 0, 6.50305e-23, 0, 7.31783e-20, 0, 0, 0
0.0238802, 0, 1.57065e-19, 0, 1.41421, -1.57065e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32115e-21, 0, 0, 4.21408e-24, 0, 1.40552e-22, 0, 1.55599e-19, 0, 0, 0
0.0317758, 0, 3.30001e-19, 0, 1.41421, -3.30001e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77575e-21, 0, 0, 9.00649e-24, 0, 3.00126e-22, 0, 3.26916e-19, 0, 0, 0
0.0396714, 0, 6.85405e-19, 0, 1.41421, -6.85405e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.7651e-21, 0, 0, 1.90293e-23, 0, 6.33488e-22, 0, 6.78988e-19, 0, 0, 0
0.047567, 0, 1.40784e-18, 0, 1.41421, -1.40784e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18415e-20, 0, 0, 3.97639e-23, 0, 1.32234e-21, 0, 1.39464e-18, 0, 0, 0
0.0554625, 0, 2.86081e-18, 0, 1.41421, -2.86081e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40622e-20, 0, 0, 8.22084e-23, 0, 2.73083e-21, 0, 2.83394e-18, 0, 0, 0
0.0633581, 0, 5.75304e-18, 0, 1.41421, -5.75304e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.83878e-20, 0, 0, 1.68211e-22, 0, 5.58165e-21, 0, 5.6989e-18, 0, 0, 0
0.0712537, 0, 1.14526e-17, 0, 1.41421, -1.14526e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.63245e-20, 0, 0, 3.40754e-22, 0, 1.12952e-20, 0, 1.13447e-17, 0, 0, 0
0.0791493, 0, 2.25751e-17, 0, 1.41421, -2.25751e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89869e-19, 0, 0, 6.83591e-22, 0, 2.26376e-20, 0, 2.23619e-17, 0, 0, 0
0.0870449, 0, 4.40734e-17, 0, 1.41421, -4.40734e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70674e-19, 0, 0, 1.35841e-21, 0, 4.49458e-20, 0, 4.36564e-17, 0, 0, 0
0.0949405, 0, 8.52396e-17, 0, 1.41421, -8.52396e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.16885e-19, 0, 0, 2.67456e-21, 0, 8.84287e-20, 0, 8.44316e-17, 0, 0, 0
0.102836, 0, 1.63347e-16, 0, 1.41421, -1.63347e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37377e-18, 0, 0, 5.21858e-21, 0, 1.72444e-19, 0, 1.61796e-16, 0, 0, 0
0.110732, 0, 3.10221e-16, 0, 1.41421, -3.10221e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60894e-18, 0, 0, 1.0093e-20, 0, 3.33389e-19, 0, 3.07269e-16, 0, 0, 0
0.118627, 0, 5.8397e-16, 0, 1.41421, -5.8397e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91104e-18, 0, 0, 1.93521e-20, 0, 6.39141e-19, 0, 5.78401e-16, 0, 0, 0
