   PIQUANT 0.0.0-main  ps__0125_0678032243_000rfs_shot_32.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.000805572, 0, 5.15319e-21, 0, 1.41421, -5.15319e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35117e-23, 0, 0, 1.06452e-24, 0, 7.66841e-24, 0, 5.12095e-21, 0, 0, 0
0.00868837, 0, 1.16642e-20, 0, 1.41421, -1.16642e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3217e-23, 0, 0, 2.44901e-24, 0, 1.76806e-23, 0, 1.15909e-20, 0, 0, 0
0.0165712, 0, 2.6019e-20, 0, 1.41421, -2.6019e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18706e-22, 0, 0, 5.55255e-24, 0, 4.01528e-23, 0, 2.58546e-20, 0, 0, 0
0.024454, 0, 5.72387e-20, 0, 1.41421, -5.72387e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6113e-22, 0, 0, 1.24159e-23, 0, 8.98926e-23, 0, 5.68753e-20, 0, 0, 0
0.0323367, 0, 1.24261e-19, 0, 1.41421, -1.24261e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66877e-22, 0, 0, 2.7399e-23, 0, 1.98537e-22, 0, 1.23468e-19, 0, 0, 0
0.0402195, 0, 2.66359e-19, 0, 1.41421, -2.66359e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21509e-21, 0, 0, 5.97048e-23, 0, 4.3286e-22, 0, 2.64651e-19, 0, 0, 0
0.0481023, 0, 5.64034e-19, 0, 1.41421, -5.64034e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57296e-21, 0, 0, 1.28536e-22, 0, 9.32165e-22, 0, 5.60401e-19, 0, 0, 0
0.0559851, 0, 1.21537e-18, 0, 1.41421, -1.21537e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54391e-21, 0, 0, 2.83392e-22, 0, 2.05514e-21, 0, 1.20749e-18, 0, 0, 0
0.0638679, 0, 2.5073e-18, 0, 1.41421, -2.5073e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14367e-20, 0, 0, 5.943e-22, 0, 4.30982e-21, 0, 2.49096e-18, 0, 0, 0
0.0717507, 0, 5.11756e-18, 0, 1.41421, -5.11756e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33423e-20, 0, 0, 1.23323e-21, 0, 8.94265e-21, 0, 5.08404e-18, 0, 0, 0
0.0796335, 0, 1.03373e-17, 0, 1.41421, -1.03373e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71492e-20, 0, 0, 2.533e-21, 0, 1.83659e-20, 0, 1.02693e-17, 0, 0, 0
0.0875163, 0, 2.06714e-17, 0, 1.41421, -2.06714e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.42801e-20, 0, 0, 5.1515e-21, 0, 3.73486e-20, 0, 2.05346e-17, 0, 0, 0
0.0953991, 0, 4.09299e-17, 0, 1.41421, -4.09299e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86671e-19, 0, 0, 1.03757e-20, 0, 7.52208e-20, 0, 4.06577e-17, 0, 0, 0
0.103282, 0, 8.02638e-17, 0, 1.41421, -8.02638e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66049e-19, 0, 0, 2.07009e-20, 0, 1.50079e-19, 0, 7.97269e-17, 0, 0, 0
0.111165, 0, 1.55917e-16, 0, 1.41421, -1.55917e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.11045e-19, 0, 0, 4.09208e-20, 0, 2.96707e-19, 0, 1.54869e-16, 0, 0, 0
0.119047, 0, 3.00087e-16, 0, 1.41421, -3.00087e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36846e-18, 0, 0, 8.01622e-20, 0, 5.81385e-19, 0, 2.98057e-16, 0, 0, 0
0.12693, 0, 5.72337e-16, 0, 1.41421, -5.72337e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60988e-18, 0, 0, 1.55648e-19, 0, 1.12932e-18, 0, 5.68443e-16, 0, 0, 0
0.134813, 0, 1.08188e-15, 0, 1.41421, -1.08188e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.93317e-18, 0, 0, 2.996e-19, 0, 2.1751e-18, 0, 1.07447e-15, 0, 0, 0
0.142696, 0, 2.02715e-15, 0, 1.41421, -2.02715e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.24303e-18, 0, 0, 5.71779e-19, 0, 4.15457e-18, 0, 2.01318e-15, 0, 0, 0
