   PIQUANT 0.0.0-main  ps__0125_0678032243_000rfs_shot_45.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0037477, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00413739, 0, 2.37807e-20, 0, 1.41421, -2.37807e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.19481e-23, 0, 0, 4.66424e-25, 0, 1.56846e-23, 0, 2.36826e-20, 0, 0, 0
0.0120225, 0, 5.12364e-20, 0, 1.41421, -5.12364e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76558e-22, 0, 0, 1.01803e-24, 0, 3.44499e-23, 0, 5.10244e-20, 0, 0, 0
0.0199076, 0, 1.0902e-19, 0, 1.41421, -1.0902e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75672e-22, 0, 0, 2.19478e-24, 0, 7.47011e-23, 0, 1.08567e-19, 0, 0, 0
0.0277927, 0, 2.29211e-19, 0, 1.41421, -2.29211e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.89828e-22, 0, 0, 4.6763e-24, 0, 1.60012e-22, 0, 2.28256e-19, 0, 0, 0
0.0356778, 0, 4.76396e-19, 0, 1.41421, -4.76396e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64157e-21, 0, 0, 9.85147e-24, 0, 3.38764e-22, 0, 4.74406e-19, 0, 0, 0
0.0435629, 0, 9.79229e-19, 0, 1.41421, -9.79229e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37419e-21, 0, 0, 2.0529e-23, 0, 7.09197e-22, 0, 9.75125e-19, 0, 0, 0
0.051448, 0, 1.99134e-18, 0, 1.41421, -1.99134e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8616e-21, 0, 0, 4.23319e-23, 0, 1.46875e-21, 0, 1.98297e-18, 0, 0, 0
0.059333, 0, 4.0077e-18, 0, 1.41421, -4.0077e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38092e-20, 0, 0, 8.64068e-23, 0, 3.01031e-21, 0, 3.99079e-18, 0, 0, 0
0.0672182, 0, 7.98482e-18, 0, 1.41421, -7.98482e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75127e-20, 0, 0, 1.7464e-22, 0, 6.10813e-21, 0, 7.95102e-18, 0, 0, 0
0.0751032, 0, 1.57533e-17, 0, 1.41421, -1.57533e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4279e-20, 0, 0, 3.49602e-22, 0, 1.22738e-20, 0, 1.56864e-17, 0, 0, 0
0.0829883, 0, 3.07835e-17, 0, 1.41421, -3.07835e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06065e-19, 0, 0, 6.93344e-22, 0, 2.44313e-20, 0, 3.06523e-17, 0, 0, 0
