   PIQUANT 0.0.0-main  ps__0125_0678032243_000rfs_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00115648, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00673282, 0, 3.04337e-20, 0, 1.41421, -3.04337e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.96112e-23, 0, 0, 8.61181e-25, 0, 8.96772e-24, 0, 3.03443e-20, 0, 0, 0
0.0146221, 0, 6.71166e-20, 0, 1.41421, -6.71166e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75568e-22, 0, 0, 1.92969e-24, 0, 2.01597e-23, 0, 6.6919e-20, 0, 0, 0
0.0225114, 0, 1.46042e-19, 0, 1.41421, -1.46042e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82025e-22, 0, 0, 4.26643e-24, 0, 4.4697e-23, 0, 1.45611e-19, 0, 0, 0
0.0304007, 0, 3.13727e-19, 0, 1.41421, -3.13727e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.20659e-22, 0, 0, 9.31292e-24, 0, 9.78047e-23, 0, 3.12799e-19, 0, 0, 0
0.03829, 0, 6.65696e-19, 0, 1.41421, -6.65696e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74134e-21, 0, 0, 2.00809e-23, 0, 2.11344e-22, 0, 6.63723e-19, 0, 0, 0
0.0461793, 0, 1.39588e-18, 0, 1.41421, -1.39588e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65134e-21, 0, 0, 4.27915e-23, 0, 4.51228e-22, 0, 1.39173e-18, 0, 0, 0
0.0540687, 0, 2.89362e-18, 0, 1.41421, -2.89362e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5691e-21, 0, 0, 9.01557e-23, 0, 9.52329e-22, 0, 2.88501e-18, 0, 0, 0
0.061958, 0, 5.93223e-18, 0, 1.41421, -5.93223e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55174e-20, 0, 0, 1.87869e-22, 0, 1.98768e-21, 0, 5.91454e-18, 0, 0, 0
0.0698473, 0, 1.20315e-17, 0, 1.41421, -1.20315e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14715e-20, 0, 0, 3.87339e-22, 0, 4.10434e-21, 0, 1.19956e-17, 0, 0, 0
0.0777366, 0, 2.41477e-17, 0, 1.41421, -2.41477e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.31639e-20, 0, 0, 7.90382e-22, 0, 8.38742e-21, 0, 2.40753e-17, 0, 0, 0
0.0856259, 0, 4.79736e-17, 0, 1.41421, -4.79736e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25485e-19, 0, 0, 1.59668e-21, 0, 1.69686e-20, 0, 4.78296e-17, 0, 0, 0
0.0935152, 0, 9.43649e-17, 0, 1.41421, -9.43649e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4683e-19, 0, 0, 3.19411e-21, 0, 3.39957e-20, 0, 9.40809e-17, 0, 0, 0
