   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_101.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
3.20511e-05, 0, 6.25489e-21, 0, 1.41421, -6.25489e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29754e-23, 0, 0, 8.8454e-26, 0, 1.29469e-22, 0, 6.10236e-21, 0, 0
0.00791856, 0, 1.354e-20, 0, 1.41421, -1.354e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97166e-23, 0, 0, 1.94501e-25, 0, 2.85165e-22, 0, 1.32049e-20, 0, 0
0.0158051, 0, 2.89396e-20, 0, 1.41421, -2.89396e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06222e-22, 0, 0, 4.223e-25, 0, 6.1996e-22, 0, 2.8213e-20, 0, 0
0.0236916, 0, 6.11056e-20, 0, 1.41421, -6.11056e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24204e-22, 0, 0, 9.05853e-25, 0, 1.33119e-21, 0, 5.95493e-20, 0, 0
0.0315781, 0, 1.27526e-19, 0, 1.41421, -1.27526e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.67733e-22, 0, 0, 1.92067e-24, 0, 2.82471e-21, 0, 1.24232e-19, 0, 0
0.0394646, 0, 2.63171e-19, 0, 1.41421, -2.63171e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.64882e-22, 0, 0, 4.02721e-24, 0, 5.92633e-21, 0, 2.56276e-19, 0, 0
0.0473511, 0, 5.37246e-19, 0, 1.41421, -5.37246e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96899e-21, 0, 0, 8.35388e-24, 0, 1.22991e-20, 0, 5.2297e-19, 0, 0
0.0552376, 0, 1.08531e-18, 0, 1.41421, -1.08531e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97607e-21, 0, 0, 1.715e-23, 0, 2.5259e-20, 0, 1.05606e-18, 0, 0
0.0631242, 0, 2.17031e-18, 0, 1.41421, -2.17031e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.94783e-21, 0, 0, 3.48556e-23, 0, 5.13536e-20, 0, 2.11097e-18, 0, 0
0.0710107, 0, 4.29739e-18, 0, 1.41421, -4.29739e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57309e-20, 0, 0, 7.0154e-23, 0, 1.03393e-19, 0, 4.1782e-18, 0, 0
