   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_113.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00110122, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00679036, 0, 2.71314e-20, 0, 1.41421, -2.71314e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28535e-22, 0, 0, 2.17086e-25, 5.49369e-22, 0, 2.63533e-20, 0, 0
0.0146819, 0, 5.6917e-20, 0, 1.41421, -5.6917e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79257e-22, 0, 0, 4.62411e-25, 1.17217e-21, 0, 5.52651e-20, 0, 0
0.0225735, 0, 1.18068e-19, 0, 1.41421, -1.18068e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.93815e-22, 0, 0, 9.7406e-25, 2.47277e-21, 0, 1.14601e-19, 0, 0
0.0304651, 0, 2.42282e-19, 0, 1.41421, -2.42282e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03862e-21, 0, 0, 2.02993e-24, 5.15996e-21, 0, 2.35082e-19, 0, 0
0.0383567, 0, 4.91996e-19, 0, 1.41421, -4.91996e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.13825e-21, 0, 0, 4.18673e-24, 1.06551e-20, 0, 4.77199e-19, 0, 0
0.0462483, 0, 9.88995e-19, 0, 1.41421, -9.88995e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.31546e-21, 0, 0, 8.54894e-24, 2.17811e-20, 0, 9.5889e-19, 0, 0
0.0541399, 0, 1.96853e-18, 0, 1.41421, -1.96853e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6545e-20, 0, 0, 1.7287e-23, 4.40916e-20, 0, 1.90787e-18, 0, 0
0.0620314, 0, 3.88081e-18, 0, 1.41421, -3.88081e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26044e-20, 0, 0, 3.46275e-23, 8.84147e-20, 0, 3.75975e-18, 0, 0
0.069923, 0, 7.57948e-18, 0, 1.41421, -7.57948e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.3653e-20, 0, 0, 6.87264e-23, 1.75674e-19, 0, 7.34008e-18, 0, 0
