   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_114.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.000432854, 0, 3.31146e-21, 0, 1.41421, -3.31146e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28744e-24, 0, 0, 3.52054e-26, 0, 7.93941e-23, 0, 3.23074e-21, 0, 0
0.00831826, 0, 7.30913e-21, 0, 1.41421, -7.30913e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84041e-24, 0, 0, 7.89663e-26, 0, 1.78389e-22, 0, 7.12783e-21, 0, 0
0.0162037, 0, 1.59131e-20, 0, 1.41421, -1.59131e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1813e-24, 0, 0, 1.74695e-25, 0, 3.95154e-22, 0, 1.55115e-20, 0, 0
0.0240891, 0, 3.41956e-20, 0, 1.41421, -3.41956e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32772e-23, 0, 0, 3.81438e-25, 0, 8.63611e-22, 0, 3.33183e-20, 0, 0
0.0319745, 0, 7.25715e-20, 0, 1.41421, -7.25715e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81654e-23, 0, 0, 8.22496e-25, 0, 1.86344e-21, 0, 7.06791e-20, 0, 0
0.0398599, 0, 1.52183e-19, 0, 1.41421, -1.52183e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90373e-23, 0, 0, 1.75246e-24, 0, 3.97208e-21, 0, 1.4815e-19, 0, 0
0.0477453, 0, 3.15476e-19, 0, 1.41421, -3.15476e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22331e-22, 0, 0, 3.69121e-24, 0, 8.36867e-21, 0, 3.06982e-19, 0, 0
0.0556307, 0, 6.46766e-19, 0, 1.41421, -6.46766e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50683e-22, 0, 0, 7.68931e-24, 0, 1.74357e-20, 0, 6.29072e-19, 0, 0
0.0635161, 0, 1.3118e-18, 0, 1.41421, -1.3118e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08219e-22, 0, 0, 1.58479e-23, 0, 3.5938e-20, 0, 1.27534e-18, 0, 0
0.0714015, 0, 2.63315e-18, 0, 1.41421, -2.63315e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01967e-21, 0, 0, 3.2328e-23, 0, 7.33112e-20, 0, 2.55879e-18, 0, 0
0.0792869, 0, 5.23239e-18, 0, 1.41421, -5.23239e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02525e-21, 0, 0, 6.52896e-23, 0, 1.48062e-19, 0, 5.08224e-18, 0, 0
0.0871723, 0, 1.02959e-17, 0, 1.41421, -1.02959e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.98322e-21, 0, 0, 1.30587e-22, 0, 2.96156e-19, 0, 9.99562e-18, 0, 0
0.0950577, 0, 2.00667e-17, 0, 1.41421, -2.00667e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.75945e-21, 0, 0, 2.58739e-22, 0, 5.86853e-19, 0, 1.94718e-17, 0, 0
0.102943, 0, 3.87471e-17, 0, 1.41421, -3.87471e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49752e-20, 0, 0, 5.07975e-22, 0, 1.15238e-18, 0, 3.75793e-17, 0, 0
0.110829, 0, 7.4139e-17, 0, 1.41421, -7.4139e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86385e-20, 0, 0, 9.88413e-22, 0, 2.24298e-18, 0, 7.18664e-17, 0, 0
0.118714, 0, 1.406e-16, 0, 1.41421, -1.406e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.42813e-20, 0, 0, 1.90653e-21, 0, 4.32845e-18, 0, 1.36215e-16, 0, 0
0.126599, 0, 2.6432e-16, 0, 1.41421, -2.6432e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01987e-19, 0, 0, 3.6462e-21, 0, 8.28334e-18, 0, 2.55931e-16, 0, 0
0.134485, 0, 4.92669e-16, 0, 1.41421, -4.92669e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89983e-19, 0, 0, 6.91528e-21, 0, 1.57232e-17, 0, 4.76749e-16, 0, 0
0.14237, 0, 9.10597e-16, 0, 1.41421, -9.10597e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50925e-19, 0, 0, 1.30082e-20, 0, 2.96085e-17, 0, 8.80625e-16, 0, 0
