   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_117.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
1.74007e-05, 0, 7.39108e-22, 0, 1.41421, -7.39108e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34698e-24, 0, 0, 7.09729e-27, 1.83351e-23, 0, 7.15419e-22, 0, 0, 0
0.00790479, 0, 1.69581e-21, 0, 1.41421, -1.69581e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22622e-23, 0, 0, 1.6528e-26, 4.28627e-23, 0, 1.64067e-21, 0, 0, 0
0.0157922, 0, 3.83194e-21, 0, 1.41421, -3.83194e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76952e-23, 0, 0, 3.79086e-26, 9.86181e-23, 0, 3.70558e-21, 0, 0, 0
0.0236796, 0, 8.53469e-21, 0, 1.41421, -8.53469e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.16554e-23, 0, 0, 8.57055e-26, 2.23526e-22, 0, 8.24943e-21, 0, 0, 0
0.031567, 0, 1.87499e-20, 0, 1.41421, -1.87499e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35388e-22, 0, 0, 1.91139e-25, 4.99519e-22, 0, 1.81148e-20, 0, 0, 0
0.0394544, 0, 4.0656e-20, 0, 1.41421, -4.0656e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93431e-22, 0, 0, 4.20765e-25, 1.1014e-21, 0, 3.92607e-20, 0, 0, 0
0.0473418, 0, 8.70584e-20, 0, 1.41421, -8.70584e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.28046e-22, 0, 0, 9.14806e-25, 2.39764e-21, 0, 8.40318e-20, 0, 0, 0
0.0552292, 0, 1.84193e-19, 0, 1.41421, -1.84193e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32816e-21, 0, 0, 1.96534e-24, 5.15608e-21, 0, 1.77707e-19, 0, 0, 0
0.0631166, 0, 3.85219e-19, 0, 1.41421, -3.85219e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7764e-21, 0, 0, 4.17415e-24, 1.09591e-20, 0, 3.71479e-19, 0, 0, 0
0.071004, 0, 7.96681e-19, 0, 1.41421, -7.96681e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.73922e-21, 0, 0, 8.76785e-24, 2.30329e-20, 0, 7.679e-19, 0, 0, 0
0.0788914, 0, 1.6299e-18, 0, 1.41421, -1.6299e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1736e-20, 0, 0, 1.82212e-23, 4.78872e-20, 0, 1.57026e-18, 0, 0, 0
0.0867787, 0, 3.29973e-18, 0, 1.41421, -3.29973e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37477e-20, 0, 0, 3.74767e-23, 9.8526e-20, 0, 3.17742e-18, 0, 0, 0
0.0946661, 0, 6.61244e-18, 0, 1.41421, -6.61244e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75649e-20, 0, 0, 7.63098e-23, 2.00675e-19, 0, 6.36412e-18, 0, 0, 0
0.102554, 0, 1.31198e-17, 0, 1.41421, -1.31198e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.43249e-20, 0, 0, 1.5387e-22, 4.04742e-19, 0, 1.26206e-17, 0, 0, 0
0.110441, 0, 2.57798e-17, 0, 1.41421, -2.57798e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85246e-19, 0, 0, 3.0732e-22, 8.086e-19, 0, 2.47857e-17, 0, 0, 0
0.118328, 0, 5.01781e-17, 0, 1.41421, -5.01781e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60366e-19, 0, 0, 6.08123e-22, 1.60056e-18, 0, 4.82166e-17, 0, 0, 0
0.126216, 0, 9.67651e-17, 0, 1.41421, -9.67651e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.94547e-19, 0, 0, 1.19247e-21, 3.13978e-18, 0, 9.29296e-17, 0, 0, 0
0.134103, 0, 1.84916e-16, 0, 1.41421, -1.84916e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32648e-18, 0, 0, 2.31763e-21, 6.10541e-18, 0, 1.77481e-16, 0, 0, 0
0.141991, 0, 3.50226e-16, 0, 1.41421, -3.50226e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51078e-18, 0, 0, 4.46537e-21, 1.17708e-17, 0, 3.3594e-16, 0, 0, 0
0.149878, 0, 6.62494e-16, 0, 1.41421, -6.62494e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74586e-18, 0, 0, 8.61893e-21, 2.27473e-17, 0, 6.34992e-16, 0, 0, 0
0.157765, 0, 1.23198e-15, 0, 1.41421, -1.23198e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.81961e-18, 0, 0, 1.63091e-20, 4.30889e-17, 0, 1.18006e-15, 0, 0, 0
0.165653, 0, 2.27184e-15, 0, 1.41421, -2.27184e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62525e-17, 0, 0, 3.06103e-20, 8.09771e-17, 0, 2.17458e-15, 0, 0, 0
0.17354, 0, 4.15478e-15, 0, 1.41421, -4.15478e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97013e-17, 0, 0, 5.69929e-20, 1.51003e-16, 0, 3.97402e-15, 0, 0, 0
0.181427, 0, 7.53636e-15, 0, 1.41421, -7.53636e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38339e-17, 0, 0, 1.05278e-19, 2.79447e-16, 0, 7.20298e-15, 0, 0, 0
0.189315, 0, 1.356e-14, 0, 1.41421, -1.356e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.67841e-17, 0, 0, 1.92966e-19, 5.13291e-16, 0, 1.29497e-14, 0, 0, 0
0.197202, 0, 2.42035e-14, 0, 1.41421, -2.42035e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72606e-16, 0, 0, 3.50994e-19, 9.35908e-16, 0, 2.30947e-14, 0, 0, 0
0.20509, 0, 4.28602e-14, 0, 1.41421, -4.28602e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05381e-16, 0, 0, 6.33632e-19, 1.69419e-15, 0, 4.086e-14, 0, 0, 0
0.212977, 0, 7.53043e-14, 0, 1.41421, -7.53043e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3604e-16, 0, 0, 1.13538e-18, 3.0451e-15, 0, 7.1722e-14, 0, 0, 0
0.220864, 0, 1.31282e-13, 0, 1.41421, -1.31282e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33572e-16, 0, 0, 2.01959e-18, 5.43506e-15, 0, 1.24911e-13, 0, 0, 0
