   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_119.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.000657886, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00722784, 0, 5.34993e-21, 0, 1.41421, -5.34993e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60057e-23, 0, 0, 4.09099e-26, 0, 1.21097e-22, 0, 5.21278e-21, 0, 0, 0
0.0151136, 0, 1.1746e-20, 0, 1.41421, -1.1746e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51265e-23, 0, 0, 9.11435e-26, 0, 2.7066e-22, 0, 1.14401e-20, 0, 0, 0
0.0229993, 0, 2.54546e-20, 0, 1.41421, -2.54546e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.60906e-23, 0, 0, 2.00446e-25, 0, 5.9689e-22, 0, 2.47815e-20, 0, 0, 0
0.030885, 0, 5.44782e-20, 0, 1.41421, -5.44782e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62782e-22, 0, 0, 4.35401e-25, 0, 1.29965e-21, 0, 5.30154e-20, 0, 0, 0
0.0387708, 0, 1.15229e-19, 0, 1.41421, -1.15229e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44161e-22, 0, 0, 9.34995e-25, 0, 2.79681e-21, 0, 1.12087e-19, 0, 0, 0
0.0466565, 0, 2.40923e-19, 0, 1.41421, -2.40923e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19266e-22, 0, 0, 1.98493e-24, 0, 5.94853e-21, 0, 2.34253e-19, 0, 0, 0
0.0545422, 0, 4.98137e-19, 0, 1.41421, -4.98137e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48652e-21, 0, 0, 4.16759e-24, 0, 1.25105e-20, 0, 4.84135e-19, 0, 0, 0
0.062428, 0, 1.0189e-18, 0, 1.41421, -1.0189e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03923e-21, 0, 0, 8.65751e-24, 0, 2.60282e-20, 0, 9.89826e-19, 0, 0, 0
0.0703137, 0, 2.0624e-18, 0, 1.41421, -2.0624e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.14903e-21, 0, 0, 1.77998e-23, 0, 5.35896e-20, 0, 2.00264e-18, 0, 0, 0
0.0781994, 0, 4.13235e-18, 0, 1.41421, -4.13235e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23149e-20, 0, 0, 3.62314e-23, 0, 1.09229e-19, 0, 4.01077e-18, 0, 0, 0
0.0860852, 0, 8.19826e-18, 0, 1.41421, -8.19826e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44203e-20, 0, 0, 7.3034e-23, 0, 2.20469e-19, 0, 7.9533e-18, 0, 0, 0
0.0939709, 0, 1.61084e-17, 0, 1.41421, -1.61084e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7959e-20, 0, 0, 1.45828e-22, 0, 4.40795e-19, 0, 1.56195e-17, 0, 0, 0
0.101857, 0, 3.13533e-17, 0, 1.41421, -3.13533e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33006e-20, 0, 0, 2.88493e-22, 0, 8.73209e-19, 0, 3.03865e-17, 0, 0, 0
0.109742, 0, 6.04648e-17, 0, 1.41421, -6.04648e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79837e-19, 0, 0, 5.65584e-22, 0, 1.71434e-18, 0, 5.857e-17, 0, 0, 0
0.117628, 0, 1.15555e-16, 0, 1.41421, -1.15555e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43506e-19, 0, 0, 1.09903e-21, 0, 3.33631e-18, 0, 1.11874e-16, 0, 0, 0
0.125514, 0, 2.18886e-16, 0, 1.41421, -2.18886e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.50313e-19, 0, 0, 2.11716e-21, 0, 6.43754e-18, 0, 2.11796e-16, 0, 0, 0
0.1334, 0, 4.11012e-16, 0, 1.41421, -4.11012e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22041e-18, 0, 0, 4.04385e-21, 0, 1.2318e-17, 0, 3.9747e-16, 0, 0, 0
0.141285, 0, 7.65174e-16, 0, 1.41421, -7.65174e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27066e-18, 0, 0, 7.65952e-21, 0, 2.33778e-17, 0, 7.39518e-16, 0, 0, 0
0.149171, 0, 1.41251e-15, 0, 1.41421, -1.41251e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18901e-18, 0, 0, 1.43892e-20, 0, 4.40137e-17, 0, 1.3643e-15, 0, 0, 0
0.157057, 0, 2.58586e-15, 0, 1.41421, -2.58586e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.66369e-18, 0, 0, 2.68134e-20, 0, 8.22168e-17, 0, 2.49595e-15, 0, 0, 0
0.164942, 0, 4.69509e-15, 0, 1.41421, -4.69509e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39052e-17, 0, 0, 4.95685e-20, 0, 1.52401e-16, 0, 4.52874e-15, 0, 0, 0
0.172828, 0, 8.45588e-15, 0, 1.41421, -8.45588e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50253e-17, 0, 0, 9.09179e-20, 0, 2.80373e-16, 0, 8.15039e-15, 0, 0, 0
0.180714, 0, 1.51074e-14, 0, 1.41421, -1.51074e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46765e-17, 0, 0, 1.6548e-19, 0, 5.11991e-16, 0, 1.45505e-14, 0, 0, 0
0.1886, 0, 2.67778e-14, 0, 1.41421, -2.67778e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.91259e-17, 0, 0, 2.9891e-19, 0, 9.28171e-16, 0, 2.57702e-14, 0, 0, 0
0.196485, 0, 4.70928e-14, 0, 1.41421, -4.70928e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39038e-16, 0, 0, 5.35906e-19, 0, 1.67066e-15, 0, 4.52826e-14, 0, 0, 0
0.204371, 0, 8.21792e-14, 0, 1.41421, -8.21792e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42411e-16, 0, 0, 9.53755e-19, 0, 2.98603e-15, 0, 7.89498e-14, 0, 0, 0
0.212257, 0, 1.42308e-13, 0, 1.41421, -1.42308e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19384e-16, 0, 0, 1.68514e-18, 0, 5.30033e-15, 0, 1.36586e-13, 0, 0, 0
0.220143, 0, 2.4456e-13, 0, 1.41421, -2.4456e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.20007e-16, 0, 0, 2.95624e-18, 0, 9.34466e-15, 0, 2.34493e-13, 0, 0, 0
0.228028, 0, 4.1712e-13, 0, 1.41421, -4.1712e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22674e-15, 0, 0, 5.14991e-18, 0, 1.63663e-14, 0, 3.99522e-13, 0, 0, 0
0.235914, 0, 7.06129e-13, 0, 1.41421, -7.06129e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07439e-15, 0, 0, 8.91001e-18, 0, 2.84783e-14, 0, 6.75567e-13, 0, 0, 0
0.2438, 0, 1.18653e-12, 0, 1.41421, -1.18653e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48151e-15, 0, 0, 1.53121e-17, 0, 4.9238e-14, 0, 1.13379e-12, 0, 0, 0
