   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_181.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0411791, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0331269, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0250747, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0170225, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00897032, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000918129, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00713406, 0, 1.29645e-18, 0, 1.41421, -1.29645e-18, 0, 0, 0, 0, 0, 0, 0, 7.70462e-21, 0, 1.79896e-23, 4.84997e-22, 0, 1.28824e-18, 0, 0
0.0151862, 0, 3.12947e-18, 0, 1.41421, -3.12947e-18, 0, 0, 0, 0, 0, 0, 0, 1.85978e-20, 0, 4.48331e-23, 1.20812e-21, 0, 3.10962e-18, 0, 0
0.0232384, 0, 7.16983e-18, 0, 1.41421, -7.16983e-18, 0, 0, 0, 0, 0, 0, 0, 4.26085e-20, 0, 1.05108e-22, 2.8318e-21, 0, 7.12428e-18, 0, 0
0.0312906, 0, 1.61594e-17, 0, 1.41421, -1.61594e-17, 0, 0, 0, 0, 0, 0, 0, 9.60302e-20, 0, 2.42426e-22, 6.53182e-21, 0, 1.60566e-17, 0, 0
0.0393428, 0, 3.58477e-17, 0, 1.41421, -3.58477e-17, 0, 0, 0, 0, 0, 0, 0, 2.1303e-19, 0, 5.50397e-22, 1.48354e-20, 0, 3.56193e-17, 0, 0
0.047395, 0, 7.83145e-17, 0, 1.41421, -7.83145e-17, 0, 0, 0, 0, 0, 0, 0, 4.65389e-19, 0, 1.23072e-21, 3.31982e-20, 0, 7.78147e-17, 0, 0
0.0554472, 0, 1.68566e-16, 0, 1.41421, -1.68566e-16, 0, 0, 0, 0, 0, 0, 0, 1.0017e-18, 0, 2.71169e-21, 7.32342e-20, 0, 1.67489e-16, 0, 0
0.0634994, 0, 3.57631e-16, 0, 1.41421, -3.57631e-16, 0, 0, 0, 0, 0, 0, 0, 2.1252e-18, 0, 5.88997e-21, 1.59336e-19, 0, 3.55341e-16, 0, 0
0.0715516, 0, 7.48195e-16, 0, 1.41421, -7.48195e-16, 0, 0, 0, 0, 0, 0, 0, 4.44604e-18, 0, 1.26176e-20, 3.42096e-19, 0, 7.43394e-16, 0, 0
0.0796037, 0, 1.54406e-15, 0, 1.41421, -1.54406e-15, 0, 0, 0, 0, 0, 0, 0, 9.17527e-18, 0, 2.66672e-20, 7.25051e-19, 0, 1.53414e-15, 0, 0
0.0876559, 0, 3.17351e-15, 0, 1.41421, -3.17351e-15, 0, 0, 0, 0, 0, 0, 0, 1.88576e-17, 0, 5.63641e-20, 1.53973e-18, 0, 3.15305e-15, 0, 0
0.0957081, 0, 6.37361e-15, 0, 1.41421, -6.37361e-15, 0, 0, 0, 0, 0, 0, 0, 3.78726e-17, 0, 1.15946e-19, 3.18055e-18, 0, 6.33244e-15, 0, 0
0.10376, 0, 1.26402e-14, 0, 1.41421, -1.26402e-14, 0, 0, 0, 0, 0, 0, 0, 7.51081e-17, 0, 2.35571e-19, 6.49329e-18, 0, 1.25583e-14, 0, 0
0.111813, 0, 2.47606e-14, 0, 1.41421, -2.47606e-14, 0, 0, 0, 0, 0, 0, 0, 1.47125e-16, 0, 4.72849e-19, 1.31059e-17, 0, 2.45999e-14, 0, 0
0.119865, 0, 4.792e-14, 0, 1.41421, -4.792e-14, 0, 0, 0, 0, 0, 0, 0, 2.84731e-16, 0, 9.37932e-19, 2.616e-17, 0, 4.76082e-14, 0, 0
0.127917, 0, 9.16486e-14, 0, 1.41421, -9.16486e-14, 0, 0, 0, 0, 0, 0, 0, 5.44548e-16, 0, 1.83898e-18, 5.16533e-17, 0, 9.10506e-14, 0, 0
0.135969, 0, 1.73254e-13, 0, 1.41421, -1.73254e-13, 0, 0, 0, 0, 0, 0, 0, 1.0294e-15, 0, 3.56488e-18, 1.00916e-16, 0, 1.7212e-13, 0, 0
0.144021, 0, 3.23804e-13, 0, 1.41421, -3.23804e-13, 0, 0, 0, 0, 0, 0, 0, 1.92387e-15, 0, 6.83391e-18, 1.95132e-16, 0, 3.21678e-13, 0, 0
0.152073, 0, 5.98427e-13, 0, 1.41421, -5.98427e-13, 0, 0, 0, 0, 0, 0, 0, 3.55544e-15, 0, 1.29585e-17, 3.73516e-16, 0, 5.94485e-13, 0, 0
0.160126, 0, 1.09635e-12, 0, 1.41421, -1.09635e-12, 0, 0, 0, 0, 0, 0, 0, 6.51359e-15, 0, 2.44078e-17, 7.11661e-16, 0, 1.0891e-12, 0, 0
0.168178, 0, 1.98186e-12, 0, 1.41421, -1.98186e-12, 0, 0, 0, 0, 0, 0, 0, 1.17743e-14, 0, 4.52967e-17, 1.33534e-15, 0, 1.9687e-12, 0, 0
0.17623, 0, 3.54466e-12, 0, 1.41421, -3.54466e-12, 0, 0, 0, 0, 0, 0, 0, 2.10585e-14, 0, 8.32053e-17, 2.48196e-15, 0, 3.52103e-12, 0, 0
0.184282, 0, 6.27366e-12, 0, 1.41421, -6.27366e-12, 0, 0, 0, 0, 0, 0, 0, 3.72705e-14, 0, 1.5131e-16, 4.57045e-15, 0, 6.23167e-12, 0, 0
0.192334, 0, 1.09896e-11, 0, 1.41421, -1.09896e-11, 0, 0, 0, 0, 0, 0, 0, 6.52859e-14, 0, 2.72464e-16, 8.34042e-15, 0, 1.09157e-11, 0, 0
0.200387, 0, 1.90557e-11, 0, 1.41421, -1.90557e-11, 0, 0, 0, 0, 0, 0, 0, 1.13202e-13, 0, 4.85919e-16, 1.50849e-14, 0, 1.8927e-11, 0, 0
0.208439, 0, 3.27122e-11, 0, 1.41421, -3.27122e-11, 0, 0, 0, 0, 0, 0, 0, 1.94328e-13, 0, 8.5847e-16, 2.70455e-14, 0, 3.249e-11, 0, 0
0.216491, 0, 5.56031e-11, 0, 1.41421, -5.56031e-11, 0, 0, 0, 0, 0, 0, 0, 3.30312e-13, 0, 1.5028e-15, 4.80757e-14, 0, 5.52232e-11, 0, 0
0.224543, 0, 9.35946e-11, 0, 1.41421, -9.35946e-11, 0, 0, 0, 0, 0, 0, 0, 5.56009e-13, 0, 2.60737e-15, 8.47438e-14, 0, 9.29512e-11, 0, 0
0.232595, 0, 1.56109e-10, 0, 1.41421, -1.56109e-10, 0, 0, 0, 0, 0, 0, 0, 9.27418e-13, 0, 4.49172e-15, 1.4845e-13, 0, 1.55028e-10, 0, 0
0.240648, 0, 2.57779e-10, 0, 1.41421, -2.57779e-10, 0, 0, 0, 0, 0, 0, 0, 1.5315e-12, 0, 7.66149e-15, 2.57434e-13, 0, 2.55982e-10, 0, 0
0.2487, 0, 4.21695e-10, 0, 1.41421, -4.21695e-10, 0, 0, 0, 0, 0, 0, 0, 2.50556e-12, 0, 1.29636e-14, 4.42947e-13, 0, 4.18734e-10, 0, 0
0.256752, 0, 6.83491e-10, 0, 1.41421, -6.83491e-10, 0, 0, 0, 0, 0, 0, 0, 4.06153e-12, 0, 2.17675e-14, 7.56358e-13, 0, 6.78651e-10, 0, 0
0.264804, 0, 1.09775e-09, 0, 1.41421, -1.09775e-09, 0, 0, 0, 0, 0, 0, 0, 6.52425e-12, 0, 3.62854e-14, 1.282e-12, 0, 1.08991e-09, 0, 0
0.272856, 0, 1.74727e-09, 0, 1.41421, -1.74727e-09, 0, 0, 0, 0, 0, 0, 0, 1.03868e-11, 0, 6.00741e-14, 2.15742e-12, 0, 1.73466e-09, 0, 0
0.280908, 0, 2.75646e-09, 0, 1.41421, -2.75646e-09, 0, 0, 0, 0, 0, 0, 0, 1.63909e-11, 0, 9.88288e-14, 3.60559e-12, 0, 2.73636e-09, 0, 0
0.288961, 0, 4.31051e-09, 1.8357e-43, 1.41421, -4.31051e-09, 1.8357e-43, 0, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 2.56416e-11, 1.8357e-43, 1.61641e-13, 5.98587e-12, 1.8357e-43, 4.27872e-09, 1.8357e-43, 1.8357e-43
0.297013, 0, 6.68255e-09, 4.04695e-42, 1.41421, -6.68255e-09, 4.04695e-42, 0, 4.04695e-42, 4.04695e-42, 4.04695e-42, 4.04695e-42, 4.04695e-42, 3.97713e-11, 4.04695e-42, 2.62991e-13, 9.87441e-12, 4.04695e-42, 6.63264e-09, 4.04695e-42, 4.04695e-42
0.305065, 0, 1.02726e-08, 4.2295e-40, 1.41421, -1.02726e-08, 4.2295e-40, 0, 4.2295e-40, 4.2295e-40, 4.2295e-40, 4.2295e-40, 4.2295e-40, 6.11765e-11, 4.2295e-40, 4.26551e-13, 1.62096e-11, 4.2295e-40, 1.01948e-08, 4.2295e-40, 4.2295e-40
0.313117, 0, 1.56568e-08, 5.79064e-39, 1.41421, -1.56568e-08, 5.79064e-39, 0, 5.79064e-39, 5.79064e-39, 5.79064e-39, 5.79064e-39, 5.79064e-39, 9.33138e-11, 5.79064e-39, 6.88086e-13, 2.6425e-11, 5.79064e-39, 1.55364e-08, 5.79064e-39, 5.79064e-39
0.321169, 0, 2.36653e-08, 7.10293e-38, 1.41421, -2.36653e-08, 7.10293e-38, 0, 7.10293e-38, 7.10293e-38, 7.10293e-38, 7.10293e-38, 7.10293e-38, 1.41179e-10, 7.10293e-38, 1.10627e-12, 4.28442e-11, 7.10293e-38, 2.34802e-08, 7.10293e-38, 7.10293e-38
0.329222, 0, 3.54774e-08, 7.84296e-37, 1.41421, -3.54774e-08, 7.84296e-37, 0, 7.84296e-37, 7.84296e-37, 7.84296e-37, 7.84296e-37, 7.84296e-37, 2.11895e-10, 7.84296e-37, 1.77379e-12, 6.91099e-11, 7.84296e-37, 3.51946e-08, 7.84296e-37, 7.84296e-37
