   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_185.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0237313, 0, 4.39582e-17, 0, 1.41421, -4.39582e-17, 0, 0, 0, 0, 0, 0, 0, 0, 8.05901e-20, 0, 0, 2.45729e-22, 5.43828e-21, 0, 4.38719e-17, 0, 0
0.0315122, 0, 8.66658e-17, 0, 1.41421, -8.66658e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.58887e-19, 0, 0, 4.9301e-22, 1.09219e-20, 0, 8.64955e-17, 0, 0
0.0392931, 0, 1.69182e-16, 0, 1.41421, -1.69182e-16, 0, 0, 0, 0, 0, 0, 0, 0, 3.10166e-19, 0, 0, 9.79523e-22, 2.17241e-20, 0, 1.68849e-16, 0, 0
0.0470741, 0, 3.2709e-16, 0, 1.41421, -3.2709e-16, 0, 0, 0, 0, 0, 0, 0, 0, 5.99661e-19, 0, 0, 1.92773e-21, 4.2808e-20, 0, 3.26445e-16, 0, 0
0.054855, 0, 6.26449e-16, 0, 1.41421, -6.26449e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.14848e-18, 0, 0, 3.75885e-21, 8.3592e-20, 0, 6.25213e-16, 0, 0
0.062636, 0, 1.18877e-15, 0, 1.41421, -1.18877e-15, 0, 0, 0, 0, 0, 0, 0, 0, 2.17939e-18, 0, 0, 7.26328e-21, 1.61795e-19, 0, 1.18642e-15, 0, 0
0.0704169, 0, 2.23557e-15, 0, 1.41421, -2.23557e-15, 0, 0, 0, 0, 0, 0, 0, 0, 4.09849e-18, 0, 0, 1.39113e-20, 3.10478e-19, 0, 2.23115e-15, 0, 0
0.0781979, 0, 4.16707e-15, 0, 1.41421, -4.16707e-15, 0, 0, 0, 0, 0, 0, 0, 0, 7.63949e-18, 0, 0, 2.64141e-20, 5.90812e-19, 0, 4.15881e-15, 0, 0
0.0859788, 0, 7.70008e-15, 0, 1.41421, -7.70008e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.41165e-17, 0, 0, 4.97295e-20, 1.11509e-18, 0, 7.6848e-15, 0, 0
0.0937598, 0, 1.41075e-14, 0, 1.41421, -1.41075e-14, 0, 0, 0, 0, 0, 0, 0, 0, 2.58631e-17, 0, 0, 9.28479e-20, 2.08782e-18, 0, 1.40794e-14, 0, 0
0.101541, 0, 2.563e-14, 0, 1.41421, -2.563e-14, 0, 0, 0, 0, 0, 0, 0, 0, 4.6987e-17, 0, 0, 1.71937e-19, 3.87856e-18, 0, 2.5579e-14, 0, 0
0.109322, 0, 4.61797e-14, 0, 1.41421, -4.61797e-14, 0, 0, 0, 0, 0, 0, 0, 0, 8.46601e-17, 0, 0, 3.1584e-19, 7.15018e-18, 0, 4.60876e-14, 0, 0
0.117103, 0, 8.25295e-14, 0, 1.41421, -8.25295e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.51298e-16, 0, 0, 5.756e-19, 1.30828e-17, 0, 8.23645e-14, 0, 0
0.124884, 0, 1.46309e-13, 0, 1.41421, -1.46309e-13, 0, 0, 0, 0, 0, 0, 0, 0, 2.68221e-16, 0, 0, 1.04084e-18, 2.37619e-17, 0, 1.46016e-13, 0, 0
0.132664, 0, 2.57322e-13, 0, 1.41421, -2.57322e-13, 0, 0, 0, 0, 0, 0, 0, 0, 4.71735e-16, 0, 0, 1.86767e-18, 4.28469e-17, 0, 2.56806e-13, 0, 0
0.140445, 0, 4.4903e-13, 0, 1.41421, -4.4903e-13, 0, 0, 0, 0, 0, 0, 0, 0, 8.23179e-16, 0, 0, 3.32601e-18, 7.6714e-17, 0, 4.48127e-13, 0, 0
0.148226, 0, 7.77504e-13, 0, 1.41421, -7.77504e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.42534e-15, 0, 0, 5.87904e-18, 1.36396e-16, 0, 7.75936e-13, 0, 0
0.156007, 0, 1.33597e-12, 0, 1.41421, -1.33597e-12, 0, 0, 0, 0, 0, 0, 0, 0, 2.44914e-15, 0, 0, 1.03157e-17, 2.40853e-16, 0, 1.33327e-12, 0, 0
0.163788, 0, 2.27822e-12, 0, 1.41421, -2.27822e-12, 0, 0, 0, 0, 0, 0, 0, 0, 4.17647e-15, 0, 0, 1.79698e-17, 4.22451e-16, 0, 2.2736e-12, 0, 0
0.171569, 0, 3.86333e-12, 0, 1.41421, -3.86333e-12, 0, 0, 0, 0, 0, 0, 0, 0, 7.08235e-15, 0, 0, 3.11878e-17, 7.39265e-16, 0, 3.85548e-12, 0, 0
