   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_194.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0776893, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0694638, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0612384, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.053013, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0447875, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0365621, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0283367, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0201112, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0118858, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00366035, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00456509, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0127905, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.021016, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0292414, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0374668, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0456923, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0539177, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0621432, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0703686, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.078594, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0868195, 0, 1.11774e-28, 0, 1.41421, -1.11774e-28, 0, 0, 0, 0, 0, 0, 0, 0, 3.46961e-31, 0, 0, 2.26308e-34, 3.54936e-34, 0, 1.11427e-28, 0, 0
0.0950449, 0, 1.24971e-27, 0, 1.41421, -1.24971e-27, 0, 0, 0, 0, 0, 0, 0, 0, 3.87907e-30, 0, 0, 2.53015e-33, 6.27668e-32, 0, 1.24577e-27, 0, 0
0.10327, 0, 8.7847e-27, 0, 1.41421, -8.7847e-27, 0, 0, 0, 0, 0, 0, 0, 0, 2.72668e-29, 0, 0, 1.77849e-32, 6.89663e-31, 0, 8.75673e-27, 0, 0
0.111496, 0, 4.94026e-26, 0, 1.41421, -4.94026e-26, 0, 0, 0, 0, 0, 0, 0, 0, 1.53337e-28, 0, 0, 1.0008e-31, 4.83125e-30, 0, 4.92444e-26, 0, 0
0.119721, 0, 2.42085e-25, 0, 1.41421, -2.42085e-25, 0, 0, 0, 0, 0, 0, 0, 0, 7.51379e-28, 0, 0, 4.91431e-31, 2.71499e-29, 0, 2.41305e-25, 0, 0
0.127947, 0, 1.07684e-24, 0, 1.41421, -1.07684e-24, 0, 0, 0, 0, 0, 0, 0, 0, 3.34224e-27, 0, 0, 2.19308e-30, 1.33039e-28, 0, 1.07336e-24, 0, 0
0.136172, 0, 4.44923e-24, 0, 1.41421, -4.44923e-24, 0, 0, 0, 0, 0, 0, 0, 0, 1.38092e-26, 0, 0, 9.0978e-30, 5.919e-28, 0, 4.43482e-24, 0, 0
0.144398, 0, 1.73213e-23, 0, 1.41421, -1.73213e-23, 0, 0, 0, 0, 0, 0, 0, 0, 5.376e-26, 0, 0, 3.55804e-29, 2.44648e-27, 0, 1.7265e-23, 0, 0
0.152623, 0, 6.41502e-23, 0, 1.41421, -6.41502e-23, 0, 0, 0, 0, 0, 0, 0, 0, 1.99101e-25, 0, 0, 1.32428e-28, 9.52902e-27, 0, 6.39414e-23, 0, 0
0.160848, 0, 2.27559e-22, 0, 1.41421, -2.27559e-22, 0, 0, 0, 0, 0, 0, 0, 0, 7.06263e-25, 0, 0, 4.72246e-28, 3.53114e-26, 0, 2.26817e-22, 0, 0
0.169074, 0, 7.77071e-22, 0, 1.41421, -7.77071e-22, 0, 0, 0, 0, 0, 0, 0, 0, 2.41174e-24, 0, 0, 1.62164e-27, 1.25342e-25, 0, 7.74532e-22, 0, 0
