   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_35.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00364574, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0042619, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0121696, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0200772, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0279848, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0358925, 0, 7.41782e-30, 0, 1.41421, -7.41782e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95256e-32, 0, 0, 7.12392e-35, 1.33199e-35, 0, 7.39821e-30, 0, 0
0.0438001, 0, 7.17871e-29, 0, 1.41421, -7.17871e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88956e-31, 0, 0, 6.89407e-34, 2.33594e-33, 0, 7.15951e-29, 0, 0
0.0517078, 0, 4.37486e-28, 0, 1.41421, -4.37486e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15152e-30, 0, 0, 4.20132e-33, 2.21535e-32, 0, 4.36308e-28, 0, 0
0.0596154, 0, 2.13889e-27, 0, 1.41421, -2.13889e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.62976e-30, 0, 0, 2.05554e-32, 1.3429e-31, 0, 2.1331e-27, 0, 0
0.0675231, 0, 9.14321e-27, 0, 1.41421, -9.14321e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40656e-29, 0, 0, 8.81021e-32, 6.5542e-31, 0, 9.1184e-27, 0, 0
0.0754307, 0, 3.56146e-26, 0, 1.41421, -3.56146e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.37395e-29, 0, 0, 3.44642e-31, 2.80037e-30, 0, 3.55177e-26, 0, 0
0.0833384, 0, 1.29366e-25, 0, 1.41421, -1.29366e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40498e-28, 0, 0, 1.25859e-30, 1.09079e-29, 0, 1.29014e-25, 0, 0
0.091246, 0, 4.44536e-25, 0, 1.41421, -4.44536e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17003e-27, 0, 0, 4.35094e-30, 3.96412e-29, 0, 4.43322e-25, 0, 0
0.0991537, 0, 1.4589e-24, 0, 1.41421, -1.4589e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83984e-27, 0, 0, 1.43717e-29, 1.36329e-28, 0, 1.45491e-24, 0, 0
