   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_47.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.000771677, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00865938, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0165471, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0244348, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0323225, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0402102, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0480979, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0559856, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0638733, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.071761, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0796487, 0, 3.92597e-30, 0, 1.41421, -3.92597e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05137e-32, 0, 0, 3.85835e-35, 9.38748e-36, 0, 3.8854e-30, 0, 0, 0
0.0875364, 0, 4.28738e-29, 0, 1.41421, -4.28738e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4241e-31, 0, 0, 4.21332e-34, 2.27168e-33, 0, 4.24287e-29, 0, 0, 0
0.0954241, 0, 2.93875e-28, 0, 1.41421, -2.93875e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03238e-30, 0, 0, 2.88791e-33, 2.38486e-32, 0, 2.90816e-28, 0, 0, 0
0.103312, 0, 1.61003e-27, 0, 1.41421, -1.61003e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66129e-29, 0, 0, 1.58496e-32, 1.60377e-31, 0, 1.59324e-27, 0, 0, 0
0.111199, 0, 7.68234e-27, 0, 1.41421, -7.68234e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.92685e-29, 0, 0, 7.59397e-32, 8.68098e-31, 0, 7.60213e-27, 0, 0, 0
0.119087, 0, 3.32697e-26, 0, 1.41421, -3.32697e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43283e-28, 0, 0, 3.30785e-31, 4.10603e-30, 0, 3.2922e-26, 0, 0, 0
0.126975, 0, 1.33831e-25, 0, 1.41421, -1.33831e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38088e-27, 0, 0, 1.33975e-30, 1.76585e-29, 0, 1.32431e-25, 0, 0, 0
0.134863, 0, 5.07308e-25, 0, 1.41421, -5.07308e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.23441e-27, 0, 0, 5.11669e-30, 7.0631e-29, 0, 5.01998e-25, 0, 0, 0
0.14275, 0, 1.82973e-24, 0, 1.41421, -1.82973e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8879e-26, 0, 0, 1.86012e-29, 2.66464e-28, 0, 1.81056e-24, 0, 0, 0
0.150638, 0, 6.32215e-24, 0, 1.41421, -6.32215e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.52312e-26, 0, 0, 6.48036e-29, 9.5711e-28, 0, 6.2559e-24, 0, 0, 0
0.158526, 0, 2.10334e-23, 0, 1.41421, -2.10334e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17019e-25, 0, 0, 2.17444e-28, 3.29514e-27, 0, 2.08129e-23, 0, 0, 0
