   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_79.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00307906, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0109485, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.018818, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0266875, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.034557, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0424265, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.050296, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0581655, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.066035, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0739045, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.081774, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0896435, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.097513, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.105382, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.113252, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.121121, 0, 1.50016e-29, 0, 1.41421, -1.50016e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39371e-31, 0, 0, 1.71851e-34, 1.43691e-35, 0, 1.4862e-29, 0, 0, 0
0.128991, 0, 1.59488e-28, 0, 1.41421, -1.59488e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48168e-30, 0, 0, 1.82698e-33, 3.32937e-33, 0, 1.58001e-28, 0, 0, 0
0.13686, 0, 1.06753e-27, 0, 1.41421, -1.06753e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.91749e-30, 0, 0, 1.22287e-32, 3.40306e-32, 0, 1.05757e-27, 0, 0, 0
0.14473, 0, 5.72523e-27, 0, 1.41421, -5.72523e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31877e-29, 0, 0, 6.56941e-32, 2.23632e-31, 0, 5.67175e-27, 0, 0, 0
0.152599, 0, 2.67958e-26, 0, 1.41421, -2.67958e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48933e-28, 0, 0, 3.08595e-31, 1.18611e-30, 0, 2.65454e-26, 0, 0, 0
0.160469, 0, 1.14019e-25, 0, 1.41421, -1.14019e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05924e-27, 0, 0, 1.31965e-30, 5.50894e-30, 0, 1.12953e-25, 0, 0, 0
