   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_97.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0025266, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0053707, 0, 9.60925e-22, 0, 1.41421, -9.60925e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.59589e-24, 0, 0, 7.89754e-27, 2.40198e-24, 0, 9.50919e-22, 0, 0
0.013268, 0, 2.23815e-21, 0, 1.41421, -2.23815e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76911e-23, 0, 0, 1.86672e-26, 5.71539e-24, 0, 2.21473e-21, 0, 0
0.0211653, 0, 5.12979e-21, 0, 1.41421, -5.12979e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05454e-23, 0, 0, 4.34178e-26, 1.33704e-23, 0, 5.07583e-21, 0, 0
0.0290626, 0, 1.15798e-20, 0, 1.41421, -1.15798e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.15213e-23, 0, 0, 9.94608e-26, 3.07838e-23, 0, 1.14574e-20, 0, 0
0.0369599, 0, 2.5765e-20, 0, 1.41421, -2.5765e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03624e-22, 0, 0, 2.24582e-25, 6.98191e-23, 0, 2.54914e-20, 0, 0
0.0448572, 0, 5.65429e-20, 0, 1.41421, -5.65429e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46841e-22, 0, 0, 5.00199e-25, 1.56115e-22, 0, 5.59394e-20, 0, 0
0.0527545, 0, 1.2246e-19, 0, 1.41421, -1.2246e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.67717e-22, 0, 0, 1.09955e-24, 3.44376e-22, 0, 1.21147e-19, 0, 0
0.0606518, 0, 2.61887e-19, 0, 1.41421, -2.61887e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0694e-21, 0, 0, 2.38686e-24, 7.49907e-22, 0, 2.59066e-19, 0, 0
0.0685491, 0, 5.53269e-19, 0, 1.41421, -5.53269e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37164e-21, 0, 0, 5.11912e-24, 1.61289e-21, 0, 5.47279e-19, 0, 0
0.0764463, 0, 1.15516e-18, 0, 1.41421, -1.15516e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.12702e-21, 0, 0, 1.08519e-23, 3.42803e-21, 0, 1.1426e-18, 0, 0
0.0843436, 0, 2.38453e-18, 0, 1.41421, -2.38453e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88393e-20, 0, 0, 2.27478e-23, 7.20309e-21, 0, 2.35847e-18, 0, 0
0.0922409, 0, 4.86814e-18, 0, 1.41421, -4.86814e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.84593e-20, 0, 0, 4.71681e-23, 1.49695e-20, 0, 4.81467e-18, 0, 0
0.100138, 0, 9.8325e-18, 0, 1.41421, -9.8325e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.76744e-20, 0, 0, 9.67791e-23, 3.07804e-20, 0, 9.72395e-18, 0, 0
0.108036, 0, 1.96529e-17, 0, 1.41421, -1.96529e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55244e-19, 0, 0, 1.96548e-22, 6.26421e-20, 0, 1.94348e-17, 0, 0
0.115933, 0, 3.88838e-17, 0, 1.41421, -3.88838e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07137e-19, 0, 0, 3.95215e-22, 1.26219e-19, 0, 3.845e-17, 0, 0
0.12383, 0, 7.61716e-17, 0, 1.41421, -7.61716e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.01631e-19, 0, 0, 7.87022e-22, 2.51869e-19, 0, 7.53173e-17, 0, 0
0.131727, 0, 1.47774e-16, 0, 1.41421, -1.47774e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1671e-18, 0, 0, 1.55251e-21, 4.97893e-19, 0, 1.46108e-16, 0, 0
0.139625, 0, 2.83968e-16, 0, 1.41421, -2.83968e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24259e-18, 0, 0, 3.03436e-21, 9.75249e-19, 0, 2.80747e-16, 0, 0
0.147522, 0, 5.40613e-16, 0, 1.41421, -5.40613e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26911e-18, 0, 0, 5.87721e-21, 1.89327e-18, 0, 5.34444e-16, 0, 0
0.155419, 0, 1.01982e-15, 0, 1.41421, -1.01982e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.05273e-18, 0, 0, 1.12831e-20, 3.64355e-18, 0, 1.00811e-15, 0, 0
0.163317, 0, 1.90655e-15, 0, 1.41421, -1.90655e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50534e-17, 0, 0, 2.14737e-20, 6.9524e-18, 0, 1.88452e-15, 0, 0
0.171214, 0, 3.5328e-15, 0, 1.41421, -3.5328e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78914e-17, 0, 0, 4.05207e-20, 1.3156e-17, 0, 3.49171e-15, 0, 0
0.179111, 0, 6.48921e-15, 0, 1.41421, -6.48921e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1228e-17, 0, 0, 7.58223e-20, 2.46928e-17, 0, 6.41322e-15, 0, 0
0.187008, 0, 1.18173e-14, 0, 1.41421, -1.18173e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.32816e-17, 0, 0, 1.4071e-19, 4.59771e-17, 0, 1.16779e-14, 0, 0
0.194906, 0, 2.13375e-14, 0, 1.41421, -2.13375e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68415e-16, 0, 0, 2.59017e-19, 8.49385e-17, 0, 2.10839e-14, 0, 0
0.202803, 0, 3.82041e-14, 0, 1.41421, -3.82041e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01513e-16, 0, 0, 4.73001e-19, 1.55712e-16, 0, 3.77464e-14, 0, 0
0.2107, 0, 6.78353e-14, 0, 1.41421, -6.78353e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.35313e-16, 0, 0, 8.56996e-19, 2.83306e-16, 0, 6.70159e-14, 0, 0
0.218598, 0, 1.19458e-13, 0, 1.41421, -1.19458e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.4259e-16, 0, 0, 1.54074e-18, 5.11636e-16, 0, 1.18002e-13, 0, 0
0.226495, 0, 2.08652e-13, 0, 1.41421, -2.08652e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6462e-15, 0, 0, 2.74898e-18, 9.17261e-16, 0, 2.06086e-13, 0, 0
0.234392, 0, 3.61499e-13, 0, 1.41421, -3.61499e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85179e-15, 0, 0, 4.86806e-18, 1.63271e-15, 0, 3.5701e-13, 0, 0
0.24229, 0, 6.21291e-13, 0, 1.41421, -6.21291e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.90067e-15, 0, 0, 8.55749e-18, 2.8859e-15, 0, 6.13496e-13, 0, 0
