   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_36.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00115072, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00673488, 0, 1.51776e-20, 0, 1.41421, -1.51776e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47303e-23, 0, 0, 3.92694e-25, 0, 1.00909e-23, 0, 1.51424e-20, 0, 0, 0
0.0146205, 0, 3.48692e-20, 0, 1.41421, -3.48692e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68151e-23, 0, 0, 9.14991e-25, 0, 2.36438e-23, 0, 3.47879e-20, 0, 0, 0
0.0225061, 0, 7.88721e-20, 0, 1.41421, -7.88721e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28511e-22, 0, 0, 2.0993e-24, 0, 5.4512e-23, 0, 7.8687e-20, 0, 0, 0
0.0303917, 0, 1.75801e-19, 0, 1.41421, -1.75801e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86439e-22, 0, 0, 4.74687e-24, 0, 1.2379e-22, 0, 1.75386e-19, 0, 0, 0
0.0382773, 0, 3.86424e-19, 0, 1.41421, -3.86424e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29603e-22, 0, 0, 1.05864e-23, 0, 2.7712e-22, 0, 3.85506e-19, 0, 0, 0
0.0461629, 0, 8.38173e-19, 0, 1.41421, -8.38173e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36563e-21, 0, 0, 2.33016e-23, 0, 6.12014e-22, 0, 8.36172e-19, 0, 0, 0
0.0540485, 0, 1.79508e-18, 0, 1.41421, -1.79508e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92467e-21, 0, 0, 5.06496e-23, 0, 1.3343e-21, 0, 1.79077e-18, 0, 0, 0
0.0619341, 0, 3.79785e-18, 0, 1.41421, -3.79785e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18762e-21, 0, 0, 1.08779e-22, 0, 2.87338e-21, 0, 3.78868e-18, 0, 0, 0
0.0698197, 0, 7.94131e-18, 0, 1.41421, -7.94131e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29381e-20, 0, 0, 2.30939e-22, 0, 6.11514e-21, 0, 7.92203e-18, 0, 0, 0
0.0777053, 0, 1.6418e-17, 0, 1.41421, -1.6418e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67482e-20, 0, 0, 4.84847e-22, 0, 1.28675e-20, 0, 1.63779e-17, 0, 0, 0
0.0855909, 0, 3.35724e-17, 0, 1.41421, -3.35724e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.46953e-20, 0, 0, 1.00701e-21, 0, 2.67814e-20, 0, 3.349e-17, 0, 0, 0
0.0934765, 0, 6.79231e-17, 0, 1.41421, -6.79231e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10657e-19, 0, 0, 2.06979e-21, 0, 5.51553e-20, 0, 6.77552e-17, 0, 0, 0
0.101362, 0, 1.36004e-16, 0, 1.41421, -1.36004e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21568e-19, 0, 0, 4.21129e-21, 0, 1.12436e-19, 0, 1.35666e-16, 0, 0, 0
0.109248, 0, 2.69587e-16, 0, 1.41421, -2.69587e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39183e-19, 0, 0, 8.48428e-21, 0, 2.26943e-19, 0, 2.68912e-16, 0, 0, 0
0.117133, 0, 5.29127e-16, 0, 1.41421, -5.29127e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.61987e-19, 0, 0, 1.69291e-20, 0, 4.53678e-19, 0, 5.27795e-16, 0, 0, 0
0.125019, 0, 1.02856e-15, 0, 1.41421, -1.02856e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67557e-18, 0, 0, 3.34634e-20, 0, 8.98477e-19, 0, 1.02595e-15, 0, 0, 0
