   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_61.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0290479, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0210258, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0130037, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00498161, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0030405, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0110626, 0, 3.09401e-14, 0, 1.41421, -3.09401e-14, 0, 0, 0, 0, 0, 0, 4.03129e-16, 0, 0, 7.70226e-19, 3.48977e-17, 0, 3.05013e-14, 0, 0
0.0190847, 0, 5.4301e-14, 0, 1.41421, -5.4301e-14, 0, 0, 0, 0, 0, 0, 7.07474e-16, 0, 0, 1.3848e-18, 6.37146e-17, 0, 5.35285e-14, 0, 0
0.0271068, 0, 9.44638e-14, 0, 1.41421, -9.44638e-14, 0, 0, 0, 0, 0, 0, 1.23068e-15, 0, 0, 2.46825e-18, 1.15368e-16, 0, 9.31153e-14, 0, 0
0.0351289, 0, 1.62913e-13, 0, 1.41421, -1.62913e-13, 0, 0, 0, 0, 0, 0, 2.12234e-15, 0, 0, 4.36207e-18, 2.07205e-16, 0, 1.6058e-13, 0, 0
0.043151, 0, 2.79353e-13, 0, 1.41421, -2.79353e-13, 0, 0, 0, 0, 0, 0, 3.63902e-15, 0, 0, 7.68155e-18, 3.71686e-16, 0, 2.75334e-13, 0, 0
0.0511732, 0, 4.73573e-13, 0, 1.41421, -4.73573e-13, 0, 0, 0, 0, 0, 0, 6.16869e-15, 0, 0, 1.33478e-17, 6.56758e-16, 0, 4.66734e-13, 0, 0
0.0591953, 0, 7.96225e-13, 0, 1.41421, -7.96225e-13, 0, 0, 0, 0, 0, 0, 1.03709e-14, 0, 0, 2.30082e-17, 1.15152e-15, 0, 7.8468e-13, 0, 0
0.0672174, 0, 1.32787e-12, 0, 1.41421, -1.32787e-12, 0, 0, 0, 0, 0, 0, 1.72945e-14, 0, 0, 3.93486e-17, 2.00367e-15, 0, 1.30853e-12, 0, 0
0.0752395, 0, 2.1968e-12, 0, 1.41421, -2.1968e-12, 0, 0, 0, 0, 0, 0, 2.86098e-14, 0, 0, 6.67743e-17, 3.46029e-15, 0, 2.16466e-12, 0, 0
0.0832616, 0, 3.60573e-12, 0, 1.41421, -3.60573e-12, 0, 0, 0, 0, 0, 0, 4.69557e-14, 0, 0, 1.12456e-16, 5.93166e-15, 0, 3.55273e-12, 0, 0
0.0912837, 0, 5.87231e-12, 0, 1.41421, -5.87231e-12, 0, 0, 0, 0, 0, 0, 7.64671e-14, 0, 0, 1.8798e-16, 1.00941e-14, 0, 5.78556e-12, 0, 0
0.0993058, 0, 9.49033e-12, 0, 1.41421, -9.49033e-12, 0, 0, 0, 0, 0, 0, 1.23571e-13, 0, 0, 3.11927e-16, 1.70542e-14, 0, 9.3494e-12, 0, 0
0.107328, 0, 1.52214e-11, 0, 1.41421, -1.52214e-11, 0, 0, 0, 0, 0, 0, 1.9818e-13, 0, 0, 5.13896e-16, 2.8609e-14, 0, 1.49941e-11, 0, 0
0.11535, 0, 2.42494e-11, 0, 1.41421, -2.42494e-11, 0, 0, 0, 0, 0, 0, 3.15703e-13, 0, 0, 8.42292e-16, 4.77801e-14, 0, 2.38851e-11, 0, 0
