   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_141.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00337838, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0044874, 0, 1.95501e-19, 0, 1.41421, -1.95501e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.99495e-22, 0, 0, 4.81205e-25, 2.42494e-21, 0, 1.92176e-19, 0, 0
0.0123532, 0, 3.91639e-19, 0, 1.41421, -3.91639e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80149e-21, 0, 0, 9.76462e-25, 4.95135e-21, 0, 3.84885e-19, 0, 0
0.020219, 0, 7.76873e-19, 0, 1.41421, -7.76873e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57263e-21, 0, 0, 1.9624e-24, 1.00104e-20, 0, 7.63288e-19, 0, 0
0.0280847, 0, 1.52639e-18, 0, 1.41421, -1.52639e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.01771e-21, 0, 0, 3.90711e-24, 2.00461e-20, 0, 1.49933e-18, 0, 0
0.0359505, 0, 2.9713e-18, 0, 1.41421, -2.9713e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36573e-20, 0, 0, 7.70859e-24, 3.97741e-20, 0, 2.91787e-18, 0, 0
0.0438163, 0, 5.73188e-18, 0, 1.41421, -5.73188e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6339e-20, 0, 0, 1.50749e-23, 7.82142e-20, 0, 5.62731e-18, 0, 0
0.0516821, 0, 1.09602e-17, 0, 1.41421, -1.09602e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03506e-20, 0, 0, 2.92291e-23, 1.52492e-19, 0, 1.07573e-17, 0, 0
0.0595479, 0, 2.07773e-17, 0, 1.41421, -2.07773e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.54231e-20, 0, 0, 5.61981e-23, 2.94813e-19, 0, 2.03871e-17, 0, 0
0.0674137, 0, 3.90563e-17, 0, 1.41421, -3.90563e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7932e-19, 0, 0, 1.07166e-22, 5.65305e-19, 0, 3.83116e-17, 0, 0
0.0752794, 0, 7.28105e-17, 0, 1.41421, -7.28105e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34197e-19, 0, 0, 2.02722e-22, 1.07535e-18, 0, 7.14008e-17, 0, 0
0.0831452, 0, 1.34637e-16, 0, 1.41421, -1.34637e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.17787e-19, 0, 0, 3.8047e-22, 2.02968e-18, 0, 1.3199e-16, 0, 0
0.091011, 0, 2.46984e-16, 0, 1.41421, -2.46984e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13293e-18, 0, 0, 7.0857e-22, 3.80192e-18, 0, 2.42049e-16, 0, 0
0.0988768, 0, 4.49532e-16, 0, 1.41421, -4.49532e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06133e-18, 0, 0, 1.30963e-21, 7.06884e-18, 0, 4.40401e-16, 0, 0
0.106743, 0, 8.1188e-16, 0, 1.41421, -8.1188e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72156e-18, 0, 0, 2.40256e-21, 1.30476e-17, 0, 7.95108e-16, 0, 0
0.114608, 0, 1.45516e-15, 0, 1.41421, -1.45516e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.66784e-18, 0, 0, 4.37532e-21, 2.39121e-17, 0, 1.42458e-15, 0, 0
0.122474, 0, 2.5886e-15, 0, 1.41421, -2.5886e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18569e-17, 0, 0, 7.91053e-21, 4.35182e-17, 0, 2.53322e-15, 0, 0
0.13034, 0, 4.5708e-15, 0, 1.41421, -4.5708e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09277e-17, 0, 0, 1.42006e-20, 7.86585e-17, 0, 4.4712e-15, 0, 0
0.138206, 0, 8.01183e-15, 0, 1.41421, -8.01183e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66672e-17, 0, 0, 2.53135e-20, 1.41221e-16, 0, 7.83392e-15, 0, 0
0.146071, 0, 1.39418e-14, 0, 1.41421, -1.39418e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.37779e-17, 0, 0, 4.48117e-20, 2.51872e-16, 0, 1.36261e-14, 0, 0
0.153937, 0, 2.40872e-14, 0, 1.41421, -2.40872e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10137e-16, 0, 0, 7.8789e-20, 4.46313e-16, 0, 2.35307e-14, 0, 0
0.161803, 0, 4.13204e-14, 0, 1.41421, -4.13204e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88841e-16, 0, 0, 1.37599e-19, 7.85823e-16, 0, 4.03456e-14, 0, 0
0.169669, 0, 7.03852e-14, 0, 1.41421, -7.03852e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21504e-16, 0, 0, 2.38714e-19, 1.37493e-15, 0, 6.86886e-14, 0, 0
0.177535, 0, 1.1906e-13, 0, 1.41421, -1.1906e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43539e-16, 0, 0, 4.11428e-19, 2.39082e-15, 0, 1.16125e-13, 0, 0
0.1854, 0, 2.00003e-13, 0, 1.41421, -2.00003e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.12537e-16, 0, 0, 7.04534e-19, 4.13206e-15, 0, 1.94958e-13, 0, 0
0.193266, 0, 3.33673e-13, 0, 1.41421, -3.33673e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52149e-15, 0, 0, 1.19879e-18, 7.0987e-15, 0, 3.25052e-13, 0, 0
0.201132, 0, 5.52894e-13, 0, 1.41421, -5.52894e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51946e-15, 0, 0, 2.02702e-18, 1.21244e-14, 0, 5.38248e-13, 0, 0
0.208998, 0, 9.09951e-13, 0, 1.41421, -9.09951e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14368e-15, 0, 0, 3.40643e-18, 2.05887e-14, 0, 8.85215e-13, 0, 0
0.216863, 0, 1.48754e-12, 0, 1.41421, -1.48754e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.76896e-15, 0, 0, 5.69e-18, 3.47642e-14, 0, 1.446e-12, 0, 0
0.224729, 0, 2.41554e-12, 0, 1.41421, -2.41554e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09833e-14, 0, 0, 9.44835e-18, 5.83739e-14, 0, 2.34617e-12, 0, 0
0.232595, 0, 3.89647e-12, 0, 1.41421, -3.89647e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77027e-14, 0, 0, 1.5599e-17, 9.74846e-14, 0, 3.78127e-12, 0, 0
