   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_213.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00232596, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00553702, 0, 4.68404e-19, 0, 1.41421, -4.68404e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03945e-21, 0, 0, 5.81393e-24, 0, 2.95148e-23, 0, 4.67329e-19, 0, 0, 0
0.0134, 0, 9.82515e-19, 0, 1.41421, -9.82515e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18034e-21, 0, 0, 1.23604e-23, 0, 6.31314e-23, 0, 9.80259e-19, 0, 0, 0
0.021263, 0, 2.03737e-18, 0, 1.41421, -2.03737e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5212e-21, 0, 0, 2.59824e-23, 0, 1.33459e-22, 0, 2.03269e-18, 0, 0, 0
0.0291259, 0, 4.1782e-18, 0, 1.41421, -4.1782e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.27197e-21, 0, 0, 5.40237e-23, 0, 2.78973e-22, 0, 4.16859e-18, 0, 0, 0
0.0369889, 0, 8.47722e-18, 0, 1.41421, -8.47722e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8812e-20, 0, 0, 1.1115e-22, 0, 5.7686e-22, 0, 8.45772e-18, 0, 0, 0
0.0448519, 0, 1.70218e-17, 0, 1.41421, -1.70218e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77735e-20, 0, 0, 2.26362e-22, 0, 1.18044e-21, 0, 1.69826e-17, 0, 0, 0
0.0527149, 0, 3.38355e-17, 0, 1.41421, -3.38355e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.50851e-20, 0, 0, 4.5645e-22, 0, 2.39132e-21, 0, 3.37576e-17, 0, 0, 0
0.0605779, 0, 6.65995e-17, 0, 1.41421, -6.65995e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47792e-19, 0, 0, 9.11594e-22, 0, 4.79724e-21, 0, 6.6446e-17, 0, 0, 0
0.0684408, 0, 1.29839e-16, 0, 1.41421, -1.29839e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88129e-19, 0, 0, 1.80358e-21, 0, 9.53304e-21, 0, 1.2954e-16, 0, 0, 0
0.0763038, 0, 2.50769e-16, 0, 1.41421, -2.50769e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.56484e-19, 0, 0, 3.53587e-21, 0, 1.87705e-20, 0, 2.5019e-16, 0, 0, 0
0.0841668, 0, 4.79911e-16, 0, 1.41421, -4.79911e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06497e-18, 0, 0, 6.87029e-21, 0, 3.66297e-20, 0, 4.78802e-16, 0, 0, 0
0.0920298, 0, 9.10226e-16, 0, 1.41421, -9.10226e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01989e-18, 0, 0, 1.3233e-20, 0, 7.08612e-20, 0, 9.08121e-16, 0, 0, 0
0.0998927, 0, 1.71125e-15, 0, 1.41421, -1.71125e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79744e-18, 0, 0, 2.52712e-20, 0, 1.35924e-19, 0, 1.70729e-15, 0, 0, 0
0.107756, 0, 3.1895e-15, 0, 1.41421, -3.1895e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.0778e-18, 0, 0, 4.78575e-20, 0, 2.58573e-19, 0, 3.18211e-15, 0, 0, 0
0.115619, 0, 5.89441e-15, 0, 1.41421, -5.89441e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30802e-17, 0, 0, 8.98881e-20, 0, 4.87932e-19, 0, 5.88075e-15, 0, 0, 0
0.123482, 0, 1.08026e-14, 0, 1.41421, -1.08026e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39718e-17, 0, 0, 1.67474e-19, 0, 9.13485e-19, 0, 1.07775e-14, 0, 0, 0
0.131345, 0, 1.96353e-14, 0, 1.41421, -1.96353e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35722e-17, 0, 0, 3.0956e-19, 0, 1.69702e-18, 0, 1.95897e-14, 0, 0, 0
0.139208, 0, 3.54015e-14, 0, 1.41421, -3.54015e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.85585e-17, 0, 0, 5.67745e-19, 0, 3.12887e-18, 0, 3.53192e-14, 0, 0, 0
0.147071, 0, 6.33183e-14, 0, 1.41421, -6.33183e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40507e-16, 0, 0, 1.0333e-18, 0, 5.72629e-18, 0, 6.3171e-14, 0, 0, 0
