   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_238.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00341274, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00446108, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0123349, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0202087, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0280825, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0359564, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0438302, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.051704, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0595778, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0674517, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0753255, 0, 9.50114e-29, 0, 1.41421, -9.50114e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89095e-31, 0, 0, 3.55182e-34, 1.83668e-34, 0, 9.48218e-29, 0, 0
0.0831993, 0, 1.03501e-27, 0, 1.41421, -1.03501e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05987e-30, 0, 0, 3.86912e-33, 2.20989e-32, 0, 1.03293e-27, 0, 0
0.0910731, 0, 7.07687e-27, 0, 1.41421, -7.07687e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40842e-29, 0, 0, 2.64547e-32, 2.45023e-31, 0, 7.06252e-27, 0, 0
0.0989469, 0, 3.86762e-26, 0, 1.41421, -3.86762e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.69712e-29, 0, 0, 1.44577e-31, 1.70857e-30, 0, 3.85973e-26, 0, 0
0.106821, 0, 1.84095e-25, 0, 1.41421, -1.84095e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66374e-28, 0, 0, 6.88743e-31, 9.47822e-30, 0, 1.83719e-25, 0, 0
0.114695, 0, 7.9533e-25, 0, 1.41421, -7.9533e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5828e-27, 0, 0, 2.98089e-30, 4.56321e-29, 0, 7.93698e-25, 0, 0
0.122568, 0, 3.19167e-24, 0, 1.41421, -3.19167e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35178e-27, 0, 0, 1.19933e-29, 1.98914e-28, 0, 3.18511e-24, 0, 0
0.130442, 0, 1.20701e-23, 0, 1.41421, -1.20701e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40208e-26, 0, 0, 4.54996e-29, 8.04087e-28, 0, 1.20453e-23, 0, 0
0.138316, 0, 4.34329e-23, 0, 1.41421, -4.34329e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.64355e-26, 0, 0, 1.64315e-28, 3.0598e-27, 0, 4.33432e-23, 0, 0
0.14619, 0, 1.49728e-22, 0, 1.41421, -1.49728e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97972e-25, 0, 0, 5.68696e-28, 1.10704e-26, 0, 1.49418e-22, 0, 0
0.154064, 0, 4.97016e-22, 0, 1.41421, -4.97016e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.89102e-25, 0, 0, 1.89584e-27, 3.83515e-26, 0, 4.95986e-22, 0, 0
0.161938, 0, 1.59479e-21, 0, 1.41421, -1.59479e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17376e-24, 0, 0, 6.11104e-27, 1.27881e-25, 0, 1.59149e-21, 0, 0
0.169811, 0, 4.9618e-21, 0, 1.41421, -4.9618e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87433e-24, 0, 0, 1.91052e-26, 4.12065e-25, 0, 4.95149e-21, 0, 0
0.177685, 0, 1.50055e-20, 0, 1.41421, -1.50055e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98619e-23, 0, 0, 5.80747e-26, 1.28715e-24, 0, 1.49743e-20, 0, 0
0.185559, 0, 4.42007e-20, 0, 1.41421, -4.42007e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.79619e-23, 0, 0, 1.71993e-25, 3.90752e-24, 0, 4.41086e-20, 0, 0
0.193433, 0, 1.27032e-19, 0, 1.41421, -1.27032e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52801e-22, 0, 0, 4.97127e-25, 1.15528e-23, 0, 1.26767e-19, 0, 0
0.201307, 0, 3.56725e-19, 0, 1.41421, -3.56725e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.099e-22, 0, 0, 1.40438e-24, 3.33235e-23, 0, 3.5598e-19, 0, 0
0.20918, 0, 9.79991e-19, 0, 1.41421, -9.79991e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95023e-21, 0, 0, 3.88244e-24, 9.3914e-23, 0, 9.77943e-19, 0, 0
0.217054, 0, 2.63659e-18, 0, 1.41421, -2.63659e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.24692e-21, 0, 0, 1.05146e-23, 2.58927e-22, 0, 2.63108e-18, 0, 0
0.224928, 0, 6.95336e-18, 0, 1.41421, -6.95336e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38374e-20, 0, 0, 2.79223e-23, 6.99137e-22, 0, 6.9388e-18, 0, 0
0.232802, 0, 1.79899e-17, 0, 1.41421, -1.79899e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58004e-20, 0, 0, 7.2768e-23, 1.85055e-21, 0, 1.79522e-17, 0, 0
0.240676, 0, 4.56926e-17, 0, 1.41421, -4.56926e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09293e-20, 0, 0, 1.86237e-22, 4.80557e-21, 0, 4.55966e-17, 0, 0
0.24855, 0, 1.16326e-16, 0, 1.41421, -1.16326e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31491e-19, 0, 0, 4.79006e-22, 1.25625e-20, 0, 1.16082e-16, 0, 0
0.256423, 0, 2.84472e-16, 0, 1.41421, -2.84472e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66103e-19, 0, 0, 1.18116e-21, 3.13644e-20, 0, 2.83873e-16, 0, 0
0.264297, 0, 6.84328e-16, 0, 1.41421, -6.84328e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36182e-18, 0, 0, 2.86629e-21, 7.70079e-20, 0, 6.82886e-16, 0, 0
0.272171, 0, 1.62003e-15, 0, 1.41421, -1.62003e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22386e-18, 0, 0, 6.84782e-21, 1.86026e-19, 0, 1.61662e-15, 0, 0
0.280045, 0, 3.77549e-15, 0, 1.41421, -3.77549e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5132e-18, 0, 0, 1.61129e-20, 4.42317e-19, 0, 3.76752e-15, 0, 0
0.287919, 0, 8.66469e-15, 0, 1.41421, -8.66469e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72426e-17, 0, 0, 3.73539e-20, 1.03558e-18, 0, 8.64637e-15, 0, 0
0.295793, 0, 1.95879e-14, 0, 1.41421, -1.95879e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89792e-17, 0, 0, 8.53442e-20, 2.38823e-18, 0, 1.95464e-14, 0, 0
0.303666, 0, 4.36304e-14, 0, 1.41421, -4.36304e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.68223e-17, 0, 0, 1.92226e-19, 5.4268e-18, 0, 4.35379e-14, 0, 0
0.31154, 0, 9.57771e-14, 0, 1.41421, -9.57771e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9059e-16, 0, 0, 4.26942e-19, 1.2154e-17, 0, 9.55739e-14, 0, 0
0.319414, 0, 2.07251e-13, 0, 1.41421, -2.07251e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12413e-16, 0, 0, 9.35325e-19, 2.6836e-17, 0, 2.06811e-13, 0, 0
0.327288, 0, 4.42161e-13, 0, 1.41421, -4.42161e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.79856e-16, 0, 0, 2.02165e-18, 5.8432e-17, 0, 4.41221e-13, 0, 0
0.335162, 0, 9.30223e-13, 0, 1.41421, -9.30223e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85103e-15, 0, 0, 4.31224e-18, 1.25493e-16, 0, 9.28242e-13, 0, 0
0.343035, 0, 1.93013e-12, 0, 1.41421, -1.93013e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8407e-15, 0, 0, 9.07952e-18, 2.65903e-16, 0, 1.92602e-12, 0, 0
0.350909, 0, 3.95046e-12, 0, 1.41421, -3.95046e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.86082e-15, 0, 0, 1.88757e-17, 5.55979e-16, 0, 3.94202e-12, 0, 0
0.358783, 0, 7.97671e-12, 0, 1.41421, -7.97671e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58725e-14, 0, 0, 3.87564e-17, 1.1474e-15, 0, 7.95965e-12, 0, 0
0.366657, 0, 1.58918e-11, 0, 1.41421, -1.58918e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16227e-14, 0, 0, 7.86186e-17, 2.3377e-15, 0, 1.58578e-11, 0, 0
0.374531, 0, 3.12426e-11, 1.47136e-43, 1.41421, -3.12426e-11, 1.47136e-43, 0, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 6.21703e-14, 1.47136e-43, 1.47136e-43, 1.57617e-16, 4.70311e-15, 1.47136e-43, 3.11756e-11, 1.47136e-43, 1.47136e-43
0.382405, 0, 6.06168e-11, 2.90349e-42, 1.41421, -6.06168e-11, 2.90349e-42, 0, 2.90349e-42, 2.90349e-42, 2.90349e-42, 2.90349e-42, 2.90349e-42, 2.90349e-42, 2.90349e-42, 2.90349e-42, 2.90349e-42, 1.20628e-13, 2.90349e-42, 2.90349e-42, 3.12435e-16, 9.34555e-15, 2.90349e-42, 6.04865e-11, 2.90349e-42, 2.90349e-42
0.390278, 0, 1.1608e-10, 4.48163e-41, 1.41421, -1.1608e-10, 4.48163e-41, 0, 4.48163e-41, 4.48163e-41, 4.48163e-41, 4.48163e-41, 4.48163e-41, 4.48163e-41, 4.48163e-41, 4.48163e-41, 4.48163e-41, 2.31018e-13, 4.48163e-41, 4.48163e-41, 6.12641e-16, 1.83468e-14, 4.48163e-41, 1.1583e-10, 4.48163e-41, 4.48163e-41
0.398152, 0, 2.19423e-10, 6.27085e-40, 1.41421, -2.19423e-10, 6.27085e-40, 0, 6.27085e-40, 6.27085e-40, 6.27085e-40, 6.27085e-40, 6.27085e-40, 6.27085e-40, 6.27085e-40, 6.27085e-40, 6.27085e-40, 4.36737e-13, 6.27085e-40, 6.27085e-40, 1.18901e-15, 3.55937e-14, 6.27085e-40, 2.1895e-10, 6.27085e-40, 6.27085e-40
0.406026, 0, 4.0946e-10, 7.87357e-39, 1.41421, -4.0946e-10, 7.87357e-39, 0, 7.87357e-39, 7.87357e-39, 7.87357e-39, 7.87357e-39, 7.87357e-39, 7.87357e-39, 7.87357e-39, 7.87357e-39, 7.87357e-39, 8.15123e-13, 7.87357e-39, 7.87357e-39, 2.28557e-15, 6.82639e-14, 7.87357e-39, 4.08574e-10, 7.87357e-39, 7.87357e-39
0.4139, 0, 7.54372e-10, 8.90759e-38, 1.41421, -7.54372e-10, 8.90759e-38, 0, 8.90759e-38, 8.90759e-38, 8.90759e-38, 8.90759e-38, 8.90759e-38, 8.90759e-38, 8.90759e-38, 8.90759e-38, 8.90759e-38, 1.50212e-12, 8.90759e-38, 8.90759e-38, 4.35473e-15, 1.29474e-13, 8.90759e-38, 7.52736e-10, 8.90759e-38, 8.90759e-38
0.421774, 0, 1.37229e-09, 9.122e-37, 1.41421, -1.37229e-09, 9.122e-37, 0, 9.122e-37, 9.122e-37, 9.122e-37, 9.122e-37, 9.122e-37, 9.122e-37, 9.122e-37, 9.122e-37, 9.122e-37, 2.73346e-12, 9.122e-37, 9.122e-37, 8.2313e-15, 2.42964e-13, 9.122e-37, 1.3693e-09, 9.122e-37, 9.122e-37
