   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_240.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.00789068, 0, 3.27161e-25, 0, 1.41421, -3.27161e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.75294e-28, 0, 0, 2.48168e-30, 4.49824e-29, 0, 3.26138e-25, 0, 0
0.0157149, 0, 1.628e-24, 0, 1.41421, -1.628e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85312e-27, 0, 0, 1.26281e-29, 2.5694e-28, 0, 1.62288e-24, 0, 0
0.0235392, 0, 5.45968e-24, 0, 1.41421, -5.45968e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62753e-26, 0, 0, 4.2932e-29, 9.06298e-28, 0, 5.44246e-24, 0, 0
0.0313634, 0, 1.74761e-23, 0, 1.41421, -1.74761e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.20959e-26, 0, 0, 1.39397e-28, 3.02582e-27, 0, 1.74208e-23, 0, 0
0.0391877, 0, 5.37581e-23, 0, 1.41421, -5.37581e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60251e-25, 0, 0, 4.35075e-28, 9.65098e-27, 0, 5.35878e-23, 0, 0
0.047012, 0, 1.59713e-22, 0, 1.41421, -1.59713e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.76095e-25, 0, 0, 1.31167e-27, 2.96014e-26, 0, 1.59206e-22, 0, 0
0.0548362, 0, 4.60034e-22, 0, 1.41421, -4.60034e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37133e-24, 0, 0, 3.83418e-27, 8.77363e-26, 0, 4.58571e-22, 0, 0
0.0626605, 0, 1.28852e-21, 0, 1.41421, -1.28852e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.84097e-24, 0, 0, 1.08994e-26, 2.52226e-25, 0, 1.28442e-21, 0, 0
0.0704847, 0, 3.51795e-21, 0, 1.41421, -3.51795e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04866e-23, 0, 0, 3.02033e-26, 7.05369e-25, 0, 3.50673e-21, 0, 0
0.078309, 0, 9.38078e-21, 0, 1.41421, -9.38078e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7963e-23, 0, 0, 8.17515e-26, 1.92348e-24, 0, 9.35081e-21, 0, 0
0.0861332, 0, 2.4471e-20, 0, 1.41421, -2.4471e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.29448e-23, 0, 0, 2.16492e-25, 5.12458e-24, 0, 2.43927e-20, 0, 0
0.0939575, 0, 6.25362e-20, 0, 1.41421, -6.25362e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86411e-22, 0, 0, 5.61702e-25, 1.33608e-23, 0, 6.23359e-20, 0, 0
0.101782, 0, 1.56745e-19, 0, 1.41421, -1.56745e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.67233e-22, 0, 0, 1.42957e-24, 3.41362e-23, 0, 1.56242e-19, 0, 0
0.109606, 0, 3.85941e-19, 0, 1.41421, -3.85941e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15042e-21, 0, 0, 3.57614e-24, 8.56479e-23, 0, 3.84701e-19, 0, 0
0.11743, 0, 9.33735e-19, 0, 1.41421, -9.33735e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78329e-21, 0, 0, 8.79112e-24, 2.1102e-22, 0, 9.30732e-19, 0, 0
0.125254, 0, 2.22156e-18, 0, 1.41421, -2.22156e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62202e-21, 0, 0, 2.12549e-23, 5.11027e-22, 0, 2.2144e-18, 0, 0
0.133079, 0, 5.2015e-18, 0, 1.41421, -5.2015e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55046e-20, 0, 0, 5.05797e-23, 1.2174e-21, 0, 5.18473e-18, 0, 0
0.140903, 0, 1.19925e-17, 0, 1.41421, -1.19925e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57468e-20, 0, 0, 1.18542e-22, 2.85498e-21, 0, 1.19537e-17, 0, 0
0.148727, 0, 2.72417e-17, 0, 1.41421, -2.72417e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.1201e-20, 0, 0, 2.73775e-22, 6.59517e-21, 0, 2.71536e-17, 0, 0
0.156552, 0, 6.09984e-17, 0, 1.41421, -6.09984e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81821e-19, 0, 0, 6.23386e-22, 1.50158e-20, 0, 6.08009e-17, 0, 0
0.164376, 0, 1.34695e-16, 0, 1.41421, -1.34695e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.01491e-19, 0, 0, 1.40011e-21, 3.37122e-20, 0, 1.34258e-16, 0, 0
0.1722, 0, 2.9343e-16, 0, 1.41421, -2.9343e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.74635e-19, 0, 0, 3.103e-21, 7.46694e-20, 0, 2.92477e-16, 0, 0
0.180024, 0, 6.30854e-16, 0, 1.41421, -6.30854e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8804e-18, 0, 0, 6.78857e-21, 1.63227e-19, 0, 6.28804e-16, 0, 0
0.187849, 0, 1.33896e-15, 0, 1.41421, -1.33896e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99104e-18, 0, 0, 1.46656e-20, 3.52296e-19, 0, 1.3346e-15, 0, 0
0.195673, 0, 2.83577e-15, 0, 1.41421, -2.83577e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.45251e-18, 0, 0, 3.17283e-20, 7.61223e-19, 0, 2.82652e-15, 0, 0
0.203497, 0, 5.86334e-15, 0, 1.41421, -5.86334e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74766e-17, 0, 0, 6.67964e-20, 1.60088e-18, 0, 5.84419e-15, 0, 0
0.211321, 0, 1.19799e-14, 0, 1.41421, -1.19799e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57077e-17, 0, 0, 1.39006e-19, 3.32791e-18, 0, 1.19407e-14, 0, 0
0.219146, 0, 2.41927e-14, 0, 1.41421, -2.41927e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21091e-17, 0, 0, 2.86013e-19, 6.84016e-18, 0, 2.41134e-14, 0, 0
0.22697, 0, 4.82979e-14, 0, 1.41421, -4.82979e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43956e-16, 0, 0, 5.81982e-19, 1.39046e-17, 0, 4.81395e-14, 0, 0
0.234794, 0, 9.5338e-14, 0, 1.41421, -9.5338e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84161e-16, 0, 0, 1.17136e-18, 2.79608e-17, 0, 9.50247e-14, 0, 0
0.242618, 0, 1.8611e-13, 0, 1.41421, -1.8611e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54708e-16, 0, 0, 2.33247e-18, 5.56347e-17, 0, 1.85498e-13, 0, 0
0.250443, 0, 3.59345e-13, 0, 1.41421, -3.59345e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07103e-15, 0, 0, 4.5961e-18, 1.09558e-16, 0, 3.5816e-13, 0, 0
0.258267, 0, 6.86365e-13, 0, 1.41421, -6.86365e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04569e-15, 0, 0, 8.96371e-18, 2.1357e-16, 0, 6.84096e-13, 0, 0
0.266091, 0, 1.29706e-12, 0, 1.41421, -1.29706e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86582e-15, 0, 0, 1.7306e-17, 4.12213e-16, 0, 1.29277e-12, 0, 0
