   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_242.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0508559, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0427779, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0346998, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0266218, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0185438, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0104658, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00238779, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00569023, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0137682, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0218463, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0299243, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0380023, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0460803, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0541583, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0622363, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0703143, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0783923, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0864704, 0, 2.70663e-28, 0, 1.41421, -2.70663e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.81122e-31, 0, 0, 1.09015e-33, 4.10086e-34, 2.70081e-28, 0, 0
0.0945484, 0, 2.99489e-27, 0, 1.41421, -2.99489e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.4299e-30, 0, 0, 1.20621e-32, 1.03727e-31, 2.98834e-27, 0, 0
0.102626, 0, 2.079e-26, 0, 1.41421, -2.079e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46345e-29, 0, 0, 8.37314e-32, 1.10285e-30, 2.07442e-26, 0, 0
0.110704, 0, 1.15284e-25, 0, 1.41421, -1.15284e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47502e-28, 0, 0, 4.65357e-31, 7.50737e-30, 1.15028e-25, 0, 0
0.118782, 0, 5.56379e-25, 0, 1.41421, -5.56379e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19448e-27, 0, 0, 2.25693e-30, 4.11124e-29, 5.55141e-25, 0, 0
0.12686, 0, 2.43532e-24, 0, 1.41421, -2.43532e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.22829e-27, 0, 0, 9.94503e-30, 1.96611e-28, 2.42989e-24, 0, 0
0.134938, 0, 9.89414e-24, 0, 1.41421, -9.89414e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12412e-26, 0, 0, 4.0719e-29, 8.54333e-28, 9.872e-24, 0, 0
0.143016, 0, 3.78528e-23, 0, 1.41421, -3.78528e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.12638e-26, 0, 0, 1.57099e-28, 3.4502e-27, 3.77679e-23, 0, 0
0.151094, 0, 1.37693e-22, 0, 1.41421, -1.37693e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95602e-25, 0, 0, 5.76551e-28, 1.31326e-26, 1.37383e-22, 0, 0
0.159173, 0, 4.79513e-22, 0, 1.41421, -4.79513e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02943e-24, 0, 0, 2.02642e-27, 4.75599e-26, 4.78434e-22, 0, 0
0.167251, 0, 1.60684e-21, 0, 1.41421, -1.60684e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44957e-24, 0, 0, 6.85546e-27, 1.64978e-25, 1.60321e-21, 0, 0
0.175329, 0, 5.20147e-21, 0, 1.41421, -5.20147e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11665e-23, 0, 0, 2.24106e-26, 5.50905e-25, 5.18973e-21, 0, 0
0.183407, 0, 1.77292e-20, 0, 1.41421, -1.77292e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8061e-23, 0, 0, 7.76162e-26, 1.95736e-24, 1.76891e-20, 0, 0
0.191485, 0, 5.34732e-20, 0, 1.41421, -5.34732e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14796e-22, 0, 0, 2.36596e-25, 6.05268e-24, 5.33521e-20, 0, 0
0.199563, 0, 1.57212e-19, 0, 1.41421, -1.57212e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.375e-22, 0, 0, 7.0319e-25, 1.8215e-23, 1.56855e-19, 0, 0
0.207641, 0, 4.51241e-19, 0, 1.41421, -4.51241e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.68714e-22, 0, 0, 2.04094e-24, 5.34462e-23, 4.50217e-19, 0, 0
0.215719, 0, 1.2661e-18, 0, 1.41421, -1.2661e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71804e-21, 0, 0, 5.79232e-24, 1.53134e-22, 1.26323e-18, 0, 0
0.223797, 0, 3.47647e-18, 0, 1.41421, -3.47647e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.46316e-21, 0, 0, 1.60922e-23, 4.28983e-22, 3.46856e-18, 0, 0
0.231875, 0, 9.35031e-18, 0, 1.41421, -9.35031e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00729e-20, 0, 0, 4.38063e-23, 1.17625e-21, 9.32901e-18, 0, 0
0.239953, 0, 2.46537e-17, 0, 1.41421, -2.46537e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29254e-20, 0, 0, 1.16942e-22, 3.15977e-21, 2.45975e-17, 0, 0
0.248031, 0, 6.37699e-17, 0, 1.41421, -6.37699e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36898e-19, 0, 0, 3.06365e-22, 8.32263e-21, 6.36244e-17, 0, 0
0.256109, 0, 1.61919e-16, 0, 1.41421, -1.61919e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47598e-19, 0, 0, 7.88165e-22, 2.15094e-20, 1.61549e-16, 0, 0
0.264187, 0, 4.03801e-16, 0, 1.41421, -4.03801e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.66852e-19, 0, 0, 1.9923e-21, 5.458e-20, 4.02878e-16, 0, 0
0.272265, 0, 9.8956e-16, 0, 1.41421, -9.8956e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1243e-18, 0, 0, 4.95082e-21, 1.36059e-19, 9.87295e-16, 0, 0
0.280343, 0, 2.38404e-15, 0, 1.41421, -2.38404e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11781e-18, 0, 0, 1.21002e-20, 3.33379e-19, 2.37858e-15, 0, 0
0.288421, 0, 5.64888e-15, 0, 1.41421, -5.64888e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21263e-17, 0, 0, 2.90999e-20, 8.03293e-19, 5.63592e-15, 0, 0
0.296499, 0, 1.31688e-14, 0, 1.41421, -1.31688e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82688e-17, 0, 0, 6.88886e-20, 1.90425e-18, 1.31386e-14, 0, 0
0.304577, 0, 3.02144e-14, 0, 1.41421, -3.02144e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48585e-17, 0, 0, 1.60591e-19, 4.44287e-18, 3.01449e-14, 0, 0
0.312655, 0, 6.8249e-14, 0, 1.41421, -6.8249e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46501e-16, 0, 0, 3.68774e-19, 1.0206e-17, 6.80919e-14, 0, 0
0.320733, 0, 1.51815e-13, 0, 1.41421, -1.51815e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25872e-16, 0, 0, 8.34454e-19, 2.30913e-17, 1.51465e-13, 0, 0
0.328811, 0, 3.32642e-13, 0, 1.41421, -3.32642e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.14e-16, 0, 0, 1.86126e-18, 5.14734e-17, 3.31874e-13, 0, 0
0.336889, 0, 7.18099e-13, 0, 1.41421, -7.18099e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54132e-15, 0, 0, 4.0936e-18, 1.1308e-16, 7.1644e-13, 0, 0
0.344967, 0, 1.52766e-12, 0, 1.41421, -1.52766e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27883e-15, 0, 0, 8.88031e-18, 2.44897e-16, 1.52413e-12, 0, 0
0.353045, 0, 3.20317e-12, 0, 1.41421, -3.20317e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.87477e-15, 0, 0, 1.90069e-17, 5.22976e-16, 3.19575e-12, 0, 0
0.361123, 0, 6.62098e-12, 0, 1.41421, -6.62098e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42097e-14, 0, 0, 4.01518e-17, 1.10153e-15, 6.60563e-12, 0, 0
0.369201, 0, 1.34932e-11, 0, 1.41421, -1.34932e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89577e-14, 0, 0, 8.37468e-17, 2.28889e-15, 1.34618e-11, 0, 0
0.377279, 0, 2.71155e-11, 2.42425e-43, 1.41421, -2.71155e-11, 2.42425e-43, 0, 2.42425e-43, 2.42425e-43, 2.42425e-43, 2.42425e-43, 2.42425e-43, 2.42425e-43, 2.42425e-43, 5.81913e-14, 2.42425e-43, 2.42425e-43, 1.72539e-16, 4.69361e-15, 2.70525e-11, 2.42425e-43, 2.42425e-43
0.385357, 0, 5.3739e-11, 5.14557e-42, 1.41421, -5.3739e-11, 5.14557e-42, 0, 5.14557e-42, 5.14557e-42, 5.14557e-42, 5.14557e-42, 5.14557e-42, 5.14557e-42, 5.14557e-42, 1.15326e-13, 5.14557e-42, 5.14557e-42, 3.51296e-16, 9.50051e-15, 5.36138e-11, 5.14557e-42, 5.14557e-42
0.393435, 0, 1.05046e-10, 8.31222e-41, 1.41421, -1.05046e-10, 8.31222e-41, 0, 8.31222e-41, 8.31222e-41, 8.31222e-41, 8.31222e-41, 8.31222e-41, 8.31222e-41, 8.31222e-41, 2.25437e-13, 8.31222e-41, 8.31222e-41, 7.07248e-16, 1.89877e-14, 1.04801e-10, 8.31222e-41, 8.31222e-41
