   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_247.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.059443, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0513343, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0432255, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0351167, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0270079, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0188991, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0107904, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00268158, 0, 3.68393e-13, 0, 1.41421, -3.68393e-13, 0, 0, 0, 0, 0, 0, 6.85201e-15, 0, 0, 2.10194e-17, 1.47467e-15, 3.60045e-13, 0, 0
0.0054272, 0, 6.02981e-13, 0, 1.41421, -6.02981e-13, 0, 0, 0, 0, 0, 0, 1.12133e-14, 0, 0, 3.52699e-17, 2.51754e-15, 5.89215e-13, 0, 0
0.013536, 0, 9.7967e-13, 0, 1.41421, -9.7967e-13, 0, 0, 0, 0, 0, 0, 1.8215e-14, 0, 0, 5.87587e-17, 4.26745e-15, 9.57129e-13, 0, 0
0.0216448, 0, 1.5801e-12, 0, 1.41421, -1.5801e-12, 0, 0, 0, 0, 0, 0, 2.93731e-14, 0, 0, 9.72036e-17, 7.18308e-15, 1.54345e-12, 0, 0
0.0297536, 0, 2.53364e-12, 0, 1.41421, -2.53364e-12, 0, 0, 0, 0, 0, 0, 4.70888e-14, 0, 0, 1.6014e-16, 1.20534e-14, 2.47434e-12, 0, 0
0.0378623, 0, 4.02797e-12, 0, 1.41421, -4.02797e-12, 0, 0, 0, 0, 0, 0, 7.48458e-14, 0, 0, 2.61278e-16, 2.00067e-14, 3.93286e-12, 0, 0
0.0459711, 0, 6.35899e-12, 0, 1.41421, -6.35899e-12, 0, 0, 0, 0, 0, 0, 1.18134e-13, 0, 0, 4.23479e-16, 3.2985e-14, 6.20745e-12, 0, 0
0.0540799, 0, 9.9698e-12, 0, 1.41421, -9.9698e-12, 0, 0, 0, 0, 0, 0, 1.85171e-13, 0, 0, 6.81939e-16, 5.4022e-14, 9.72992e-12, 0, 0
0.0621887, 0, 1.55246e-11, 0, 1.41421, -1.55246e-11, 0, 0, 0, 0, 0, 0, 2.88274e-13, 0, 0, 1.09125e-15, 8.78975e-14, 1.51473e-11, 0, 0
0.0702975, 0, 2.40118e-11, 0, 1.41421, -2.40118e-11, 0, 0, 0, 0, 0, 0, 4.45765e-13, 0, 0, 1.73549e-15, 1.42092e-13, 2.34222e-11, 0, 0
0.0784063, 0, 3.68924e-11, 0, 1.41421, -3.68924e-11, 0, 0, 0, 0, 0, 0, 6.84717e-13, 0, 0, 2.74354e-15, 2.2824e-13, 3.59767e-11, 0, 0
0.086515, 0, 5.63104e-11, 0, 1.41421, -5.63104e-11, 0, 0, 0, 0, 0, 0, 1.04485e-12, 0, 0, 4.31186e-15, 3.64313e-13, 5.4897e-11, 0, 0
0.0946238, 0, 8.54276e-11, 0, 1.41421, -8.54276e-11, 0, 0, 0, 0, 0, 0, 1.58473e-12, 0, 0, 6.74931e-15, 5.78856e-13, 8.32573e-11, 0, 0
0.102733, 0, 1.28712e-10, 0, 1.41421, -1.28712e-10, 0, 0, 0, 0, 0, 0, 2.38708e-12, 0, 0, 1.04906e-14, 9.12573e-13, 1.25401e-10, 0, 0
0.110841, 0, 1.92699e-10, 0, 1.41421, -1.92699e-10, 0, 0, 0, 0, 0, 0, 3.5729e-12, 0, 0, 1.62206e-14, 1.43007e-12, 1.8768e-10, 0, 0
0.11895, 0, 2.86691e-10, 0, 1.41421, -2.86691e-10, 0, 0, 0, 0, 0, 0, 5.31435e-12, 0, 0, 2.49555e-14, 2.22782e-12, 2.79124e-10, 0, 0
0.127059, 0, 4.23892e-10, 0, 1.41421, -4.23892e-10, 0, 0, 0, 0, 0, 0, 7.85578e-12, 0, 0, 3.82121e-14, 3.45052e-12, 4.12547e-10, 0, 0
0.135168, 0, 6.22918e-10, 0, 1.41421, -6.22918e-10, 0, 0, 0, 0, 0, 0, 1.15417e-11, 0, 0, 5.82487e-14, 5.31394e-12, 6.06004e-10, 0, 0
0.143276, 0, 9.09856e-10, 0, 1.41421, -9.09856e-10, 0, 0, 0, 0, 0, 0, 1.68548e-11, 0, 0, 8.84187e-14, 8.13818e-12, 8.84774e-10, 0, 0
0.151385, 0, 1.32103e-09, 0, 1.41421, -1.32103e-09, 0, 0, 0, 0, 0, 0, 2.44673e-11, 0, 0, 1.33692e-13, 1.23957e-11, 1.28403e-09, 0, 0
0.159494, 0, 1.90667e-09, 0, 1.41421, -1.90667e-09, 0, 0, 0, 0, 0, 0, 3.53091e-11, 0, 0, 2.01421e-13, 1.87801e-11, 1.85238e-09, 0, 0
